Quarter,Time,Down,ToGo,Location,GNB,DET,Detail,EPB,EPA
,,,,,,,Packers won the coin toss and deferred Lions to receive the opening kickoff.,,
1,15:00,,,GNB 35,0,0,Brandon McManus kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DET 30,0,0,David Montgomery right tackle for 2 yards (tackle by Kingsley Enagbare and Tedarrell Slaton),0.940,0.660
1,14:28,2,8,DET 32,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Isaiah McDuffie and Keisean Nixon),0.660,0.760
1,13:56,3,2,DET 38,0,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Javon Bullard),0.760,1.730
1,13:26,1,10,DET 42,0,0,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown (defended by Keisean Nixon),1.730,1.190
1,13:19,2,10,DET 42,0,0,David Montgomery up the middle for 13 yards (tackle by Xavier McKinney),1.190,2.590
1,12:36,1,10,GNB 45,0,0,Jared Goff pass complete short right to Jahmyr Gibbs for 7 yards (tackle by Keisean Nixon and Javon Bullard),2.590,2.990
1,11:59,2,3,GNB 38,0,0,Jared Goff pass incomplete short left intended for Jameson Williams (defended by Carrington Valentine),2.990,2.280
1,11:53,3,3,GNB 38,0,0,Jared Goff pass complete short middle to Jameson Williams for 28 yards (tackle by Xavier McKinney),2.280,4.910
1,11:13,1,10,GNB 10,0,0,Jahmyr Gibbs left end for no gain (tackle by Evan Williams). Penalty on Dan Skipper: Offensive Holding 10 yards (accepted) (no play),4.910,4.240
1,10:59,1,20,GNB 20,0,0,Jared Goff pass complete short right to Jahmyr Gibbs for 7 yards (tackle by Isaiah McDuffie and Keisean Nixon),4.240,3.720
1,10:22,2,13,GNB 13,0,0,Jared Goff pass complete short right to Sam LaPorta for 6 yards (tackle by Keisean Nixon),3.720,3.810
