Quarter,Time,Down,ToGo,Location,NYJ,MIA,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Dolphins to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,MIA 30,0,0,De'Von Achane left tackle for 7 yards (tackle by Jamien Sherwood and D.J. Reed),0.940,1.340
1,14:23,2,3,MIA 37,0,0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 20 yards (tackle by Jamien Sherwood). Penalty on Javon Kinlaw: Unnecessary Roughness / Defense 15 yards (accepted),1.340,3.710
1,13:58,1,10,NYJ 28,0,0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 11 yards (tackle by D.J. Reed),3.710,4.440
1,13:17,1,10,NYJ 17,0,0,Tua Tagovailoa pass complete short right to De'Von Achane for 14 yards (tackle by Jamien Sherwood and Chuck Clark),4.440,6.510
1,12:33,1,3,NYJ 3,0,0,De'Von Achane left tackle for no gain (tackle by Brandin Echols),6.510,5.530
1,11:51,2,3,NYJ 3,0,0,De'Von Achane left guard for 2 yards (tackle by Chuck Clark),5.530,5.170
1,11:14,3,1,NYJ 1,0,0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill. Penalty on D.J. Reed: Defensive Pass Interference (accepted) (no play),5.170,6.970
1,11:10,1,1,NYJ 1,0,0,De'Von Achane up the middle for -1 yards (tackle by Jamien Sherwood and Chuck Clark),6.970,5.720
1,10:29,2,2,NYJ 2,0,6,De'Von Achane left guard for 2 yards touchdown,5.720,7.000
1,10:24,,,NYJ 15,0,6,Jason Sanders kicks extra point no good,0.000,-1.000
1,10:24,,,MIA 35,0,6,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
1,10:24,1,10,NYJ 30,0,6,Braelon Allen right tackle for 7 yards (tackle by Kendall Fuller),0.940,1.340
1,9:53,2,3,NYJ 37,0,6,Aaron Rodgers pass complete short middle to Tyler Conklin for 11 yards (tackle by Anthony Walker and Jordyn Brooks),1.340,2.130
1,9:11,1,10,NYJ 48,0,6,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,2.130,1.580
1,9:07,2,10,NYJ 48,0,6,Isaiah Davis up the middle for 2 yards (tackle by Calais Campbell and Zach Sieler),1.580,1.160
1,8:24,3,8,MIA 50,0,6,Aaron Rodgers pass incomplete short left intended for Garrett Wilson. Penalty on Jalen Ramsey: Defensive Pass Interference 9 yards (accepted) (no play),1.160,2.850
1,8:19,1,10,MIA 41,0,6,Isaiah Davis right tackle for 1 yard (tackle by Jordyn Brooks and Quinton Bell),2.850,2.440
1,7:40,2,9,MIA 40,0,6,Aaron Rodgers pass complete short left to Braelon Allen for 10 yards (tackle by Kendall Fuller and Jevon Holland),2.440,3.580
1,6:59,1,10,MIA 30,0,6,Aaron Rodgers pass complete short left to Braelon Allen for 12 yards (tackle by Jordan Poyer),3.580,4.370
1,6:16,1,10,MIA 18,0,6,Aaron Rodgers pass complete short middle to Garrett Wilson for 8 yards (tackle by Chop Robinson),4.370,5.230
1,5:35,2,2,MIA 10,0,6,Aaron Rodgers pass incomplete short right intended for Davante Adams,5.230,4.510
1,5:28,3,2,MIA 10,0,6,Aaron Rodgers pass incomplete short right intended for Tyler Conklin (defended by Chop Robinson). Penalty on Morgan Moses: Offensive Holding 10 yards (declined),4.510,2.890
1,5:23,4,2,MIA 10,3,6,Anders Carlson 28 yard field goal good,2.890,3.000
1,5:19,,,NYJ 35,3,6,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
1,5:19,1,10,MIA 30,3,6,Jaylen Wright left end for 2 yards (tackle by Jamien Sherwood),0.940,0.660
1,4:40,2,8,MIA 32,3,6,Tua Tagovailoa pass complete short right to Tyreek Hill for 13 yards (tackle by Brandin Echols),0.660,1.930
1,4:02,1,10,MIA 45,3,6,Jaylen Wright left end for 5 yards (tackle by Jamien Sherwood),1.930,2.060
1,3:25,2,5,MIA 50,3,6,Tua Tagovailoa pass complete short left to Jaylen Wright for 6 yards (tackle by D.J. Reed),2.060,2.650
