Quarter,Time,Down,ToGo,Location,SEA,ARI,Detail,EPB,EPA
,,,,,,,Seahawks won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,SEA 35,0,0,Jason Myers kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ARI 30,0,0,Kyler Murray pass complete short left to James Conner for 11 yards (tackle by Ernest Jones),0.940,1.660
1,14:26,1,10,ARI 41,0,0,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Tyrice Knight),1.660,1.120
1,14:21,2,10,ARI 41,0,0,James Conner up the middle for 1 yard (tackle by Jarran Reed and Byron Murphy),1.120,0.560
1,13:45,3,9,ARI 42,0,0,Kyler Murray pass complete short left to Zay Jones for 13 yards (tackle by Julian Love),0.560,2.590
1,13:08,1,10,SEA 45,0,0,James Conner up the middle for no gain (tackle by Uchenna Nwosu and Ernest Jones) (no play),2.590,3.320
1,12:47,1,5,SEA 40,0,0,James Conner up the middle for -1 yards (tackle by Leonard Williams and Tyrice Knight),3.320,2.580
1,12:02,2,6,SEA 41,0,6,Kyler Murray pass complete deep right to Michael Wilson for 41 yards touchdown,2.580,7.000
1,11:53,,,SEA 15,0,7,Chad Ryland kicks extra point good,0.000,0.000
1,11:53,,,ARI 35,0,7,Chad Ryland kicks off 65 yards returned by Jaelon Darden for 27 yards (tackle by DeeJay Dallas),0.000,0.740
1,11:48,1,10,SEA 27,0,7,Geno Smith pass complete short left to Zach Charbonnet for 7 yards (tackle by Kyzir White),0.740,1.140
1,11:23,2,3,SEA 34,0,7,Zach Charbonnet right tackle for 2 yards (tackle by Budda Baker and Kyzir White),1.140,0.700
1,10:45,3,1,SEA 36,0,7,Geno Smith pass complete short right to Noah Fant for 4 yards (tackle by Jalen Thompson),0.700,1.600
1,10:14,1,10,SEA 40,0,7,Geno Smith pass complete short middle to Zach Charbonnet for 7 yards (tackle by Jalen Thompson and Kyzir White),1.600,2.000
1,9:34,2,3,SEA 47,0,7,Kenny McIntosh up the middle for 8 yards (tackle by Kyzir White),2.000,2.590
1,8:58,1,10,ARI 45,0,7,Geno Smith pass complete short left to Zach Charbonnet for 20 yards (tackle by Budda Baker),2.590,3.910
1,8:14,1,10,ARI 25,0,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for 8 yards (tackle by Budda Baker and Sean Murphy-Bunting),3.910,4.550
1,7:34,2,2,ARI 17,0,7,Kenny McIntosh up the middle for 1 yard (tackle by Naquan Jones),4.550,4.060
1,6:54,3,1,ARI 16,0,7,Geno Smith pass complete short left to Noah Fant for 7 yards (tackle by Garrett Williams),4.060,5.140
1,6:14,1,9,ARI 9,0,7,Zach Charbonnet up the middle for -1 yards (tackle by L.J. Collier and Kyzir White),5.140,4.190
1,5:38,2,10,ARI 10,0,7,Penalty on ARI: Defensive Too Many Men on Field 5 yards (accepted) (no play),4.190,5.150
1,5:26,2,5,ARI 5,0,7,Zach Charbonnet up the middle for 3 yards (tackle by Kyzir White),5.150,4.950
1,4:48,3,2,ARI 2,0,7,Geno Smith pass incomplete short right intended for Pharaoh Brown,4.950,3.250
1,4:44,4,2,ARI 2,3,7,Jason Myers 20 yard field goal good,3.250,3.000
1,4:41,,,SEA 35,3,7,Jason Myers kicks off 65 yards touchback.,0.000,0.940
1,4:41,1,10,ARI 30,3,7,James Conner right end for 1 yard (tackle by Devon Witherspoon),0.940,0.530
1,4:06,2,9,ARI 31,3,7,Kyler Murray pass complete deep right to Marvin Harrison for no gain (tackle by Tyrice Knight). Penalty on Hjalte Froholdt: Offensive Holding 10 yards (accepted) (no play),0.530,-0.820
1,3:37,2,19,ARI 21,3,7,Kyler Murray pass short middle intended for Marvin Harrison is intercepted by Ernest Jones at ARI-31 and returned for 12 yards (tackle by James Conner),-0.820,-4.310
1,3:31,1,10,ARI 19,9,7,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 19 yards touchdown,4.310,7.000
1,3:25,,,ARI 15,10,7,Jason Myers kicks extra point good,0.000,0.000
1,3:25,,,SEA 35,10,7,Jason Myers kicks off 65 yards touchback.,0.000,0.940
1,3:25,1,10,ARI 30,10,7,James Conner up the middle for 1 yard (tackle by Leonard Williams and Tyrice Knight),0.940,0.530
1,2:52,2,9,ARI 31,10,7,Kyler Murray pass deep left intended for Zay Jones is intercepted by Coby Bryant at SEA-45 and returned for 9 yards (tackle by Trey Benson). Penalty on Paris Johnson: Offensive Holding 10 yards (declined),0.530,-2.520
1,2:44,1,10,ARI 46,10,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for 19 yards (tackle by Budda Baker and Garrett Williams),2.520,3.780
1,1:58,1,10,ARI 27,10,7,Zach Charbonnet left tackle for 22 yards (tackle by Budda Baker),3.780,6.060
1,1:27,1,5,ARI 5,10,7,Zach Charbonnet up the middle for 4 yards (tackle by Zaven Collins and Dante Stills),6.060,5.910
1,1:03,2,1,ARI 1,10,7,Zach Charbonnet up the middle for no gain (tackle by Kyzir White and Sean Murphy-Bunting),5.910,5.170
1,0:20,3,1,ARI 1,16,7,Zach Charbonnet left end for 1 yard touchdown,5.170,7.000
1,0:16,,,ARI 15,17,7,Jason Myers kicks extra point good,0.000,0.000
1,0:16,,,SEA 35,17,7,Jason Myers kicks off 65 yards touchback.,0.000,0.940
1,0:16,1,10,ARI 30,17,7,Kyler Murray pass complete short left to Marvin Harrison for 8 yards (tackle by Riq Woolen),0.940,1.470
2,15:00,2,2,ARI 38,17,7,Kyler Murray pass complete short right to Tip Reiman for 14 yards (tackle by Coby Bryant and Tyrice Knight),1.470,2.390
2,14:19,1,10,SEA 48,17,7,James Conner left end for 1 yard (tackle by Ernest Jones),2.390,1.980
2,13:48,2,9,SEA 47,17,7,Kyler Murray pass complete short right to James Conner for 8 yards (tackle by Tyrice Knight and Riq Woolen),1.980,2.340
2,13:03,3,1,SEA 39,17,7,James Conner up the middle for 5 yards (tackle by Ernest Jones and Leonard Williams),2.340,3.310
2,12:24,1,10,SEA 34,17,7,James Conner left tackle for 23 yards (tackle by Riq Woolen),3.310,4.840
2,11:45,1,10,SEA 11,17,7,James Conner up the middle for 2 yards (tackle by Ernest Jones and Leonard Williams),4.840,4.510
2,11:05,2,8,SEA 9,17,7,Kyler Murray pass incomplete short middle intended for Trey McBride,4.510,3.530
2,11:00,3,8,SEA 9,17,7,Kyler Murray pass incomplete short left intended for Trey McBride,3.530,2.830
2,10:56,4,8,SEA 9,17,10,Chad Ryland 28 yard field goal good,2.830,3.000
2,10:53,,,ARI 35,17,10,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
2,10:53,1,10,SEA 30,17,10,Kenny McIntosh left tackle for 16 yards (tackle by Budda Baker),0.940,1.990
2,10:26,1,10,SEA 46,17,10,Geno Smith pass incomplete short right. Penalty on Geno Smith: Intentional Grounding 12 yards (accepted),1.990,-0.170
2,10:21,2,22,SEA 34,17,10,Geno Smith pass complete short left to Kenny McIntosh for 2 yards (tackle by Max Melton),-0.170,-0.560
2,9:39,3,20,SEA 36,17,10,Geno Smith pass complete short right to Zach Charbonnet for 8 yards (tackle by Baron Browning and Kyzir White),-0.560,-0.460
2,8:53,4,12,SEA 44,17,10,Michael Dickson punts 51 yards returned by Greg Dortch for 13 yards (tackle by AJ Barner),-0.460,-0.040
2,8:42,1,10,ARI 18,17,10,Trey Benson left end for 15 yards (tackle by Tyrice Knight and Boye Mafe),0.040,1.140
2,8:03,1,10,ARI 33,17,10,Kyler Murray sacked by Johnathan Hankins for -8 yards,1.140,-0.490
2,7:22,2,18,ARI 25,17,10,Trey Benson up the middle for no gain (tackle by Boye Mafe and Dre'Mont Jones),-0.490,-1.150
2,6:44,3,18,ARI 25,17,10,Kyler Murray pass complete short right to Emari Demercado for 6 yards (tackle by Coby Bryant and Boye Mafe),-1.150,-1.310
2,6:02,4,12,ARI 31,17,10,Blake Gillikin punts 63 yards returned by Jaelon Darden for 14 yards (tackle by Zach Pascal),-1.310,-0.280
2,5:51,1,10,SEA 20,17,10,Zach Charbonnet up the middle for no gain (tackle by Julian Okwara and Roy Lopez),0.280,-0.270
2,5:10,2,10,SEA 20,17,10,Zach Charbonnet right tackle for no gain (tackle by Jalen Thompson). Penalty on Olusegun Oluwatimi: Offensive Holding 10 yards (accepted) (no play),-0.270,-1.510
2,4:44,2,20,SEA 10,17,10,Geno Smith pass complete short left to D.K. Metcalf for 15 yards (tackle by Starling Thomas),-1.510,-0.300
2,4:04,3,5,SEA 25,17,10,Penalty on Geno Smith: Delay of Game 5 yards (accepted) (no play),-0.300,-0.960
2,3:56,3,10,SEA 20,17,10,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 24 yards (tackle by Dadrion Taylor-Demerson),-0.960,1.860
2,3:24,1,10,SEA 44,17,10,Zach Charbonnet up the middle for 5 yards (tackle by Roy Lopez and Naquan Jones),1.860,1.990
2,2:45,2,5,SEA 49,23,10,Zach Charbonnet left tackle for 51 yards touchdown,1.990,7.000
2,2:36,,,ARI 15,24,10,Jason Myers kicks extra point good,0.000,0.000
2,2:36,,,SEA 35,24,10,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,2:36,1,10,ARI 30,24,10,Kyler Murray pass complete short right to Marvin Harrison for 12 yards (tackle by Riq Woolen),0.940,1.730
2,2:03,1,10,ARI 42,24,10,Kyler Murray pass complete short right to James Conner for no gain (tackle by Tyrice Knight). Penalty on Paris Johnson: Offensive Holding 10 yards (accepted) (no play),1.730,1.070
2,1:56,1,20,ARI 32,24,10,Kyler Murray pass incomplete short right intended for Michael Wilson,1.070,-0.160
