Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
,,,,,,,Panthers won the coin toss and deferred Cowboys to receive the opening kickoff.,,
1,15:00,,,CAR 35,0,0,Johnny Hekker kicks off 59 yards returned by KaVontae Turpin for 18 yards (tackle by Sam Franklin),0.000,0.540
1,14:56,1,10,DAL 24,0,0,Rico Dowdle up the middle for 4 yards (tackle by D.J. Wonnum),0.540,0.540
1,14:23,2,6,DAL 28,0,0,Rico Dowdle up the middle for 12 yards (tackle by Jordan Fuller),0.540,1.600
1,13:40,1,10,DAL 40,0,0,Rico Dowdle left end for 3 yards (tackle by Jaycee Horn),1.600,1.460
1,13:01,2,7,DAL 43,0,0,Cooper Rush pass complete short right to CeeDee Lamb for no gain (tackle by Xavier Woods and Michael Jackson). Penalty on Chuma Edoga: Illegal Formation 5 yards (accepted) (no play),1.460,0.780
1,12:44,2,12,DAL 38,0,0,Cooper Rush pass complete short right to CeeDee Lamb for 8 yards (tackle by LaBryan Ray and Josey Jewell),0.780,1.160
1,12:05,3,4,DAL 46,0,0,Cooper Rush sacked by Jaycee Horn for -15 yards,1.160,-1.310
1,11:20,4,19,DAL 31,0,0,Bryan Anger punts 56 yards returned by Deven Thompkins for no gain,-1.310,0.320
1,11:05,1,10,CAR 13,0,0,Chuba Hubbard left end for 6 yards (tackle by Osa Odighizuwa and Eric Kendricks),-0.320,0.030
1,10:24,2,4,CAR 19,0,0,Bryce Young pass complete short middle to Chuba Hubbard for 6 yards (tackle by Amani Oruwariye),0.030,0.610
1,9:46,1,10,CAR 25,0,0,Bryce Young scrambles left end for 3 yards (tackle by Israel Mukuamu),0.610,0.470
1,9:05,2,7,CAR 28,0,0,Bryce Young pass complete short left to Xavier Legette for 2 yards (tackle by Donovan Wilson),0.470,0.040
1,8:25,3,5,CAR 30,0,0,Bryce Young pass complete short middle to Jalen Coker for 15 yards (tackle by Amani Oruwariye),0.040,1.930
1,7:48,1,10,CAR 45,0,0,Chuba Hubbard right guard for 3 yards (tackle by Linval Joseph and Micah Parsons),1.930,1.790
1,7:02,2,7,CAR 48,0,0,Bryce Young pass incomplete short right intended for Jalen Coker (defended by Amani Oruwariye). Penalty on Amani Oruwariye: Defensive Offside 5 yards (accepted) (no play),1.790,2.460
1,6:56,2,2,DAL 47,0,0,Chuba Hubbard up the middle for 1 yard (tackle by Chauncey Golston),2.460,1.880
1,6:18,3,1,DAL 46,0,0,Bryce Young pass complete short right to Chuba Hubbard for 4 yards (tackle by Israel Mukuamu),1.880,2.790
1,5:39,1,10,DAL 42,0,0,Xavier Legette right end for 2 yards (tackle by Amani Oruwariye),2.790,2.510
1,4:56,2,8,DAL 40,0,0,Bryce Young pass complete short left to Jalen Coker for 4 yards (tackle by Malik Hooker),2.510,2.340
1,4:13,3,4,DAL 36,0,0,Bryce Young pass complete short left to Chuba Hubbard for 6 yards,2.340,3.580
1,3:33,1,10,DAL 30,0,0,Chuba Hubbard right guard for 12 yards (tackle by Donovan Wilson),3.580,4.370
1,2:53,1,10,DAL 18,0,0,Bryce Young scrambles left end for 3 yards. Bryce Young fumbles (forced by Marist Liufau) recovered by Marshawn Kneeland at DAL-14 (tackle by Bryce Young),4.370,0.280
1,2:41,1,10,DAL 14,0,0,Cooper Rush pass incomplete short right intended for Jake Ferguson,-0.280,-0.750
1,2:36,2,10,DAL 14,0,0,Rico Dowdle right end for 1 yard (tackle by Claudin Cherelus),-0.750,-1.280
1,1:53,3,9,DAL 15,0,0,Cooper Rush pass incomplete short right intended for Jalen Tolbert (defended by Jaycee Horn),-1.280,-2.440
