Quarter,Time,Down,ToGo,Location,GNB,SEA,Detail,EPB,EPA
,,,,,,,Packers won the coin toss Packers to receive the opening kickoff.,,
1,15:00,,,SEA 35,0,0,Jason Myers kicks off 67 yards returned by Keisean Nixon for 39 yards (tackle by Nehemiah Pritchett and Dareke Young),0.000,1.400
1,14:55,1,10,GNB 37,0,0,Jordan Love pass complete short right to Josh Jacobs for 4 yards (tackle by Leonard Williams),1.400,1.400
1,14:19,2,6,GNB 41,0,0,Jordan Love pass complete short left to Josh Jacobs for 13 yards (tackle by Ernest Jones). Penalty on Riq Woolen: Unnecessary Roughness / Defense 15 yards (accepted),1.400,3.510
1,13:53,1,10,SEA 31,0,0,Josh Jacobs left guard for 3 yards (tackle by Leonard Williams and Derick Hall),3.510,3.370
1,13:17,2,7,SEA 28,0,0,Josh Jacobs up the middle for 4 yards (tackle by Jarran Reed),3.370,3.200
1,12:52,3,3,SEA 24,0,0,Josh Jacobs up the middle for 5 yards (tackle by Jarran Reed),3.200,4.310
1,12:12,1,10,SEA 19,0,0,Josh Jacobs right tackle for 8 yards (tackle by Coby Bryant),4.310,5.140
1,11:30,2,2,SEA 11,0,0,Josh Jacobs right guard for 5 yards (tackle by Tyrice Knight),5.140,5.830
1,10:49,1,6,SEA 6,0,0,Josh Jacobs left guard for 1 yard (tackle by Johnathan Hankins and Ernest Jones),5.830,5.150
1,10:05,2,5,SEA 5,0,0,Jordan Love scrambles left end for 4 yards (tackle by Julian Love),5.150,5.170
1,9:25,3,1,SEA 1,6,0,Josh Jacobs up the middle for 1 yard touchdown,5.170,7.000
1,9:19,,,SEA 15,7,0,Brandon McManus kicks extra point good,0.000,0.000
1,9:19,,,GNB 35,7,0,Brandon McManus kicks off 65 yards returned by Jaelon Darden for 25 yards (tackle by Edgerrin Cooper),0.000,0.610
1,9:13,1,10,SEA 25,7,0,Geno Smith pass complete short left to D.K. Metcalf for 15 yards,0.610,1.600
1,8:50,1,10,SEA 40,7,0,Zach Charbonnet up the middle for 1 yard (tackle by Tedarrell Slaton),1.600,1.190
1,8:14,2,9,SEA 41,7,0,Geno Smith pass complete short left to Noah Fant for 5 yards (tackle by Carrington Valentine and Xavier McKinney),1.190,1.160
1,7:32,3,4,SEA 46,7,0,Geno Smith sacked by Edgerrin Cooper for -9 yards,1.160,-0.910
1,6:51,4,13,SEA 37,7,0,Michael Dickson punts 43 yards fair catch by Jayden Reed at GB-20,-0.910,-0.280
1,6:43,1,10,GNB 20,7,0,Jordan Love pass complete short right to Josh Jacobs for 21 yards (tackle by Coby Bryant),0.280,1.660
1,6:00,1,10,GNB 41,7,0,Jordan Love pass complete short middle to Jayden Reed for 9 yards (tackle by Tyrice Knight),1.660,2.340
1,5:24,2,1,SEA 50,7,0,Emanuel Wilson up the middle for 1 yard (tackle by Rayshawn Jenkins and Roy Robertson-Harris),2.340,2.320
1,4:39,,,,,,Timeout #1 by Green Bay Packers,,
1,4:39,1,10,SEA 49,7,0,Josh Jacobs left guard for 19 yards (tackle by Coby Bryant),2.320,3.580
1,4:00,1,10,SEA 30,7,0,Jayden Reed right end for 9 yards (tackle by Coby Bryant),3.580,4.250
1,3:20,2,1,SEA 21,7,0,Chris Brooks right end for 6 yards (tackle by Riq Woolen),4.250,4.580
1,2:42,1,10,SEA 15,7,0,Jordan Love pass complete short left to Jayden Reed for 2 yards (tackle by Josh Jobe),4.580,4.280
1,2:01,2,8,SEA 13,13,0,Jordan Love pass complete short middle to Romeo Doubs for 13 yards touchdown,4.280,7.000
1,1:54,,,SEA 15,14,0,Brandon McManus kicks extra point good,0.000,0.000
1,1:54,,,GNB 35,14,0,Brandon McManus kicks off 62 yards returned by Jaelon Darden for 27 yards (tackle by Lukas Van Ness),0.000,0.940
1,1:48,1,10,SEA 30,14,0,Geno Smith pass complete short right to D.K. Metcalf for 7 yards (tackle by Isaiah McDuffie),0.940,1.340
1,1:08,2,3,SEA 37,14,0,Zach Charbonnet right guard for no gain (tackle by Eric Stokes and Isaiah McDuffie). Penalty on Olusegun Oluwatimi: Offensive Holding 10 yards (accepted) (no play),1.340,-0.010
1,0:40,2,13,SEA 27,14,0,Geno Smith pass complete deep left to Jaxon Smith-Njigba for 25 yards (tackle by Evan Williams),-0.010,2.390
1,0:14,1,10,GNB 48,14,0,Zach Charbonnet left end for 16 yards (tackle by Quay Walker),2.390,3.450
2,15:00,1,10,GNB 32,14,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards (tackle by Quay Walker),3.450,4.120
2,14:25,2,1,GNB 23,14,0,Zach Charbonnet up the middle for -1 yards (tackle by Kingsley Enagbare),4.120,3.270
2,13:45,3,2,GNB 24,14,0,Geno Smith sacked by Rashan Gary for -6 yards,3.270,1.410
2,13:04,4,8,GNB 30,14,3,Jason Myers 48 yard field goal good,1.410,3.000
2,12:59,,,SEA 35,14,3,Jason Myers kicks off 66 yards returned by Keisean Nixon for 30 yards (tackle by Rayshawn Jenkins),0.000,0.870
2,12:53,1,10,GNB 29,14,3,Jordan Love pass complete short middle to Tucker Kraft for 8 yards (tackle by Rayshawn Jenkins and Ernest Jones),0.870,1.410
2,12:16,2,2,GNB 37,14,3,Josh Jacobs right tackle for 1 yard (tackle by Johnathan Hankins),1.410,0.830
2,11:49,3,1,GNB 38,14,3,Jordan Love pass complete short left to Dontayvion Wicks for 2 yards (tackle by Coby Bryant),0.830,1.600
2,11:05,1,10,GNB 40,14,3,Jordan Love pass complete deep left to Christian Watson for 36 yards,1.600,3.970
