Quarter,Time,Down,ToGo,Location,LAR,SFO,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SFO 30,0,0,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Ahkello Witherspoon),0.940,0.390
1,14:57,2,10,SFO 30,0,0,Isaac Guerendo left end for 1 yard (tackle by Christian Rozeboom),0.390,-0.160
1,14:15,3,9,SFO 31,0,0,Brock Purdy pass incomplete deep left intended for George Kittle. Penalty on Dominick Puni: Offensive Holding 10 yards (declined),-0.160,-1.310
1,14:10,4,9,SFO 31,0,0,Pat O'Donnell punts 40 yards fair catch by Xavier Smith at LA-29,-1.310,-0.870
1,14:03,1,10,LAR 29,0,0,Kyren Williams right guard for 5 yards (tackle by Renardo Green and Dre Greenlaw),0.870,1.000
1,13:30,2,5,LAR 34,0,0,Kyren Williams up the middle for 1 yard (tackle by Leonard Floyd). Penalty on Alaric Jackson: Offensive Holding 10 yards (accepted),1.000,-0.210
1,13:06,2,14,LAR 25,0,0,Matthew Stafford pass incomplete short right intended for Cooper Kupp (defended by Deommodore Lenoir),-0.210,-0.890
1,13:03,3,14,LAR 25,0,0,Matthew Stafford pass incomplete deep middle intended for Cooper Kupp (defended by Deommodore Lenoir),-0.890,-1.700
1,12:59,4,14,LAR 25,0,0,Ethan Evans punts 56 yards returned by Jacob Cowing for 7 yards (tackle by Xavier Smith),-1.700,-0.670
1,12:48,1,10,SFO 26,0,0,Brock Purdy pass complete deep middle to George Kittle for 33 yards (tackle by Quentin Lake),0.670,2.850
1,12:06,1,10,LAR 41,0,0,Isaac Guerendo right tackle for 1 yard (tackle by Jared Verse),2.850,2.440
1,11:22,2,9,LAR 40,0,0,Isaac Guerendo right tackle for 3 yards (tackle by Christian Rozeboom and Kobie Turner),2.440,2.150
1,10:45,3,6,LAR 37,0,0,Deebo Samuel up the middle for 2 yards (tackle by Kobie Turner),2.150,0.980
1,10:06,4,4,LAR 35,0,3,Jake Moody 53 yard field goal good,0.980,3.000
1,10:01,,,SFO 35,0,3,Jake Moody kicks off 61 yards returned by Jordan Whittington for 30 yards (tackle by Brayden Willis and Nick McCloud),0.000,1.200
1,9:54,1,10,LAR 34,0,3,Matthew Stafford pass complete short right to Puka Nacua for 7 yards (tackle by Charvarius Ward),1.200,1.600
1,9:16,2,3,LAR 41,0,3,Blake Corum right guard for no gain (tackle by Talanoa Hufanga and Fred Warner),1.600,0.890
1,8:36,3,3,LAR 41,0,3,Matthew Stafford pass incomplete short middle intended for Tutu Atwell,0.890,-0.650
1,8:31,4,3,LAR 41,0,3,Ethan Evans punts 50 yards returned by Jacob Cowing for 10 yards (tackle by Xavier Smith and Hunter Long),-0.650,-0.150
1,8:21,1,10,SFO 19,0,3,Deebo Samuel right guard for 1 yard (tackle by Christian Rozeboom),0.150,-0.200
1,7:44,2,9,SFO 20,0,3,Brock Purdy pass complete short middle to Deebo Samuel for 5 yards (tackle by Darious Williams and Omar Speights),-0.200,-0.290
1,7:05,3,4,SFO 25,0,3,Brock Purdy pass incomplete short middle intended for George Kittle (defended by Kamren Curl),-0.290,-1.700
1,7:01,4,4,SFO 25,0,3,Pat O'Donnell punts 55 yards downed by Brayden Willis,-1.700,-0.280
1,6:47,1,10,LAR 20,0,3,Matthew Stafford pass complete short right to Kyren Williams for 4 yards (tackle by Dre Greenlaw),0.280,0.270
1,6:05,2,6,LAR 24,0,3,Kyren Williams right guard for 3 yards (tackle by Dre Greenlaw),0.270,-0.030
1,5:20,3,3,LAR 27,0,3,Matthew Stafford pass incomplete short right intended for Cooper Kupp,-0.030,-1.570
1,5:16,4,3,LAR 27,0,3,Ethan Evans punts 56 yards returned by Jacob Cowing for 5 yards (tackle by Jordan Whittington),-1.570,-0.410
1,5:06,1,10,SFO 22,0,3,Brock Purdy pass complete short left to Jauan Jennings for 13 yards (tackle by Ahkello Witherspoon),0.410,1.270
1,4:42,1,10,SFO 35,0,3,Brock Purdy pass complete short middle to Isaac Guerendo for 5 yards (tackle by Omar Speights),1.270,1.400
1,4:05,2,5,SFO 40,0,3,Isaac Guerendo left tackle for 6 yards (tackle by Byron Young and Kobie Turner),1.400,1.990
1,3:28,1,10,SFO 46,0,3,Isaac Guerendo up the middle for 4 yards (tackle by Omar Speights),1.990,1.990
1,2:49,2,6,SFO 50,0,3,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Ahkello Witherspoon),1.990,1.290
1,2:46,3,6,SFO 50,0,3,Brock Purdy sacked by Kobie Turner for -4 yards,1.290,-0.320
1,2:07,4,10,SFO 46,0,3,Pat O'Donnell punts 38 yards fair catch by Xavier Smith at LA-16,-0.320,0.140
1,2:00,1,10,LAR 16,0,3,Blake Corum left tackle for 3 yards (tackle by Robert Beal),-0.140,-0.180
1,1:33,2,7,LAR 19,0,3,Matthew Stafford pass incomplete short left intended for Blake Corum,-0.180,-0.950
1,1:27,3,7,LAR 19,0,3,Matthew Stafford pass incomplete short right intended for Demarcus Robinson,-0.950,-2.140
1,1:23,4,7,LAR 19,0,3,Ethan Evans punts 68 yards returned by Jacob Cowing for 17 yards (tackle by Jake Hummel and Xavier Smith),-2.140,-0.940
1,1:10,1,10,SFO 30,0,3,Brock Purdy pass complete short right to Isaac Guerendo for 1 yard (tackle by Michael Hoecht and Bobby Brown),0.940,0.530
1,0:36,2,9,SFO 31,0,3,Brock Purdy pass complete short left to Deebo Samuel for 5 yards (tackle by Braden Fiske),0.530,0.500
