Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,JAX 30,0,0,Mac Jones pass complete short right to Travis Etienne for 8 yards (tackle by Jamien Sherwood),0.940,1.470
1,14:28,2,2,JAX 38,0,0,Travis Etienne right end for 7 yards (tackle by Chuck Clark),1.470,1.930
1,13:52,1,10,JAX 45,0,0,Mac Jones pass incomplete short middle intended for Travis Etienne,1.930,1.380
1,13:47,2,10,JAX 45,0,0,Mac Jones pass complete short left to Brian Thomas for 3 yards (tackle by Qwan'tez Stiggers),1.380,1.090
1,13:08,3,7,JAX 48,0,0,Mac Jones pass complete short right to Brian Thomas for 8 yards (tackle by Qwan'tez Stiggers),1.090,2.650
1,12:37,1,10,NYJ 44,0,0,Mac Jones pass complete short left to Brenton Strange for 7 yards (tackle by Isaiah Oliver and Jalen Mills),2.650,3.060
1,12:09,2,3,NYJ 37,0,0,Travis Etienne up the middle for 7 yards (tackle by Jamien Sherwood and Jalen Mills),3.060,3.580
1,11:36,1,10,NYJ 30,0,0,Tank Bigsby up the middle for 5 yards (tackle by Leonard Taylor),3.580,3.710
1,11:01,2,5,NYJ 25,0,0,Mac Jones pass complete short right to Brian Thomas for 4 yards (tackle by Sauce Gardner and Jalen Mills),3.710,3.530
1,10:25,3,1,NYJ 21,0,0,Mac Jones up the middle for 2 yards (tackle by Quinnen Williams). Penalty on Haason Reddick: Unnecessary Roughness / Defense 10 yards (accepted),3.530,5.140
1,9:48,1,9,NYJ 9,0,0,Travis Etienne up the middle for 3 yards (tackle by Will McDonald and Jarrick Bernard-Converse),5.140,4.950
1,9:21,2,6,NYJ 6,0,0,Mac Jones pass incomplete short right,4.950,4.040
1,9:12,3,6,NYJ 6,0,0,Mac Jones sacked by Will McDonald for no gain. Penalty on Sauce Gardner: Defensive Holding 3 yards (accepted) (no play),4.040,6.510
1,8:43,1,3,NYJ 3,0,6,Mac Jones pass complete short left to Brian Thomas for 3 yards touchdown,6.510,7.000
1,8:37,,,NYJ 15,0,7,Cam Little kicks extra point good,0.000,0.000
1,8:37,,,JAX 35,0,7,Cam Little kicks off 65 yards touchback.,0.000,0.940
1,8:37,1,10,NYJ 30,0,7,Aaron Rodgers scrambles left end for 5 yards (tackle by Darnell Savage),0.940,1.070
1,7:55,2,5,NYJ 35,0,7,Breece Hall right end for no gain (tackle by DaVon Hamilton),1.070,0.370
1,7:16,3,5,NYJ 35,0,7,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,0.370,-1.040
1,7:11,4,5,NYJ 35,0,7,Ashtyn Davis right end for 21 yards (tackle by Antonio Johnson),-1.040,2.650
1,6:24,1,10,JAX 44,0,7,Braelon Allen right tackle for 3 yards (tackle by Darnell Savage),2.650,2.520
1,5:48,2,7,JAX 41,0,7,Aaron Rodgers pass complete deep left to Garrett Wilson for 19 yards (tackle by Tyson Campbell),2.520,4.110
1,5:06,1,10,JAX 22,6,7,Aaron Rodgers pass complete deep middle to Garrett Wilson for 22 yards touchdown,4.110,7.000
1,5:01,,,JAX 15,7,7,Anders Carlson kicks extra point good,0.000,0.000
1,5:01,,,NYJ 35,7,7,Anders Carlson kicks off 65 yards returned by Devin Duvernay for 34 yards (tackle by Isaiah Davis),0.000,1.200
1,4:54,1,10,JAX 34,7,7,Tank Bigsby right guard for 4 yards. Tank Bigsby fumbles (forced by Jalen Mills) recovered by Mitch Morse at JAC-40 (tackle by Jalen Mills). Penalty on Will McDonald: Illegal Use of Hands / Defense 5 yards (accepted),1.200,1.930
1,4:12,1,10,JAX 45,7,7,Travis Etienne up the middle for 5 yards (tackle by Qwan'tez Stiggers),1.930,2.060
1,3:55,2,5,NYJ 50,7,7,Mac Jones pass complete short left to Brenton Strange for no gain (tackle by Haason Reddick). Penalty on Anton Harrison: Offensive Holding 10 yards (accepted) (no play),2.060,0.710
1,3:39,2,15,JAX 40,7,7,Tank Bigsby up the middle for 1 yard (tackle by Javon Kinlaw),0.710,0.170
1,3:07,3,14,JAX 41,7,7,Mac Jones pass deep middle intended for Devin Duvernay is intercepted by Jalen Mills at NYJ-12 and returned for no gain (tackle by Devin Duvernay),0.170,0.350
1,2:59,1,10,NYJ 12,7,7,Breece Hall left end for 5 yards (tackle by Maason Smith and Antonio Johnson),-0.350,-0.230
1,2:19,2,5,NYJ 17,7,7,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,-0.230,-0.840
1,2:11,3,5,NYJ 17,7,7,Aaron Rodgers scrambles left end for 7 yards (tackle by Foyesade Oluokun). Penalty on Foyesade Oluokun: Face Mask (15 Yards) 15 yards (accepted),-0.840,1.530
1,1:38,1,10,NYJ 39,7,7,Isaiah Davis right end for 4 yards (tackle by Tyler Lacy and DJ Coleman),1.530,1.530
1,1:06,2,6,NYJ 43,7,7,Aaron Rodgers pass incomplete short right intended for Isaiah Davis. Penalty on Foyesade Oluokun: Defensive Pass Interference 12 yards (accepted) (no play),1.530,2.590
1,0:53,1,10,JAX 45,7,7,Aaron Rodgers pass complete short left to Isaiah Davis for no gain (tackle by Devin Lloyd). Penalty on Olumuyiwa Fashanu: Offensive Holding 10 yards (accepted) (no play),2.590,1.930
1,0:23,1,20,NYJ 45,7,7,Aaron Rodgers pass incomplete deep right,1.930,0.690
1,0:14,2,20,NYJ 45,7,7,Breece Hall up the middle for 2 yards (tackle by Darnell Savage and Foyesade Oluokun),0.690,0.300
2,15:00,3,18,NYJ 47,7,7,Aaron Rodgers pass complete short middle to Breece Hall for 14 yards (tackle by Yasir Abdullah),0.300,0.660
2,14:12,4,4,JAX 39,7,7,Penalty on Joe Tippmann: False Start 5 yards (accepted) (no play),0.660,0.330
2,13:58,4,9,JAX 44,7,7,Thomas Morstead punts 31 yards fair catch by Devin Duvernay at JAC-13,0.330,0.320
2,13:48,1,10,JAX 13,7,7,Travis Etienne right end for 1 yard (tackle by Sauce Gardner and Will McDonald),-0.320,-0.680
2,13:09,2,9,JAX 14,7,7,Mac Jones pass complete short right to Travis Etienne for 5 yards (tackle by Quincy Williams),-0.680,-0.710
2,12:32,3,4,JAX 19,7,7,Mac Jones pass complete short right to Parker Washington for 16 yards (tackle by Chuck Clark),-0.710,1.270
2,11:59,1,10,JAX 35,7,7,Mac Jones pass complete short right to Brenton Strange for 5 yards (tackle by Chuck Clark),1.270,1.400
2,11:33,2,5,JAX 40,7,7,Travis Etienne up the middle for 4 yards (tackle by Quincy Williams),1.400,1.220
2,10:56,3,1,JAX 44,7,7,Tank Bigsby right tackle for 7 yards (tackle by Kendall Sheffield),1.220,2.320
2,10:16,1,10,NYJ 49,7,7,Mac Jones pass incomplete short left intended for Tank Bigsby,2.320,1.780
2,10:07,2,10,NYJ 49,7,7,Mac Jones pass complete short left to Brian Thomas for 8 yards (tackle by Solomon Thomas),1.780,2.150
2,9:33,3,2,NYJ 41,7,7,Tank Bigsby up the middle for 3 yards (tackle by Eric Watts),2.150,3.050
2,8:52,1,10,NYJ 38,7,7,Travis Etienne right end for 2 yards (tackle by Kendall Sheffield),3.050,2.780
2,8:12,2,8,NYJ 36,7,7,Mac Jones pass complete short left to Brian Thomas for no gain (tackle by Quincy Williams). Penalty on Anton Harrison: Offensive Holding 10 yards (accepted) (no play),2.780,1.430
2,7:47,2,18,NYJ 46,7,7,Travis Etienne up the middle for 3 yards (tackle by Quincy Williams and Jamien Sherwood),1.430,1.160
2,7:07,3,15,NYJ 43,7,7,Mac Jones pass complete short left to Brenton Strange for no gain (tackle by Jamien Sherwood and Kendall Sheffield). Penalty on Solomon Thomas: Defensive Offside 5 yards (accepted) (no play),1.160,1.820
2,6:44,3,10,NYJ 38,7,7,Mac Jones scrambles up the middle for 13 yards (tackle by Haason Reddick),1.820,3.910
2,6:08,1,10,NYJ 25,7,7,Travis Etienne right end for 9 yards (tackle by Tony Adams and Micheal Clemons),3.910,4.750
2,5:38,2,1,NYJ 16,7,7,Travis Etienne right end for 10 yards (tackle by Sauce Gardner),4.750,5.830
2,4:57,1,6,NYJ 6,7,7,Tank Bigsby up the middle for 1 yard (tackle by Tony Adams and Chazz Surratt),5.830,5.150
2,4:16,2,5,NYJ 5,7,7,Mac Jones sacked by Javon Kinlaw for -7 yards,5.150,3.100
2,3:27,3,12,NYJ 12,7,7,Mac Jones pass complete short left to Travis Etienne for 2 yards (tackle by Jamien Sherwood),3.100,2.760
2,2:44,4,10,NYJ 10,7,10,Cam Little 28 yard field goal good,2.760,3.000
2,2:41,,,JAX 35,7,10,Cam Little kicks off 65 yards touchback.,0.000,0.280
