Quarter,Time,Down,ToGo,Location,PIT,PHI,Detail,EPB,EPA
,,,,,,,Eagles won the coin toss and deferred Steelers to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Braden Mann kicks off 67 yards returned by Cordarrelle Patterson for 33 yards (tackle by Oren Burks and Jalyx Hunt),0.000,1.000
1,14:55,1,10,PIT 31,0,0,Najee Harris up the middle for 2 yards (tackle by Milton Williams and Nakobe Dean),1.000,0.730
1,14:22,2,8,PIT 33,0,0,Russell Wilson pass complete short left to Pat Freiermuth for 1 yard (tackle by Zack Baun),0.730,0.170
1,13:44,3,7,PIT 34,0,0,Russell Wilson pass incomplete deep middle intended for Van Jefferson,0.170,-1.110
1,13:37,4,7,PIT 34,0,0,Corliss Waitman punts 36 yards downed by Ben Skowronek,-1.110,-0.940
1,13:29,1,10,PHI 30,0,0,Jalen Hurts pass complete deep right to Grant Calcaterra for 22 yards (tackle by Elandon Roberts),0.940,2.390
1,12:44,1,10,PIT 48,0,0,Jalen Hurts pass complete short right to A.J. Brown for 7 yards (tackle by Joey Porter),2.390,2.790
1,12:21,2,3,PIT 41,0,0,Jalen Hurts pass complete short left to DeVonta Smith for 21 yards (tackle by Donte Jackson),2.790,4.240
1,11:55,1,10,PIT 20,0,0,Saquon Barkley right guard for no gain (tackle by T.J. Watt),4.240,3.690
1,11:24,2,10,PIT 20,0,0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Donte Jackson),3.690,3.360
1,10:41,3,7,PIT 17,0,0,Jalen Hurts scrambles up the middle for 1 yard (tackle by Alex Highsmith and T.J. Watt),3.360,2.400
1,10:00,4,6,PIT 16,0,3,Jake Elliott 34 yard field goal good,2.400,3.000
1,9:56,,,PHI 35,0,3,Braden Mann kicks off 65 yards returned by Cordarrelle Patterson for 32 yards (tackle by Oren Burks),0.000,1.070
1,9:50,1,10,PIT 32,0,3,Najee Harris right tackle for 2 yards (tackle by Jalen Carter),1.070,0.800
1,9:19,2,8,PIT 34,0,3,Najee Harris left tackle for no gain (tackle by Josh Sweat),0.800,0.100
