Quarter,Time,Down,ToGo,Location,WAS,NOR,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Saints to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Greg Joseph kicks off 66 yards returned by Kendre Miller for 35 yards (tackle by Quan Martin and Jeremy Reaves),0.000,1.200
1,14:54,1,10,NOR 34,0,0,Alvin Kamara right guard for 3 yards (tackle by Bobby Wagner),1.200,1.060
1,14:16,2,7,NOR 37,0,0,Marquez Valdes-Scantling left end for 4 yards (tackle by Mykal Walker),1.060,0.890
1,13:37,3,3,NOR 41,0,0,Jake Haener pass complete short right to Cedrick Wilson for no gain (tackle by Mike Sainristil and Jeremy Chinn). Penalty on Lucas Patrick: Offensive Holding 10 yards (accepted) (no play),0.890,-0.430
1,13:12,3,13,NOR 31,0,0,Jake Haener sacked by Daron Payne for -11 yards,-0.430,-2.030
1,12:17,4,24,NOR 20,0,0,Matthew Hayball punts 46 yards returned by Jamison Crowder for 10 yards (tackle by Jaylan Ford),-2.030,-1.860
1,12:07,1,10,WAS 44,0,0,Jayden Daniels scrambles left end for 1 yard (tackle by Carl Granderson),1.860,1.450
1,11:26,2,9,WAS 45,0,0,Jayden Daniels pass complete short right to Terry McLaurin for 8 yards (tackle by Alontae Taylor),1.450,1.820
1,11:01,3,1,NOR 47,0,0,Brian Robinson left guard for 1 yard (tackle by Cameron Jordan and Carl Granderson),1.820,2.520
1,10:25,1,10,NOR 46,0,0,Brian Robinson right end for 9 yards (tackle by Will Harris),2.520,3.190
1,9:40,2,1,NOR 37,0,0,Brian Robinson left end for 5 yards (tackle by Demario Davis and Payton Turner),3.190,3.450
1,9:15,1,10,NOR 32,0,0,Jayden Daniels left end for 1 yard (tackle by Kool-Aid McKinstry),3.450,3.040
1,8:43,2,9,NOR 31,0,0,Jayden Daniels pass incomplete deep right intended for Jeremy McNichols,3.040,2.340
1,8:35,3,9,NOR 31,0,0,Jayden Daniels pass complete short left to Jamison Crowder for 5 yards (tackle by Will Harris),2.340,1.810
1,7:54,4,4,NOR 26,0,0,Penalty on Payton Turner: Unnecessary Roughness / Defense 13 yards (accepted) (no play),1.810,4.710
1,7:54,1,10,NOR 13,0,0,Jayden Daniels right end for 9 yards (tackle by Alontae Taylor),4.710,5.730
1,7:14,2,1,NOR 4,0,0,Brian Robinson right guard for 1 yard (tackle by Demario Davis and Cameron Jordan),5.730,6.510
1,6:37,1,3,NOR 3,0,0,Jayden Daniels pass complete short right to Olamide Zaccheaus for no gain touchdown. Penalty on Olamide Zaccheaus: Illegal Shift 4 yards (accepted) (no play),6.510,5.600
