Quarter,Time,Down,ToGo,Location,ATL,LVR,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss and deferred Raiders to receive the opening kickoff.,,
1,15:00,,,ATL 35,0,0,Bradley Pinion kicks off 61 yards returned by Dylan Laube for 24 yards (tackle by Josh Woods),0.000,0.810
1,14:54,1,10,LVR 28,0,0,Penalty on Kolton Miller: False Start 5 yards (accepted) (no play),0.810,0.480
1,14:54,1,15,LVR 23,0,0,Sincere McCormick right guard for 5 yards (tackle by Kaden Elliss),0.480,0.260
1,14:17,2,10,LVR 28,0,0,Desmond Ridder pass complete short right to Brock Bowers for 8 yards (tackle by Lorenzo Carter),0.260,0.630
1,13:43,3,2,LVR 36,0,0,Sincere McCormick left guard for 1 yard (tackle by Kaden Elliss and Grady Jarrett),0.630,-0.910
1,13:02,4,1,LVR 37,0,0,Desmond Ridder left guard for 3 yards (tackle by David Onyemata),-0.910,1.600
1,12:30,1,10,LVR 40,0,0,Sincere McCormick right guard for 3 yards (tackle by Matt Judon),1.600,1.460
1,11:50,2,7,LVR 43,0,0,Desmond Ridder pass complete short middle to Sincere McCormick for 2 yards (tackle by Kaden Elliss),1.460,1.030
1,11:20,3,5,LVR 45,0,0,Desmond Ridder pass complete short right to Ameer Abdullah for 5 yards (tackle by Jessie Bates),1.030,2.260
1,10:44,1,10,ATL 50,0,0,Jakobi Meyers sacked by Kaden Elliss for -10 yards,2.260,0.360
1,10:03,2,20,LVR 40,0,0,Sincere McCormick up the middle for -3 yards (tackle by Ruke Orhorhoro),0.360,-0.690
1,9:23,3,23,LVR 37,0,0,Alexander Mattison up the middle for 7 yards. Alexander Mattison fumbles (forced by DeAundre Alford) (tackle by JD Bertrand and DeAundre Alford) recovered by Kevin King at LV-48,-0.690,-2.390
1,9:15,1,10,LVR 48,0,0,Bijan Robinson left tackle for 6 yards (tackle by Robert Spillane),2.390,2.660
1,8:41,2,4,LVR 42,0,0,Penalty on Chris Lindstrom: False Start 5 yards (accepted) (no play),2.660,1.980
1,8:25,2,9,LVR 47,0,0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 14 yards (tackle by Isaiah Pola-Mao),1.980,3.380
1,7:44,1,10,LVR 33,0,0,Bijan Robinson right tackle for 3 yards (tackle by Divine Deablo),3.380,3.240
1,7:09,2,7,LVR 30,0,0,Kirk Cousins pass complete short right to Charlie Woerner for 2 yards (tackle by Jack Jones),3.240,2.810
1,6:24,3,5,LVR 28,0,0,Kirk Cousins sacked by Jonah Laulu for -10 yards,2.810,0.720
1,5:26,4,15,LVR 38,0,0,Bradley Pinion punts 38 yards touchback.,0.720,-0.280
1,5:19,1,10,LVR 20,0,0,Sincere McCormick up the middle for -1 yards (tackle by Kentavius Street and Kaden Elliss),0.280,-0.460
1,4:45,2,11,LVR 19,0,0,Desmond Ridder pass incomplete deep right intended for Michael Mayer (defended by Demone Harris),-0.460,-1.140
1,4:37,3,11,LVR 19,0,0,Desmond Ridder pass complete short left to Ameer Abdullah for 2 yards (tackle by DeAundre Alford),-1.140,-1.960
1,3:55,4,9,LVR 21,0,0,AJ Cole punts 30 yards downed by Ramel Keyton,-1.960,-2.190
1,3:44,1,10,ATL 49,0,0,Bijan Robinson right guard for 10 yards (tackle by Jack Jones and Isaiah Pola-Mao),2.190,2.850
1,3:02,1,10,LVR 41,0,0,Bijan Robinson left end for 8 yards (tackle by Robert Spillane),2.850,3.390
1,2:26,2,2,LVR 33,0,0,Tyler Allgeier left end for -2 yards (tackle by K'Lavon Chaisson and Divine Deablo),3.390,2.410
1,1:43,3,4,LVR 35,0,0,Kirk Cousins pass complete short right to Kyle Pitts for 5 yards (tackle by Adam Butler),2.410,3.580
1,0:59,1,10,LVR 30,0,0,Tyler Allgeier right guard for no gain (tackle by Adam Butler and Divine Deablo),3.580,3.030
1,0:19,2,10,LVR 30,6,0,Kirk Cousins pass complete deep right to Drake London for 30 yards touchdown,3.030,7.000
1,0:14,,,LVR 15,7,0,Younghoe Koo kicks extra point good,0.000,0.000
1,0:14,,,ATL 35,7,0,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
1,0:14,1,10,LVR 30,7,0,Desmond Ridder scrambles left end for 8 yards (tackle by Demone Harris),0.940,1.470
2,15:00,2,2,LVR 38,7,0,Sincere McCormick up the middle for 2 yards (tackle by David Onyemata and Grady Jarrett),1.470,1.600
2,14:19,1,10,LVR 40,7,0,Desmond Ridder pass complete short left to Sincere McCormick for 15 yards (tackle by Mike Hughes) ATL challenged the pass completion ruling and the play was upheld.,1.600,2.590
2,13:58,1,10,ATL 45,7,0,Sincere McCormick left guard for 1 yard (tackle by Kaden Elliss and Zach Harrison),2.590,2.180
2,13:17,2,9,ATL 44,7,0,Desmond Ridder scrambles left end for 11 yards (tackle by Mike Hughes),2.180,3.380
2,12:38,1,10,ATL 33,7,0,Desmond Ridder pass incomplete short left intended for Brock Bowers,3.380,2.840
2,12:35,2,10,ATL 33,7,0,Ameer Abdullah right tackle for no gain (tackle by Kaden Elliss),2.840,2.150
2,11:54,3,10,ATL 33,7,0,Desmond Ridder pass incomplete deep right intended for Brock Bowers,2.150,1.150
2,11:49,4,10,ATL 33,7,3,Daniel Carlson 52 yard field goal good,1.150,3.000
2,11:44,,,LVR 35,7,3,Daniel Carlson kicks off 65 yards touchback.,0.000,0.280
2,11:44,1,10,ATL 20,7,3,Bijan Robinson left tackle for 3 yards (tackle by Robert Spillane),0.280,0.140
2,11:18,2,7,ATL 23,7,3,Kirk Cousins pass complete short right to Bijan Robinson for 10 yards (tackle by Isaiah Pola-Mao),0.140,1.140
2,10:32,1,10,ATL 33,7,3,Bijan Robinson left tackle for 14 yards (tackle by Isaiah Pola-Mao),1.140,2.060
2,9:56,1,10,ATL 47,7,3,Bijan Robinson up the middle for 5 yards (tackle by K'Lavon Chaisson and John Jenkins),2.060,2.190
2,9:19,2,5,LVR 48,7,3,Tyler Allgeier left end for 3 yards (tackle by Robert Spillane),2.190,1.880
2,8:25,3,2,LVR 45,7,3,Bijan Robinson right guard for 3 yards (tackle by Adam Butler and Jack Jones),1.880,2.790
2,7:47,1,10,LVR 42,7,3,Bijan Robinson right tackle for 2 yards (tackle by Tre'von Moehrig),2.790,2.510
2,7:09,2,8,LVR 40,7,3,Kirk Cousins scrambles left guard for 2 yards (tackle by Jonah Laulu),2.510,2.080
2,6:29,3,6,LVR 38,7,3,Kirk Cousins pass incomplete short left intended for Darnell Mooney,2.080,0.720
2,6:24,4,6,LVR 38,7,3,Penalty on ATL: Delay of Game 5 yards (accepted) (no play),0.720,0.400
2,6:24,4,11,LVR 43,7,3,Bradley Pinion punts 40 yards fair catch by Ameer Abdullah at LV-3,0.400,0.380
2,6:17,1,10,LVR 3,7,3,Alexander Mattison up the middle for -2 yards (tackle by Kentavius Street),-0.380,-0.930
2,5:39,2,12,LVR 1,9,3,Alexander Mattison up the middle for -1 yards (tackle by Zach Harrison) safety.,-0.930,-2.000
2,5:35,,,LVR 20,9,3,Daniel Carlson kicks off 73 yards returned by Avery Williams for 28 yards (tackle by Thomas Harper and Amari Burney),0.000,1.270
2,5:29,1,10,ATL 35,9,3,Bijan Robinson up the middle for 4 yards (tackle by Zachary Carter),1.270,1.260
2,4:56,2,6,ATL 39,9,3,Kirk Cousins pass incomplete short left intended for Bijan Robinson (defended by Divine Deablo),1.260,0.560
2,4:53,3,6,ATL 39,9,3,Kirk Cousins pass complete short left to Drake London for 18 yards (tackle by Isaiah Pola-Mao and Decamerion Richardson),0.560,2.720
2,4:05,1,10,LVR 43,9,3,Tyler Allgeier left tackle for 1 yard (tackle by Isaiah Pola-Mao),2.720,2.310
2,3:40,2,9,LVR 42,9,3,Penalty on Matthew Bergeron: False Start 5 yards (accepted) (no play),2.310,1.640
2,3:19,2,14,LVR 47,9,3,Kirk Cousins pass complete short right to Charlie Woerner for 5 yards (tackle by Isaiah Pola-Mao),1.640,1.620
2,2:46,,,,,,Timeout #1 by Las Vegas Raiders,,
2,2:46,3,9,LVR 42,9,3,Kirk Cousins sacked by Adam Butler for -8 yards,1.620,-0.060
2,2:01,4,17,LVR 50,9,3,Bradley Pinion punts 42 yards fair catch by Ameer Abdullah at LV-8,-0.060,0.380
