Quarter,Time,Down,ToGo,Location,BAL,NYG,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Graham Gano kicks off 61 yards returned by Justice Hill for 59 yards (tackle by Graham Gano),0.000,3.120
1,14:52,1,10,NYG 37,0,0,Lamar Jackson pass complete short left to Zay Flowers for 10 yards (tackle by Adoree' Jackson),3.120,3.780
1,14:13,1,10,NYG 27,0,0,Lamar Jackson right tackle for 15 yards. Lamar Jackson fumbles (tackle by Dane Belton recovered by Adoree' Jackson at NYG-12 (tackle by Lamar Jackson),3.780,0.350
1,14:05,1,10,NYG 12,0,0,Tyrone Tracy right guard for 4 yards (tackle by Roquan Smith),-0.350,-0.370
1,13:32,2,6,NYG 16,0,0,Devin Singletary left guard for 4 yards (tackle by Nnamdi Madubuike and Travis Jones),-0.370,-0.480
1,12:53,3,2,NYG 20,0,0,Tommy DeVito pass incomplete short right intended for Tyrone Tracy,-0.480,-2.030
1,12:49,4,2,NYG 20,0,0,Jamie Gillan punts 51 yards fair catch by Desmond King at BAL-29,-2.030,-0.870
1,12:42,1,10,BAL 29,0,0,Derrick Henry up the middle for 2 yards (tackle by Dane Belton and Micah McFadden),0.870,0.600
1,12:05,2,8,BAL 31,0,0,Lamar Jackson pass complete short right to Zay Flowers for 5 yards (tackle by Greg Stroman),0.600,0.560
1,11:29,3,3,BAL 36,0,0,Justice Hill left guard for 6 yards (tackle by Micah McFadden),0.560,1.730
1,10:54,1,10,BAL 42,0,0,Lamar Jackson sacked by Micah McFadden for no gain,1.730,1.190
1,10:06,2,10,BAL 42,0,0,Derrick Henry left tackle for 1 yard (tackle by Greg Stroman),1.190,0.630
1,9:23,3,9,BAL 43,0,0,Lamar Jackson pass complete short right to Zay Flowers for 8 yards (tackle by Art Green),0.630,0.000
1,8:40,4,1,NYG 49,0,0,Penalty on Lamar Jackson: Delay of Game 5 yards (accepted) (no play),0.000,-0.320
1,8:30,4,6,BAL 46,0,0,Jordan Stout punts 42 yards fair catch by Ihmir Smith-Marsette at NYG-12,-0.320,0.350
1,8:21,1,10,NYG 12,0,0,Tommy DeVito pass complete short right to Malik Nabers for 5 yards (tackle by Ar'Darius Washington),-0.350,-0.230
1,7:43,2,5,NYG 17,0,0,Tyrone Tracy left guard for 1 yard (tackle by Ar'Darius Washington and Roquan Smith),-0.230,-0.720
1,7:06,3,4,NYG 18,0,0,Tommy DeVito pass incomplete deep right,-0.720,-2.240
1,6:59,4,4,NYG 18,0,0,Jamie Gillan punts 37 yards returned by Desmond King for 22 yards (tackle by Dane Belton),-2.240,-3.380
1,6:47,1,10,NYG 33,0,0,Lamar Jackson left end for 15 yards (tackle by Greg Stroman),3.380,4.370
1,6:06,1,10,NYG 18,0,0,Derrick Henry right end for 6 yards (tackle by Jason Pinnock and Cory Durden),4.370,4.810
1,5:26,2,4,NYG 12,0,0,Derrick Henry left tackle for 9 yards (tackle by Dane Belton and Adoree' Jackson),4.810,6.510
1,4:47,1,3,NYG 3,0,0,Derrick Henry left tackle for no gain (tackle by Dane Belton and Elijah Garcia),6.510,5.530
1,4:09,2,3,NYG 3,0,0,Lamar Jackson sacked by Brian Burns for -10 yards,5.530,3.060
1,3:23,3,13,NYG 13,6,0,Lamar Jackson pass complete short middle to Mark Andrews for 13 yards touchdown,3.060,7.000
1,3:18,,,NYG 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,3:18,,,BAL 35,7,0,Justin Tucker kicks off 63 yards returned by Ihmir Smith-Marsette for 24 yards (tackle by Devontez Walker),0.000,0.670
1,3:12,1,10,NYG 26,7,0,Tommy DeVito pass complete short middle to Malik Nabers for 1 yard (tackle by Roquan Smith and Tavius Robinson),0.670,0.270
1,2:35,2,9,NYG 27,7,0,Tyrone Tracy left guard for 12 yards (tackle by Tavius Robinson),0.270,1.530
1,1:57,1,10,NYG 39,7,0,Tyrone Tracy left tackle for 6 yards (tackle by Malik Harrison and Tre'Davious White),1.530,1.800
1,1:18,2,4,NYG 45,7,0,Tommy DeVito pass incomplete short right intended for Malik Nabers,1.800,1.090
1,1:15,3,4,NYG 45,7,0,Tommy DeVito pass complete short right to Darius Slayton for 16 yards (tackle by Chris Board),1.090,2.980
1,0:35,1,10,BAL 39,7,0,Tommy DeVito pass complete short right to Devin Singletary for 3 yards (tackle by Roquan Smith),2.980,2.850
2,15:00,2,7,BAL 36,7,0,Tyrone Tracy left end for 1 yard (tackle by Kyle Hamilton),2.850,2.280
2,14:18,3,6,BAL 35,7,0,Tommy DeVito pass complete short middle to Wan'Dale Robinson for 5 yards (tackle by Kyle Hamilton),2.280,1.520
2,13:52,4,1,BAL 30,7,0,Tommy DeVito up the middle for no gain (tackle by Ar'Darius Washington and Malik Harrison),1.520,-0.940
2,13:48,1,10,BAL 30,7,0,Lamar Jackson pass complete short right to Mark Andrews for 11 yards (tackle by Dane Belton),0.940,1.660
2,13:15,1,10,BAL 41,7,0,Derrick Henry up the middle for 5 yards (tackle by Elijah Garcia),1.660,1.800
2,12:40,2,5,BAL 46,7,0,Penalty on Tyler Linderbaum: False Start 5 yards (accepted) (no play),1.800,1.120
2,12:20,2,10,BAL 41,7,0,Lamar Jackson pass complete short left to Isaiah Likely for 11 yards (tackle by Greg Stroman),1.120,2.390
2,11:42,1,10,NYG 48,7,0,Derrick Henry left tackle for -1 yards (tackle by Jordon Riley),2.390,1.710
2,11:03,2,11,NYG 49,13,0,Lamar Jackson pass complete deep right to Rashod Bateman for 49 yards touchdown,1.710,7.000
2,10:53,,,NYG 15,14,0,Justin Tucker kicks extra point good,0.000,0.000
2,10:53,,,BAL 35,14,0,Justin Tucker kicks off 65 yards returned by Ihmir Smith-Marsette for 30 yards (tackle by Malik Harrison). Penalty on Matthew Adams: Offensive Holding 10 yards (accepted),0.000,0.280
2,10:46,1,10,NYG 20,14,0,Tyrone Tracy right guard for 3 yards (tackle by Broderick Washington and Ar'Darius Washington),0.280,0.140
2,10:03,2,7,NYG 23,14,0,Tommy DeVito pass complete short right to Malik Nabers for 14 yards,0.140,1.400
2,9:22,1,10,NYG 37,14,0,Tommy DeVito pass complete short left to Malik Nabers for 3 yards (tackle by Brandon Stephens),1.400,1.260
2,8:43,2,7,NYG 40,14,0,Tyrone Tracy left end for 3 yards (tackle by Kyle Van Noy),1.260,0.960
2,8:03,3,4,NYG 43,14,0,Tommy DeVito pass incomplete short left intended for Malik Nabers. Penalty on Marlon Humphrey: Defensive Holding 5 yards (accepted) (no play),0.960,2.130
2,8:00,1,10,NYG 48,14,0,Tommy DeVito pass complete short right to Daniel Bellinger for 13 yards (tackle by Nate Wiggins),2.130,2.980
2,7:20,1,10,BAL 39,14,0,Devin Singletary right guard for 2 yards (tackle by Roquan Smith),2.980,2.710
2,6:43,2,8,BAL 37,14,0,Tommy DeVito pass complete short left to Malik Nabers for 6 yards (tackle by Kyle Hamilton),2.710,2.810
2,6:08,3,2,BAL 31,14,0,Tyrone Tracy up the middle for no gain (tackle by Nnamdi Madubuike and Travis Jones),2.810,1.400
