Quarter,Time,Down,ToGo,Location,CIN,TEN,Detail,EPB,EPA
,,,,,,,Titans won the coin toss and deferred Bengals to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Nick Folk kicks off 65 yards touchback.,0.000,0.280
1,15:00,1,10,CIN 20,0,0,Penalty on Cam Grandy: False Start 5 yards (accepted) (no play),0.280,-0.310
1,15:00,1,15,CIN 15,0,0,Joe Burrow pass complete short left to Mike Gesicki for 4 yards (tackle by Daryl Worley),-0.310,-0.460
1,14:18,2,11,CIN 19,0,0,Joe Burrow pass short middle intended for Andrei Iosivas is intercepted by Luke Gifford at CIN-29 and returned for no gain (tackle by Andrei Iosivas),-0.460,-3.640
1,14:18,1,10,CIN 29,0,0,Tony Pollard up the middle for 4 yards (tackle by B.J. Hill),3.640,3.640
1,13:41,2,6,CIN 25,0,0,Will Levis pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),3.640,4.370
1,13:01,1,10,CIN 18,0,0,Tony Pollard up the middle for 6 yards (tackle by Jordan Battle),4.370,4.810
1,12:23,2,4,CIN 12,0,0,Tony Pollard left guard for 5 yards (tackle by Sam Hubbard),4.810,5.600
1,11:36,1,7,CIN 7,0,0,Tony Pollard up the middle for 4 yards (tackle by Geno Stone),5.600,5.530
1,10:55,2,3,CIN 3,0,6,Tony Pollard up the middle for 3 yards touchdown,5.530,7.000
1,10:52,,,CIN 15,0,7,Nick Folk kicks extra point good,0.000,0.000
1,10:52,,,TEN 35,0,7,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,10:52,1,10,CIN 30,0,7,Chase Brown up the middle for 3 yards (tackle by Luke Gifford),0.940,0.800
1,10:16,2,7,CIN 33,0,7,Joe Burrow pass incomplete short right,0.800,0.100
1,10:09,3,7,CIN 33,0,7,Joe Burrow pass complete short middle to Mike Gesicki for 17 yards (tackle by Darrell Baker),0.100,2.260
1,9:28,1,10,CIN 50,0,7,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.260,1.710
1,9:24,2,10,CIN 50,0,7,Joe Burrow pass complete short left to Ja'Marr Chase for 29 yards (tackle by Amani Hooker),1.710,4.170
