Quarter,Time,Down,ToGo,Location,KAN,CLE,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Chiefs to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Riley Patterson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,KAN 30,0,0,Isiah Pacheco right tackle for -1 yards (tackle by Shelby Harris),0.940,0.260
1,14:31,2,11,KAN 29,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 8 yards (tackle by Grant Delpit),0.260,0.630
1,13:53,3,3,KAN 37,0,0,Patrick Mahomes pass incomplete short right intended for Noah Gray,0.630,-0.910
1,13:46,4,3,KAN 37,0,0,Matt Araiza punts 38 yards returned by James Proche for -2 yards. James Proche fumbles (forced by Christian Roland-Wallace) recovered by Samaje Perine at CLE-21 (tackle by Christian Roland-Wallace),-0.910,4.170
1,13:34,1,10,CLE 21,0,0,Isiah Pacheco up the middle for 6 yards (tackle by Grant Delpit and Ronnie Hickman),4.170,4.550
1,13:03,2,4,CLE 15,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 8 yards (tackle by Grant Delpit and Martin Emerson),4.550,5.600
1,12:18,1,7,CLE 7,6,0,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 7 yards touchdown,5.600,7.000
1,12:12,,,CLE 15,7,0,Harrison Butker kicks extra point good,0.000,0.000
1,12:12,,,KAN 35,7,0,Justin Reid kicks off 62 yards returned by Jerome Ford for 24 yards (tackle by Cam Jones),0.000,0.740
1,12:04,1,10,CLE 27,7,0,Jameis Winston pass complete short left to Jerry Jeudy for 9 yards (tackle by Chamarri Conner),0.740,1.410
1,11:27,2,1,CLE 36,7,0,Nick Chubb up the middle for 6 yards (tackle by Michael Danna and Drue Tranquill),1.410,1.730
1,10:49,1,10,CLE 42,7,0,Jerome Ford right guard for -2 yards (tackle by Chris Jones and Michael Danna),1.730,0.920
1,10:07,2,12,CLE 40,7,0,Jameis Winston sacked by and Chris Jones for no gain and Nick Bolton for no gain. Penalty on Joshua Williams: Illegal Contact 5 yards (accepted) (no play),0.920,1.930
1,9:49,1,10,CLE 45,7,0,Jameis Winston pass complete short left to Michael Woods for 4 yards (tackle by Chamarri Conner),1.930,1.920
1,9:03,2,6,CLE 49,7,0,Nick Chubb right tackle for no gain (tackle by Bryan Cook),1.920,1.220
1,8:28,3,6,CLE 49,7,0,Jameis Winston sacked by George Karlaftis for -1 yards. Penalty on Germain Ifedi: Illegal Shift 5 yards (declined),1.220,-0.190
1,7:53,4,7,CLE 48,7,0,Corey Bojorquez punts 36 yards returned by Nikko Remigio for 3 yards (tackle by Nathaniel Watson). Penalty on Mohamoud Diabate: Illegal Formation 5 yards (accepted),-0.190,-0.540
1,7:44,1,10,KAN 24,7,0,Kareem Hunt right tackle for 12 yards (tackle by Jordan Hicks and Juan Thornhill),0.540,1.330
1,7:08,1,10,KAN 36,7,0,Kareem Hunt right end for 7 yards (tackle by Mohamoud Diabate),1.330,1.740
1,6:36,2,3,KAN 43,7,0,Kareem Hunt left tackle for -1 yards (tackle by Myles Garrett),1.740,0.890
1,5:57,3,4,KAN 42,7,0,Patrick Mahomes pass incomplete deep middle intended for Justin Watson. Penalty on Justin Watson: Offensive Pass Interference 10 yards (declined),0.890,-0.590
1,5:50,4,4,KAN 42,7,0,Matt Araiza punts 58 yards touchback.,-0.590,-0.280
1,5:42,1,10,CLE 20,7,0,Nick Chubb left tackle for 3 yards (tackle by Derrick Nnadi and Chris Jones),0.280,0.140
1,5:12,2,7,CLE 23,7,0,Jameis Winston pass complete short left to Jerry Jeudy for 7 yards (tackle by Joshua Williams and Drue Tranquill),0.140,0.940
1,4:40,1,10,CLE 30,7,0,Jameis Winston pass incomplete short right intended for Jamari Thrash,0.940,0.390
1,4:31,2,10,CLE 30,7,0,Jameis Winston pass incomplete short right intended for Elijah Moore (defended by Trent McDuffie). Penalty on Jamari Thrash: Offensive Offside 5 yards (declined),0.390,-0.300
1,4:24,3,10,CLE 30,7,0,Jameis Winston pass complete deep right to Jerry Jeudy for 17 yards (tackle by Joshua Williams),-0.300,2.060
1,3:53,1,10,CLE 47,7,0,Jameis Winston pass complete short left to Elijah Moore for -3 yards (tackle by Bryan Cook),2.060,1.110
1,3:13,2,13,CLE 44,7,0,Nick Chubb right guard for 7 yards (tackle by Justin Reid and Chamarri Conner),1.110,1.360
1,2:33,3,6,KAN 49,7,0,Jameis Winston pass complete short right to Jerry Jeudy for 13 yards (tackle by Bryan Cook),1.360,3.180
1,1:44,,,,,,Timeout #1 by Cleveland Browns,,
1,1:44,1,10,KAN 36,7,0,Jameis Winston pass deep middle intended for Elijah Moore is intercepted by Bryan Cook in end zone and returned for no gain,3.180,-0.280
1,1:35,1,10,KAN 20,7,0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,0.280,-0.270
1,1:29,2,10,KAN 20,7,0,Isiah Pacheco left guard for 8 yards (tackle by Grant Delpit and Ronnie Hickman),-0.270,0.100
1,0:48,3,2,KAN 28,7,0,Isiah Pacheco up the middle for 1 yard (tackle by Jordan Hicks),0.100,-1.440
1,0:15,4,1,KAN 29,7,0,Matt Araiza punts 41 yards fair catch by James Proche at CLE-30,-1.440,-0.940
1,0:11,1,10,CLE 30,7,0,Jerome Ford left end for 4 yards (tackle by Drue Tranquill),0.940,0.930
2,15:00,2,6,CLE 34,7,0,Jerome Ford left tackle for 1 yard (tackle by Tershawn Wharton),0.930,0.370
2,14:23,3,5,CLE 35,7,0,Jameis Winston sacked by George Karlaftis for -5 yards. Penalty on Wyatt Teller: Offensive Holding 10 yards (declined),0.370,-1.370
2,14:08,4,10,CLE 30,7,0,Corey Bojorquez punts 68 yards returned by Nikko Remigio for 16 yards (tackle by Nathaniel Watson). Penalty on Mohamoud Diabate: Ineligible Downfield Kick 5 yards (accepted),-1.370,-0.480
2,13:57,1,10,KAN 23,7,0,Patrick Mahomes pass incomplete short left intended for Noah Gray (defended by Myles Garrett),0.480,-0.070
2,13:53,2,10,KAN 23,7,0,Patrick Mahomes pass complete short left to DeAndre Hopkins for 4 yards (tackle by Denzel Ward),-0.070,-0.230
2,13:20,3,6,KAN 27,7,0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,-0.230,-1.570
2,13:16,4,6,KAN 27,7,0,Matt Araiza punts 40 yards fair catch by James Proche at CLE-33,-1.570,-1.140
2,13:10,1,10,CLE 33,7,0,Jameis Winston pass complete short left to Jerry Jeudy for 5 yards,1.140,1.270
2,12:47,2,5,CLE 38,7,0,Nick Chubb right end for 1 yard (tackle by Michael Danna and Nick Bolton),1.270,0.700
2,11:56,3,4,CLE 39,7,0,Jameis Winston pass incomplete short right intended for Jerry Jeudy,0.700,-0.780
2,11:49,4,4,CLE 39,7,0,Corey Bojorquez punts 48 yards out of bounds,-0.780,0.320
2,11:42,1,10,KAN 13,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for 8 yards (tackle by Devin Bush),-0.320,0.350
2,11:06,2,2,KAN 21,7,0,Xavier Worthy left end for 4 yards (tackle by Cameron Mitchell),0.350,0.610
2,10:28,1,10,KAN 25,7,0,Patrick Mahomes pass incomplete deep right intended for Travis Kelce,0.610,0.060
