Quarter,Time,Down,ToGo,Location,MIA,HOU,Detail,EPB,EPA
,,,,,,,Texans won the coin toss and deferred Dolphins to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 62 yards returned by Malik Washington for 23 yards (tackle by M.J. Stewart),0.000,0.670
1,14:56,1,10,MIA 26,0,0,Tua Tagovailoa pass complete short right to De'Von Achane for -3 yards (tackle by Derek Stingley),0.670,-0.280
1,14:24,2,13,MIA 23,0,0,De'Von Achane left tackle for 6 yards (tackle by Calen Bullock and Henry To'oTo'o),-0.280,-0.160
1,13:42,3,7,MIA 29,0,0,Tua Tagovailoa pass complete short right to Malik Washington for 8 yards (tackle by Kamari Lassiter),-0.160,1.400
1,13:02,1,10,MIA 37,0,0,Tua Tagovailoa pass incomplete short right intended for Jaylen Waddle,1.400,0.860
1,12:58,2,10,MIA 37,0,0,De'Von Achane right guard for 1 yard (tackle by Folorunso Fatukasi),0.860,0.300
1,12:18,3,9,MIA 38,0,0,Tua Tagovailoa sacked by and Danielle Hunter for -1 yards and Henry To'oTo'o for -1 yards,0.300,-0.910
1,11:33,4,10,MIA 37,0,0,Jake Bailey punts 58 yards returned by Tank Dell for 14 yards (tackle by Channing Tindall),-0.910,-0.150
1,11:20,1,10,HOU 19,0,0,C.J. Stroud pass complete short right to Joe Mixon for 15 yards (tackle by Jordyn Brooks),0.150,1.200
1,10:43,1,10,HOU 34,0,0,Joe Mixon left end for 5 yards (tackle by Quinton Bell),1.200,1.330
1,10:09,2,5,HOU 39,0,0,Tank Dell right end for 15 yards (tackle by Kader Kohou and Kendall Fuller),1.330,2.520
1,9:24,1,10,MIA 46,0,0,C.J. Stroud pass complete short left to Robert Woods for 12 yards (tackle by Jevon Holland),2.520,3.310
1,8:45,1,10,MIA 34,0,0,C.J. Stroud pass complete short right to Robert Woods for no gain. Robert Woods fumbles (forced by Kader Kohou) recovered by Blake Fisher at MIA-34,3.310,2.770
1,7:58,2,10,MIA 34,0,0,C.J. Stroud pass complete short left to Nico Collins for 8 yards (tackle by Kendall Fuller),2.770,3.140
1,7:18,3,2,MIA 26,0,0,C.J. Stroud pass incomplete short left intended for Joe Mixon,3.140,1.860
1,7:12,4,2,MIA 26,0,3,Ka'imi Fairbairn 44 yard field goal good,1.860,3.000
1,7:09,,,HOU 35,0,3,Ka'imi Fairbairn kicks off 66 yards returned by Malik Washington for 29 yards (tackle by Del'Shawn Phillips and Kris Boyd). Penalty on Channing Tindall: Offensive Holding 10 yards (accepted),0.000,0.040
1,6:59,1,10,MIA 18,0,3,Penalty on Folorunso Fatukasi: Encroachment 5 yards (accepted) (no play),0.040,0.880
1,6:59,1,5,MIA 23,0,3,De'Von Achane left tackle for 3 yards (tackle by Derek Barnett and Christian Harris),0.880,0.680
1,6:19,2,2,MIA 26,0,3,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill,0.680,-0.140
1,6:16,3,2,MIA 26,0,3,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,-0.140,-1.630
1,6:10,4,2,MIA 26,0,3,Jake Bailey punts 59 yards returned by Tank Dell for 23 yards (tackle by Quinton Bell),-1.630,-1.470
1,5:57,1,10,HOU 38,0,3,C.J. Stroud pass incomplete short right,1.470,0.920
1,5:49,2,10,HOU 38,0,3,C.J. Stroud pass complete short left to John Metchie for 7 yards (tackle by Emmanuel Ogbah),0.920,1.160
1,5:07,3,3,HOU 45,0,3,C.J. Stroud sacked by Zach Sieler for -13 yards,1.160,-1.240
1,4:22,4,16,HOU 32,0,3,Tommy Townsend punts 50 yards fair catch by Malik Washington at MIA-18,-1.240,-0.040
1,4:15,1,10,MIA 18,0,3,De'Von Achane right tackle for 2 yards (tackle by Derek Stingley and Jimmie Ward),0.040,-0.130
1,3:45,2,8,MIA 20,0,3,Tua Tagovailoa pass complete short middle to Jonnu Smith for 10 yards (tackle by Christian Harris and Will Anderson),-0.130,0.940
1,3:08,1,10,MIA 30,0,3,Tua Tagovailoa pass complete short left to De'Von Achane for 9 yards (tackle by Dylan Horton and Calen Bullock),0.940,1.610
