Quarter,Time,Down,ToGo,Location,TAM,LAC,Detail,EPB,EPA
,,,,,,,Buccaneers won the coin toss Buccaneers to receive the opening kickoff.,,
1,15:00,,,LAC 35,0,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,TAM 30,0,0,Rachaad White up the middle for 2 yards (tackle by Daiyan Henley and Troy Dye),0.940,0.660
1,14:16,2,8,TAM 32,0,0,Baker Mayfield pass complete deep middle to Jalen McMillan for 19 yards (tackle by Elijah Molden and Tony Jefferson),0.660,2.320
1,13:32,1,10,LAC 49,0,0,Rachaad White left tackle for 5 yards (tackle by Daiyan Henley),2.320,2.460
1,12:53,2,5,LAC 44,0,0,Baker Mayfield pass complete short left to Cade Otton for 11 yards (tackle by Kristian Fulton),2.460,3.380
1,12:08,1,10,LAC 33,0,0,Baker Mayfield pass incomplete deep left intended for Cade Otton,3.380,2.840
1,12:01,2,10,LAC 33,0,0,Baker Mayfield pass complete short right to Mike Evans for 7 yards (tackle by Troy Dye),2.840,3.070
1,11:20,3,3,LAC 26,6,0,Baker Mayfield pass complete deep left to Jalen McMillan for 26 yards touchdown,3.070,7.000
1,11:14,,,LAC 15,7,0,Chase McLaughlin kicks extra point good,0.000,0.000
1,11:14,,,TAM 35,7,0,Jack Browning kicks off 65 yards touchback.,0.000,0.940
1,11:14,1,10,LAC 30,7,0,Justin Herbert pass complete short right to Ladd McConkey for 7 yards (tackle by Zyon McCollum),0.940,1.340
1,10:44,2,3,LAC 37,7,0,Justin Herbert pass complete short middle to Ladd McConkey for 13 yards (tackle by Tykee Smith),1.340,2.260
1,10:03,1,10,TAM 50,7,0,Justin Herbert pass complete short right to Kimani Vidal for 3 yards (tackle by Anthony Nelson and Ryan Neal),2.260,2.120
1,9:21,2,7,TAM 47,7,0,Justin Herbert pass complete short right to Quentin Johnston for 13 yards (tackle by Lavonte David),2.120,3.310
1,8:33,1,10,TAM 34,7,0,Gus Edwards left end for 8 yards (tackle by J.J. Russell),3.310,3.850
1,7:54,2,2,TAM 26,7,0,Gus Edwards left end for 4 yards (tackle by Ryan Neal),3.850,4.110
1,7:17,1,10,TAM 22,7,0,Justin Herbert pass incomplete short middle intended for Kimani Vidal,4.110,3.560
1,7:09,2,10,TAM 22,7,0,Gus Edwards left guard for no gain (tackle by J.J. Russell),3.560,2.870
1,6:34,3,10,TAM 22,7,0,Justin Herbert pass incomplete short left intended for Stone Smartt. Penalty on Christian Izien: Defensive Pass Interference 10 yards (accepted) (no play),2.870,4.780
1,6:28,1,10,TAM 12,7,0,Justin Herbert pass incomplete short left intended for Quentin Johnston,4.780,4.100
1,6:25,2,10,TAM 12,7,0,Penalty on Joe Tryon-Shoyinka: Encroachment 5 yards (accepted) (no play),4.100,5.020
1,6:25,2,5,TAM 7,7,6,Justin Herbert pass complete short right to Ladd McConkey for 7 yards touchdown,5.020,7.000
1,6:18,,,TAM 15,7,7,Cameron Dicker kicks extra point good,0.000,0.000
1,6:18,,,LAC 35,7,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,6:18,1,10,TAM 30,7,7,Baker Mayfield pass complete short right to Mike Evans for 5 yards (tackle by Tarheeb Still),0.940,1.070
1,5:42,2,5,TAM 35,7,7,Bucky Irving right guard for 2 yards (tackle by Troy Dye),1.070,0.630
1,5:00,3,3,TAM 37,7,7,Baker Mayfield pass complete short middle to Mike Evans for 12 yards (tackle by Elijah Molden and Kristian Fulton),0.630,2.190
1,4:33,1,10,TAM 49,7,7,Baker Mayfield pass complete deep middle to Sterling Shepard for 16 yards (tackle by Elijah Molden),2.190,3.250
1,3:48,1,10,LAC 35,7,7,Bucky Irving up the middle for 6 yards (tackle by Derwin James),3.250,3.510
1,3:05,2,4,LAC 29,7,7,Baker Mayfield pass complete short left to Jalen McMillan for no gain (tackle by Kristian Fulton). Penalty on Graham Barton: Offensive Holding 10 yards (accepted) (no play),3.510,2.160
1,2:32,2,14,LAC 39,7,7,Bucky Irving left tackle for 2 yards (tackle by Poona Ford),2.160,1.750
1,1:52,3,12,LAC 37,7,7,Baker Mayfield pass complete deep middle to Jalen McMillan for 21 yards (tackle by Kristian Fulton),1.750,4.510
1,1:13,1,10,LAC 16,7,7,Bucky Irving right end for 5 yards (tackle by Elijah Molden),4.510,4.760
1,0:33,2,5,LAC 11,7,7,Baker Mayfield pass incomplete short right intended for Rachaad White. Penalty on Joey Bosa: Defensive Offside 5 yards (accepted) (no play),4.760,5.830
1,0:28,1,6,LAC 6,7,7,Baker Mayfield pass complete short left to Bucky Irving for -1 yards (tackle by Elijah Molden),5.830,4.760
2,15:00,2,7,LAC 7,7,7,Rachaad White left end for no gain (tackle by Kristian Fulton),4.760,3.810
2,14:13,3,7,LAC 7,7,7,Baker Mayfield scrambles left end for 4 yards (tackle by Elijah Molden),3.810,3.040
2,13:44,4,3,LAC 3,10,7,Chase McLaughlin 22 yard field goal good,3.040,3.000
2,13:41,,,TAM 35,10,7,Jack Browning kicks off 63 yards returned by Derius Davis for 24 yards (tackle by J.J. Russell),0.000,0.670
2,13:36,1,10,LAC 26,10,7,Justin Herbert pass complete short right to Tucker Fisk for 7 yards (tackle by Ryan Neal),0.670,1.070
2,12:54,2,3,LAC 33,10,7,Justin Herbert pass complete deep left to Ladd McConkey for 20 yards (tackle by Lavonte David),1.070,2.460
2,12:08,1,10,TAM 47,10,7,Kimani Vidal right tackle for 2 yards (tackle by Lavonte David),2.460,2.180
2,11:27,2,8,TAM 45,10,7,Justin Herbert pass complete deep right to Stone Smartt for 31 yards (tackle by Kaevon Merriweather),2.180,4.650
2,10:33,1,10,TAM 14,10,7,Justin Herbert sacked by Lavonte David for -11 yards,4.650,2.610
2,10:09,2,21,TAM 25,10,7,Justin Herbert pass complete short right to Kimani Vidal for no gain (tackle by Lavonte David). Penalty on Rashawn Slater: Illegal Formation 5 yards (accepted) (no play),2.610,1.930
2,9:38,2,26,TAM 30,10,7,Justin Herbert pass incomplete short left,1.930,1.290
2,9:32,3,26,TAM 30,10,7,Kimani Vidal up the middle for 7 yards (tackle by Jamel Dean and J.J. Russell),1.290,1.930
2,8:51,4,19,TAM 23,10,10,Cameron Dicker 41 yard field goal good,1.930,3.000
2,8:47,,,LAC 35,10,10,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,8:47,1,10,TAM 30,10,10,Baker Mayfield pass short middle intended for Mike Evans is intercepted by Tarheeb Still at TB-45 and returned for 18 yards (tackle by Cade Otton),0.940,-3.780
2,8:39,1,10,TAM 27,10,10,Gus Edwards left end for 7 yards (tackle by Joe Tryon-Shoyinka),3.780,4.180
2,7:57,2,3,TAM 20,10,10,Justin Herbert pass complete short middle to Stone Smartt for 7 yards (tackle by Lavonte David),4.180,4.710
2,7:18,1,10,TAM 13,10,16,Justin Herbert pass complete short right to Quentin Johnston for 13 yards touchdown,4.710,7.000
2,7:12,,,TAM 15,10,17,Cameron Dicker kicks extra point good,0.000,0.000
2,7:12,,,LAC 35,10,17,Cameron Dicker kicks off 67 yards returned by Sean Tucker for 37 yards (tackle by Nick Niemann),0.000,1.270
2,7:06,1,10,TAM 35,10,17,Rachaad White left guard for 5 yards (tackle by Troy Dye),1.270,1.400
2,6:20,2,5,TAM 40,10,17,Baker Mayfield pass complete short right to Jalen McMillan for 4 yards (tackle by Kristian Fulton),1.400,1.220
