Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
,,,,,,,Bengals won the coin toss and deferred Browns to receive the opening kickoff.,,
1,15:00,,,CIN 35,0,0,Cade York kicks off 64 yards returned by Jerome Ford for 22 yards (tackle by Daijahn Anthony),0.000,0.480
1,14:54,1,10,CLE 23,0,0,Jerome Ford right tackle for 66 yards (tackle by Cam Taylor-Britt),0.480,4.840
1,14:12,1,10,CIN 11,0,0,Jerome Ford right tackle for 1 yard (tackle by Josh Newton),4.840,4.320
1,13:39,2,9,CIN 10,0,0,Dorian Thompson-Robinson right end for 8 yards (tackle by Jordan Battle),4.320,5.120
1,13:00,,,,,,Timeout #1 by Cincinnati Bengals,,
1,13:00,3,1,CIN 2,0,0,D'Onta Foreman up the middle for 1 yard (tackle by Joseph Ossai),5.120,6.970
1,12:16,1,1,CIN 1,0,0,D'Onta Foreman right guard for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. D'Onta Foreman right guard for no gain. D'Onta Foreman fumbles (tackle by Shaka Heyward) recovered by Vonn Bell at CIN-1,6.970,0.380
1,12:12,1,10,CIN 1,0,0,Penalty on Mohamoud Diabate: Neutral Zone Infraction 5 yards (accepted) (no play),-0.380,-0.190
1,12:12,1,5,CIN 6,0,0,Joe Burrow pass complete short left to Tee Higgins for 4 yards (tackle by Martin Emerson),-0.190,-0.120
1,11:30,2,1,CIN 10,0,0,Chase Brown left guard for 3 yards (tackle by Michael Hall),-0.120,-0.320
1,10:49,1,10,CIN 13,0,0,Ja'Marr Chase right end for 7 yards (tackle by Mohamoud Diabate),-0.320,0.220
1,10:08,2,3,CIN 20,0,0,Joe Burrow pass complete short right to Ja'Marr Chase for 14 yards (tackle by Jordan Hicks),0.220,1.200
1,9:26,1,10,CIN 34,0,0,Chase Brown right tackle for 21 yards (tackle by Juan Thornhill),1.200,2.590
1,8:45,1,10,CLE 45,0,0,Joe Burrow pass complete short right to Tee Higgins for 21 yards (tackle by Denzel Ward),2.590,3.970
1,8:05,1,10,CLE 24,0,0,Chase Brown left end for 22 yards (tackle by Jordan Hicks),3.970,6.740
1,7:18,1,2,CLE 2,0,6,Joe Burrow pass complete short middle to Tee Higgins for 2 yards touchdown,6.740,7.000
1,7:14,,,CLE 15,0,7,Cade York kicks extra point good,0.000,0.000
1,7:14,,,CIN 35,0,7,Cade York kicks off 60 yards returned by Jerome Ford for 22 yards (tackle by Vonn Bell and Cedric Johnson),0.000,0.740
1,7:06,1,10,CLE 27,0,7,Dorian Thompson-Robinson left end for -6 yards (tackle by Mike Hilton),0.740,-0.610
1,6:30,2,16,CLE 21,0,7,Dorian Thompson-Robinson pass incomplete short right intended for Michael Woods,-0.610,-1.290
1,6:26,3,16,CLE 21,0,7,Dorian Thompson-Robinson pass complete short right to Jordan Akins for 8 yards (tackle by Mike Hilton and Joseph Ossai),-1.290,-1.440
1,5:43,4,8,CLE 29,0,7,Corey Bojorquez punts 44 yards fair catch by Isaiah Williams at CIN-27,-1.440,-0.740
1,5:36,1,10,CIN 27,0,7,Joe Burrow pass complete short right to Ja'Marr Chase for 15 yards (tackle by Denzel Ward),0.740,1.730
1,4:49,1,10,CIN 42,0,7,Joe Burrow pass complete short left to Ja'Marr Chase for 10 yards (tackle by Denzel Ward),1.730,2.390
1,4:10,1,10,CLE 48,0,7,Chase Brown right guard for 3 yards (tackle by Devin Bush and Mohamoud Diabate),2.390,2.250
1,3:30,2,7,CLE 45,0,7,Joe Burrow pass complete short right to Chase Brown for 10 yards (tackle by Jordan Hicks),2.250,3.250
1,2:49,1,10,CLE 35,0,7,Joe Burrow pass complete short middle to Tee Higgins for 9 yards (tackle by Ronnie Hickman),3.250,3.920
1,2:12,2,1,CLE 26,0,7,Chase Brown right end for -2 yards (tackle by Jowon Briggs),3.920,2.940
1,1:29,3,3,CLE 28,0,7,Joe Burrow pass incomplete deep middle intended for Tee Higgins,2.940,1.680
1,1:22,4,3,CLE 28,0,7,Cade York 47 yard field goal no good,1.680,-1.400
1,1:17,1,10,CLE 37,0,7,Dorian Thompson-Robinson sacked by Kris Jenkins for -7 yards,1.400,-0.090
1,0:34,2,17,CLE 30,0,7,Pierre Strong right tackle for 6 yards (tackle by Akeem Davis-Gaither),-0.090,0.040
2,15:00,3,11,CLE 36,0,7,Dorian Thompson-Robinson pass incomplete short middle intended for Elijah Moore,0.040,-0.980
2,14:57,4,11,CLE 36,0,7,Corey Bojorquez punts 40 yards returned by Isaiah Williams for 2 yards (tackle by Mike Ford),-0.980,-0.670
2,14:49,1,10,CIN 26,0,7,Chase Brown left guard for 1 yard (tackle by Jowon Briggs and Devin Bush),0.670,0.270
2,14:09,2,9,CIN 27,0,7,Joe Burrow pass complete short middle to Tee Higgins for 7 yards (tackle by Jordan Hicks),0.270,0.500
2,13:28,3,2,CIN 34,0,7,Joe Burrow pass incomplete short right,0.500,-1.110
2,13:20,4,2,CIN 34,0,7,Ryan Rehkow punts 43 yards fair catch by James Proche at CLE-23,-1.110,-0.480
2,13:14,1,10,CLE 23,0,7,Jerome Ford right guard for 2 yards (tackle by Jordan Battle),0.480,0.200
2,12:33,2,8,CLE 25,0,7,Dorian Thompson-Robinson sacked by Trey Hendrickson for -8 yards,0.200,-1.760
2,11:50,3,16,CLE 17,0,7,Dorian Thompson-Robinson pass incomplete deep middle intended for Michael Woods,-1.760,-2.320
2,11:45,4,16,CLE 17,0,7,Corey Bojorquez punts 43 yards returned by Isaiah Williams for 10 yards (tackle by Nathaniel Watson and Rodney McLeod),-2.320,-2.260
2,11:34,1,10,CLE 50,0,7,Joe Burrow pass complete short left to Mike Gesicki for 5 yards (tackle by Jordan Hicks),2.260,2.390
2,11:02,2,5,CLE 45,0,7,Joe Burrow pass complete short left to Ja'Marr Chase for 11 yards (tackle by Martin Emerson),2.390,3.310
2,10:22,1,10,CLE 34,0,7,Joe Burrow pass complete short right to Andrei Iosivas for 15 yards (tackle by Myles Harden),3.310,4.310
2,9:46,1,10,CLE 19,0,7,Chase Brown right tackle for 5 yards (tackle by Devin Bush and Grant Delpit),4.310,4.530
2,9:03,2,5,CLE 14,0,7,Joe Burrow pass complete short right to Tee Higgins for 4 yards (tackle by Martin Emerson and Jordan Hicks),4.530,4.690
2,8:23,3,1,CLE 10,0,7,Chase Brown left guard for 4 yards (tackle by Devin Bush and Ronnie Hickman),4.690,5.830
2,7:44,1,6,CLE 6,0,7,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,5.830,4.950
2,7:39,2,6,CLE 6,0,7,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Devin Bush),4.950,4.040
2,7:36,3,6,CLE 6,0,13,Joe Burrow pass complete short middle to Andrei Iosivas for 6 yards touchdown,4.040,7.000
2,7:32,,,CLE 15,0,14,Cade York kicks extra point good,0.000,0.000
2,7:32,,,CIN 35,0,14,Cade York kicks off 64 yards returned by Jerome Ford for 18 yards (tackle by Trayveon Williams),0.000,0.150
2,7:27,1,10,CLE 19,0,14,Dorian Thompson-Robinson pass complete short left to Pierre Strong for 2 yards (tackle by Maema Njongmeta and Jordan Battle),0.150,-0.060
2,6:42,2,8,CLE 21,0,14,Dorian Thompson-Robinson left tackle for 12 yards (tackle by Germaine Pratt),-0.060,1.140
2,6:05,1,10,CLE 33,0,14,Dorian Thompson-Robinson right end for -8 yards (tackle by Mike Hilton),1.140,-0.490
2,5:21,2,18,CLE 25,0,14,Dorian Thompson-Robinson pass complete short left to Jerry Jeudy for 5 yards (tackle by Mike Hilton),-0.490,-0.490
2,4:44,3,13,CLE 30,0,14,Dorian Thompson-Robinson scrambles right end for 4 yards (tackle by Trey Hendrickson),-0.490,-1.110
2,4:01,4,9,CLE 34,0,14,Corey Bojorquez punts 47 yards returned by Isaiah Williams for 13 yards (tackle by Mohamoud Diabate),-1.110,-1.070
2,3:51,1,10,CIN 32,0,14,Joe Burrow pass complete short left to Drew Sample for 12 yards (tackle by Sam Kamara and Cameron Mitchell),1.070,1.860
2,3:12,1,10,CIN 44,0,14,Chase Brown left tackle for 3 yards (tackle by Juan Thornhill and Ogbonnia Okoronkwo),1.860,1.720
2,2:29,2,7,CIN 47,0,14,Penalty on Devin Cochran: False Start 5 yards (accepted) (no play),1.720,1.050
2,2:19,2,12,CIN 42,0,14,Chase Brown left guard for 5 yards (tackle by Martin Emerson),1.050,1.030
2,2:00,3,7,CIN 47,0,14,Joe Burrow scrambles up the middle for 16 yards (tackle by Mohamoud Diabate),1.030,3.120
2,1:34,1,10,CLE 37,0,14,Joe Burrow sacked by Myles Garrett for -8 yards,3.120,1.490
2,0:52,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:52,2,18,CLE 45,0,14,Joe Burrow pass incomplete deep left,1.490,0.830
2,0:48,3,18,CLE 45,0,14,Joe Burrow pass complete short middle to Chase Brown for 4 yards (tackle by Jordan Hicks),0.830,0.530
2,0:03,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:03,,,,,,Timeout #1 by Cleveland Browns,,
2,0:03,4,14,CLE 41,0,17,Cade York 59 yard field goal good,0.530,3.000
3,15:00,,,CLE 35,0,17,Dustin Hopkins kicks off 68 yards returned by Jermaine Burton for 28 yards (tackle by Winston Reid),0.000,0.610
3,14:53,1,10,CIN 25,0,17,Joe Burrow pass complete short middle to Tee Higgins for 8 yards (tackle by Jordan Hicks),0.610,1.140
3,14:17,2,2,CIN 33,0,17,Chase Brown left tackle for -1 yards (tackle by Myles Garrett and Michael Hall),1.140,0.300
3,13:35,3,3,CIN 32,0,17,Joe Burrow pass complete short left to Chase Brown for 4 yards (tackle by Ronnie Hickman),0.300,1.330
3,12:59,1,10,CIN 36,0,17,Joe Burrow scrambles right end for 3 yards (tackle by Myles Garrett),1.330,1.200
3,12:15,2,7,CIN 39,0,17,Chase Brown right guard for 3 yards (tackle by Sam Kamara and Grant Delpit),1.200,0.890
3,11:33,3,4,CIN 42,0,17,Joe Burrow pass incomplete short right intended for Tee Higgins,0.890,-0.590
3,11:29,4,4,CIN 42,0,17,Ryan Rehkow punts returned by James Proche for no gain (tackle by DJ Ivey). Penalty on Tycen Anderson: Player Out of Bounds on a Punt 5 yards (accepted) (no play),-0.590,-0.910
3,11:20,4,9,CIN 37,0,17,Ryan Rehkow punts 45 yards returned by James Proche for 12 yards (tackle by Tycen Anderson),-0.910,-0.940
3,11:10,1,10,CLE 30,0,17,Jerome Ford right guard for 1 yard (tackle by B.J. Hill),0.940,0.530
3,10:32,2,9,CLE 31,0,17,Dorian Thompson-Robinson pass complete short left to David Njoku for 3 yards (tackle by Mike Hilton),0.530,0.230
3,9:52,3,6,CLE 34,0,17,Dorian Thompson-Robinson pass complete short right to Jerome Ford for 12 yards (tackle by Akeem Davis-Gaither),0.230,1.990
