Quarter,Time,Down,ToGo,Location,DET,CHI,Detail,EPB,EPA
,,,,,,,Lions won the coin toss and deferred Bears to receive the opening kickoff.,,
1,15:00,,,DET 35,0,0,Jake Bates kicks off 56 yards returned by Tyler Scott for 17 yards (tackle by Pat O'Connor),0.000,0.670
1,14:55,1,10,CHI 26,0,0,Caleb Williams pass incomplete short left intended for Keenan Allen,0.670,0.130
1,14:51,2,10,CHI 26,0,0,Caleb Williams pass complete short middle to D.J. Moore for 1 yard (tackle by Levi Onwuzurike),0.130,-0.430
1,14:09,3,9,CHI 27,0,0,Caleb Williams pass incomplete deep right intended for Keenan Allen,-0.430,-1.570
1,14:00,4,9,CHI 27,0,0,Tory Taylor punts 49 yards returned by Tom Kennedy for 9 yards (tackle by Scott Daly),-1.570,-1.140
1,13:49,1,10,DET 33,0,0,Jahmyr Gibbs left tackle for 8 yards (tackle by Elijah Hicks),1.140,1.670
1,13:09,2,2,DET 41,0,0,Jared Goff pass complete short left to Jameson Williams for 5 yards. Penalty on Jameson Williams: Taunting / Offense 15 yards (accepted),1.670,1.000
1,13:02,1,10,DET 31,0,0,Jahmyr Gibbs left tackle for 5 yards (tackle by Zacch Pickens and Byron Cowart),1.000,1.140
1,12:23,2,5,DET 36,0,0,Jared Goff pass complete short right to Sam LaPorta for 17 yards (tackle by Jaylon Johnson and Kyler Gordon),1.140,2.460
1,11:53,1,10,CHI 47,0,0,Jared Goff pass complete deep right to Amon-Ra St. Brown for 28 yards (tackle by Kevin Byard),2.460,4.310
1,11:11,1,10,CHI 19,0,0,Jahmyr Gibbs right guard for 5 yards (tackle by Tremaine Edmunds),4.310,4.530
1,10:32,2,5,CHI 14,0,0,Jahmyr Gibbs right tackle for 2 yards (tackle by Jack Sanborn and Jacob Martin),4.530,4.190
1,9:47,3,3,CHI 12,0,0,Jared Goff pass incomplete short left intended for Sam LaPorta,4.190,2.730
1,9:39,4,3,CHI 12,3,0,Jake Bates 30 yard field goal good,2.730,3.000
1,9:35,,,DET 35,3,0,Jake Bates kicks off 63 yards returned by Tyler Scott for 29 yards (tackle by Pat O'Connor),0.000,1.000
1,9:29,1,10,CHI 31,3,0,D'Andre Swift left end for no gain (tackle by Terrion Arnold). Penalty on Pat O'Connor: Defensive Offside 5 yards (accepted) (no play),1.000,1.730
1,9:06,1,5,CHI 36,3,0,D.J. Moore left end for 2 yards (tackle by Ben Niemann),1.730,1.410
1,8:31,2,3,CHI 38,3,0,Caleb Williams aborted snap recovered by Josh Paschal at CHI-36,1.410,-3.180
1,8:27,1,10,CHI 36,3,0,Jared Goff pass complete short right to Jahmyr Gibbs for 23 yards (tackle by T.J. Edwards and Tyrique Stevenson),3.180,4.710
1,7:48,1,10,CHI 13,3,0,Jared Goff pass incomplete short right intended for Sam LaPorta,4.710,4.050
1,7:44,2,10,CHI 13,3,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 4 yards (tackle by Elijah Hicks),4.050,3.880
1,7:14,3,6,CHI 9,3,0,Jahmyr Gibbs right tackle for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Jahmyr Gibbs right tackle for 8 yards (tackle by Tremaine Edmunds and Kevin Byard),3.880,6.970
