Quarter,Time,Down,ToGo,Location,JAX,LVR,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,JAX 30,0,0,Travis Etienne up the middle for no gain (tackle by Robert Spillane and Tre'von Moehrig),0.940,0.390
1,14:26,2,10,JAX 30,0,0,Mac Jones pass incomplete short right intended for Luke Farrell (defended by Jack Jones),0.390,-0.300
1,14:21,3,10,JAX 30,0,0,Mac Jones pass complete short right to Parker Washington for 9 yards (tackle by Jack Jones),-0.300,-0.780
1,13:37,4,1,JAX 39,0,0,Tank Bigsby right guard for 10 yards (tackle by Isaiah Pola-Mao and Jack Jones),-0.780,2.190
1,12:58,1,10,JAX 49,0,0,Tank Bigsby left tackle for 2 yards (tackle by K'Lavon Chaisson),2.190,1.920
1,12:30,2,8,LVR 49,0,0,Mac Jones pass incomplete short middle intended for Brian Thomas (defended by John Jenkins),1.920,1.220
1,12:27,3,8,LVR 49,0,0,Mac Jones pass complete short right to Parker Washington for 1 yard (tackle by Charles Snowden),1.220,0.070
1,11:52,4,7,LVR 48,0,0,Logan Cooke punts 45 yards out of bounds,0.070,0.380
1,11:45,1,10,LVR 3,0,0,Aidan O'Connell pass complete short right to Brock Bowers for 32 yards (tackle by Andre Cisco),-0.380,1.270
1,11:05,1,10,LVR 35,0,0,Aidan O'Connell pass incomplete short left intended for Brock Bowers,1.270,0.720
1,11:01,2,10,LVR 35,0,0,Aidan O'Connell scrambles right end for no gain (tackle by Jarrian Jones). Penalty on Dylan Parham: Offensive Holding 10 yards (accepted) (no play),0.720,-0.630
1,10:36,2,20,LVR 25,0,0,Aidan O'Connell sacked by Maason Smith for -6 yards,-0.630,-2.230
1,9:54,3,26,LVR 19,0,0,Alexander Mattison left guard for 4 yards (tackle by Arik Armstead),-2.230,-1.830
