Quarter,Time,Down,ToGo,Location,LAR,NYJ,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Rams to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Anders Carlson kicks off 63 yards returned by Jordan Whittington for 19 yards (tackle by Marcelino McCrary-Ball),0.000,0.340
1,14:55,1,10,LAR 21,0,0,Matthew Stafford pass complete short left to Puka Nacua for 9 yards (tackle by Jamien Sherwood),0.340,1.020
1,14:26,2,1,LAR 30,0,0,Kyren Williams up the middle for 3 yards (tackle by Javon Kinlaw),1.020,1.140
1,13:48,1,10,LAR 33,0,0,Matthew Stafford pass incomplete short right intended for Colby Parkinson (defended by Will McDonald),1.140,0.590
1,13:39,2,10,LAR 33,0,0,Kyren Williams right guard for 7 yards (tackle by Will McDonald and Chuck Clark),0.590,0.830
1,13:01,3,3,LAR 40,0,0,Kyren Williams right guard for 9 yards (tackle by Tony Adams and Isaiah Oliver),0.830,2.190
1,12:26,1,10,LAR 49,0,0,Kyren Williams up the middle for 8 yards (tackle by Tony Adams and Chuck Clark),2.190,2.730
1,11:47,2,2,NYJ 43,0,0,Kyren Williams left guard for no gain (tackle by Quincy Williams and Leonard Taylor),2.730,2.010
1,11:03,3,2,NYJ 43,0,0,Kyren Williams left tackle for 3 yards (tackle by Sauce Gardner and Jamien Sherwood),2.010,2.920
1,10:27,1,10,NYJ 40,0,0,Matthew Stafford pass complete short right to Puka Nacua for no gain (tackle by Chuck Clark),2.920,2.370
1,9:47,2,10,NYJ 40,0,0,Blake Corum up the middle for 3 yards (tackle by Isaiah Oliver and Will McDonald),2.370,2.080
1,9:01,3,7,NYJ 37,0,0,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Haason Reddick),2.080,0.790
1,8:55,4,7,NYJ 37,0,0,Ethan Evans punts 36 yards downed by Jake Hummel,0.790,0.380
1,8:45,1,10,NYJ 1,0,0,Breece Hall left guard for 7 yards (tackle by Bobby Brown),-0.380,-0.270
1,8:09,2,3,NYJ 8,0,0,Breece Hall left end for 5 yards (tackle by Byron Young),-0.270,-0.320
1,7:33,1,10,NYJ 13,0,0,Aaron Rodgers pass complete short left to Tyler Conklin for 12 yards (tackle by Ahkello Witherspoon),-0.320,0.610
1,6:48,1,10,NYJ 25,0,0,Aaron Rodgers pass incomplete short right intended for Garrett Wilson,0.610,0.060
1,6:41,2,10,NYJ 25,0,0,Breece Hall left guard for 3 yards (tackle by Omar Speights),0.060,-0.230
1,6:01,3,7,NYJ 28,0,0,Aaron Rodgers pass complete short left to Garrett Wilson for 15 yards (tackle by Kamren Curl and Jaylen McCollough),-0.230,1.800
1,5:19,1,10,NYJ 43,0,0,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Quentin Lake),1.800,2.470
1,4:52,2,1,LAR 48,0,0,Aaron Rodgers pass complete deep left to Tyler Conklin for 20 yards (tackle by Ahkello Witherspoon),2.470,3.710
1,4:09,1,10,LAR 28,0,0,Braelon Allen left tackle for 1 yard (tackle by Tyler Davis),3.710,3.300
1,3:27,2,9,LAR 27,0,0,Breece Hall right tackle for 3 yards (tackle by Jared Verse),3.300,3.010
1,2:47,3,6,LAR 24,0,0,Aaron Rodgers pass complete short left to Breece Hall for 4 yards (tackle by Braden Fiske),3.010,2.250
1,2:00,4,2,LAR 20,0,0,Aaron Rodgers pass complete short left to Davante Adams for 8 yards (tackle by Jaylen McCollough),2.250,4.780
1,1:19,1,10,LAR 12,0,0,Breece Hall left end for 1 yard (tackle by Jared Verse and Christian Rozeboom),4.780,4.270
1,0:30,2,9,LAR 11,0,6,Aaron Rodgers pass complete short right to Davante Adams for 11 yards touchdown,4.270,7.000
1,0:23,,,LAR 15,0,6,Anders Carlson kicks extra point no good,0.000,-1.000
1,0:23,,,NYJ 35,0,6,Anders Carlson kicks off 62 yards returned by Jordan Whittington for 19 yards (tackle by Kenny Yeboah and Marcelino McCrary-Ball). Penalty on Hunter Long: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.350
1,0:16,1,10,LAR 12,0,6,Blake Corum left tackle for 3 yards (tackle by D.J. Reed),-0.350,-0.500
2,15:00,2,7,LAR 15,0,6,Blake Corum left tackle for no gain (tackle by Leonard Taylor),-0.500,-1.070
2,14:26,3,7,LAR 15,0,6,Matthew Stafford pass complete short right to Tutu Atwell for 12 yards (tackle by Isaiah Oliver),-1.070,0.740
2,13:38,1,10,LAR 27,0,6,Blake Corum left guard for 7 yards (tackle by D.J. Reed and Tony Adams),0.740,1.140
2,12:58,2,3,LAR 34,0,6,Matthew Stafford pass complete short left to Puka Nacua for -1 yards (tackle by D.J. Reed),1.140,0.300
2,12:12,3,4,LAR 33,0,6,Matthew Stafford pass complete short middle to Cooper Kupp for 8 yards (tackle by Isaiah Oliver),0.300,1.660
2,11:32,1,10,LAR 41,0,6,Kyren Williams left guard for 3 yards (tackle by Jamien Sherwood),1.660,1.530
2,10:52,2,7,LAR 44,0,6,Kyren Williams right end for 10 yards (tackle by Chuck Clark),1.530,2.520
2,10:08,1,10,NYJ 46,0,6,Blake Corum left end for no gain (tackle by D.J. Reed). Penalty on Hunter Long: Illegal Motion 5 yards (accepted) (no play),2.520,2.190
2,9:33,1,15,LAR 49,0,6,Matthew Stafford pass incomplete short middle intended for Tutu Atwell,2.190,1.300
2,9:28,2,15,LAR 49,0,6,Matthew Stafford pass deep right intended for Demarcus Robinson is intercepted by Tony Adams at NYJ-24 and returned for no gain (tackle by Demarcus Robinson),1.300,-0.540
2,9:23,1,10,NYJ 24,0,6,Aaron Rodgers pass complete short right to Jeremy Ruckert for 5 yards (tackle by Quentin Lake),0.540,0.670
2,8:42,2,5,NYJ 29,0,6,Aaron Rodgers pass incomplete short left intended for Allen Lazard,0.670,-0.030
2,8:38,3,5,NYJ 29,0,6,Aaron Rodgers pass complete short left to Breece Hall for 4 yards (tackle by Jaylen McCollough),-0.030,-1.180
2,8:01,4,1,NYJ 33,0,6,Breece Hall up the middle for no gain (tackle by Omar Speights),-1.180,-3.380
2,7:56,1,10,NYJ 33,0,6,Kyren Williams left guard for 13 yards (tackle by Tony Adams),3.380,4.240
2,7:14,1,10,NYJ 20,0,6,Matthew Stafford pass complete short left to Puka Nacua for 18 yards (tackle by Sauce Gardner),4.240,6.740
2,6:25,1,2,NYJ 2,6,6,Kyren Williams up the middle for 2 yards touchdown,6.740,7.000
2,6:22,,,NYJ 15,6,6,Joshua Karty kicks extra point no good,0.000,-1.000
2,6:22,,,LAR 35,6,6,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,6:22,1,10,NYJ 30,6,6,Breece Hall right tackle for 7 yards (tackle by Christian Rozeboom and Darious Williams),0.940,1.340
2,5:45,2,3,NYJ 37,6,6,Breece Hall right guard for 4 yards (tackle by Christian Rozeboom and Michael Hoecht),1.340,1.660
2,5:11,1,10,NYJ 41,6,6,Aaron Rodgers pass complete short left to Braelon Allen for 5 yards (tackle by Ahkello Witherspoon),1.660,1.800
2,4:35,2,5,NYJ 46,6,6,Aaron Rodgers pass complete short left to Davante Adams for 13 yards (tackle by Omar Speights),1.800,2.850
2,3:55,1,10,LAR 41,6,6,Breece Hall left tackle for 3 yards (tackle by Jared Verse and Omar Speights),2.850,2.710
2,3:24,2,7,LAR 38,6,6,Breece Hall right guard for 3 yards (tackle by Darious Williams and Neville Gallimore),2.710,2.410
2,2:24,3,4,LAR 35,6,6,Aaron Rodgers pass incomplete short left intended for Allen Lazard (defended by Ahkello Witherspoon). Penalty on Olumuyiwa Fashanu: Offensive Holding 10 yards (accepted) (no play),2.410,1.090
2,2:19,3,14,LAR 45,6,6,Aaron Rodgers sacked by Braden Fiske for no gain. Penalty on John Simpson: Offensive Holding (offset) . Penalty on Darious Williams: Illegal Use of Hands / Defense (offset) (no play),1.090,1.090
2,2:00,3,14,LAR 45,6,6,Aaron Rodgers pass complete short left to Davante Adams for 11 yards (tackle by Jaylen McCollough),1.090,1.090
2,1:16,4,3,LAR 34,6,6,Aaron Rodgers pass complete short middle to Allen Lazard for 11 yards (tackle by Quentin Lake). Penalty on Jaylen McCollough: Defensive Offside 5 yards (declined),1.090,4.040
2,1:09,1,10,LAR 23,6,6,Breece Hall left guard for 4 yards (tackle by Kobie Turner and Jared Verse),4.040,4.050
2,0:34,2,6,LAR 19,6,6,Aaron Rodgers pass incomplete short right intended for Allen Lazard,4.050,3.340
