Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
,,,,,,,Dolphins won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,MIA 35,0,0,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SFO 30,0,0,Brock Purdy pass incomplete short right intended for Kyle Juszczyk,0.940,0.390
1,14:56,2,10,SFO 30,0,0,Brock Purdy pass complete short middle to George Kittle for 9 yards (tackle by Jordan Poyer and Jordyn Brooks),0.390,0.890
1,14:22,3,1,SFO 39,0,0,Patrick Taylor right tackle for no gain (tackle by Calais Campbell and Emmanuel Ogbah),0.890,-0.780
1,13:37,4,1,SFO 39,0,0,Pat O'Donnell punts 51 yards fair catch by Malik Washington at MIA-10,-0.780,0.380
1,13:30,1,10,MIA 10,0,0,De'Von Achane left end for -1 yards (tackle by Nick Bosa),-0.380,-0.850
1,12:51,2,11,MIA 9,0,0,Tua Tagovailoa pass complete short left to De'Von Achane for 12 yards (tackle by Talanoa Hufanga and Fred Warner),-0.850,0.340
1,12:08,1,10,MIA 21,0,0,Raheem Mostert up the middle for 3 yards (tackle by Talanoa Hufanga and Dre Greenlaw),0.340,0.210
1,11:30,2,7,MIA 24,0,0,Raheem Mostert up the middle for -2 yards (tackle by Jordan Elliott),0.210,-0.760
1,10:51,3,9,MIA 22,0,0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,-0.760,-1.900
1,10:47,4,9,MIA 22,0,0,Jake Bailey punts 58 yards returned by Jacob Cowing for 8 yards (tackle by Julian Hill),-1.900,-0.810
1,10:34,1,10,SFO 28,0,0,Brock Purdy pass complete short left to Jauan Jennings for 11 yards (tackle by Kendall Fuller),0.810,1.530
1,9:59,1,10,SFO 39,0,0,Patrick Taylor right tackle for 5 yards (tackle by Zach Sieler),1.530,1.660
1,9:28,2,5,SFO 44,0,0,Deebo Samuel up the middle for 3 yards (tackle by Jevon Holland). Penalty on Aaron Banks: Offensive Holding 10 yards (accepted),1.660,0.720
1,9:06,2,12,SFO 37,0,0,Penalty on George Kittle: False Start 5 yards (accepted) (no play),0.720,0.040
1,8:48,2,17,SFO 32,0,0,Brock Purdy sacked by Jordyn Brooks for -6 yards,0.040,-1.420
1,8:11,3,23,SFO 26,0,0,Kyle Juszczyk up the middle for 6 yards (tackle by Jordyn Brooks),-1.420,-1.240
