Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
,,,,,,,Panthers won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,CAR 35,0,0,Eddy Piñeiro kicks off 25 yards. Penalty on Eddy Piñeiro: Kickoff Short of Landing Zone (accepted),0.000,1.600
1,15:00,1,10,ARI 40,0,0,Kyler Murray pass complete short left to Trey McBride for no gain (tackle by Demani Richardson). Penalty on Marvin Harrison: Offensive Offside 5 yards (accepted) (no play),1.600,1.270
1,14:34,1,15,ARI 35,0,0,James Conner up the middle for no gain (tackle by Chau Smith-Wade and Demani Richardson),1.270,0.380
1,13:53,2,15,ARI 35,0,0,Kyler Murray pass complete short right to Marvin Harrison for 11 yards (tackle by Michael Jackson),0.380,1.160
1,13:10,3,4,ARI 46,0,0,Kyler Murray pass incomplete deep left intended for Marvin Harrison,1.160,-0.320
1,13:05,4,4,ARI 46,0,0,Michael Palardy punts 34 yards out of bounds. Penalty on Aaron Brewer: Offensive Holding 10 yards (accepted),-0.320,-0.940
1,12:53,1,10,CAR 30,0,0,Bryce Young pass incomplete deep right intended for Adam Thielen (defended by Starling Thomas),0.940,0.390
1,12:49,2,10,CAR 30,0,0,Chuba Hubbard left tackle for 6 yards (tackle by Owen Pappoe and Sean Murphy-Bunting),0.390,0.500
1,12:09,3,4,CAR 36,0,0,Bryce Young scrambles up the middle for 5 yards (tackle by Dadrion Taylor-Demerson and Xavier Thomas),0.500,1.660
1,11:27,1,10,CAR 41,0,0,Chuba Hubbard up the middle for 9 yards (tackle by Garrett Williams),1.660,2.340
1,10:48,2,1,ARI 50,0,0,Bryce Young pass incomplete deep right intended for Jalen Coker. Penalty on Budda Baker: Defensive Pass Interference 20 yards (accepted) (no play),2.340,3.580
1,10:40,1,10,ARI 30,0,0,Bryce Young pass complete short right to Chuba Hubbard for 5 yards (tackle by Sean Murphy-Bunting),3.580,3.710
1,9:59,2,5,ARI 25,0,0,Chuba Hubbard right guard for no gain (tackle by Budda Baker and Roy Lopez),3.710,3.010
1,9:21,3,5,ARI 25,0,0,Bryce Young pass complete short middle to Jalen Coker for 4 yards (tackle by Dadrion Taylor-Demerson),3.010,2.210
1,8:46,4,1,ARI 21,0,0,Chuba Hubbard up the middle for 7 yards (tackle by Starling Thomas),2.210,4.650
1,8:07,1,10,ARI 14,0,0,Deven Thompkins left end for 9 yards (tackle by Sean Murphy-Bunting),4.650,5.670
1,7:30,2,1,ARI 5,0,0,Chuba Hubbard right guard for no gain (tackle by Naquan Jones),5.670,4.960
1,6:50,3,1,ARI 5,0,0,David Moore left end for no gain (tackle by Jalen Thompson),4.960,3.030
1,6:31,4,1,ARI 5,0,0,Chuba Hubbard up the middle for 1 yard (tackle by Khyiris Tonga and Krys Barnes),3.030,6.280
1,5:55,1,4,ARI 4,0,0,Chuba Hubbard left guard for 1 yard (tackle by Krys Barnes and Darius Robinson),6.280,5.530
1,5:14,2,3,ARI 3,0,0,Bryce Young pass incomplete short right intended for Jalen Coker,5.530,4.720
1,5:07,3,3,ARI 3,0,0,Penalty on Bryce Young: Delay of Game 5 yards (accepted) (no play),4.720,3.580
1,5:07,3,8,ARI 8,0,0,Bryce Young pass incomplete short right. Penalty on Xavier Thomas: Roughing the Passer 4 yards (accepted) (no play),3.580,6.280
1,5:00,1,4,ARI 4,0,6,Chuba Hubbard left tackle for 4 yards touchdown,6.280,7.000
1,4:55,,,ARI 15,0,7,Eddy Piñeiro kicks extra point good,0.000,0.000
1,4:55,,,CAR 35,0,7,Eddy Piñeiro kicks off 66 yards returned by Greg Dortch for 26 yards (tackle by Nick Scott). Penalty on Krys Barnes: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.220
