Quarter,Time,Down,ToGo,Location,PHI,WAS,Detail,EPB,EPA
,,,,,,,Eagles won the coin toss and deferred Commanders to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Braden Mann kicks off 25 yards. Penalty on Braden Mann: Short Free Kick (accepted),0.000,1.600
1,15:00,1,10,WAS 40,0,0,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus,1.600,1.050
1,14:56,2,10,WAS 40,0,0,Jayden Daniels pass incomplete short middle intended for Jamison Crowder (defended by Darius Slay),1.050,0.370
1,14:51,3,10,WAS 40,0,0,Jayden Daniels pass complete short middle to Brian Robinson for 9 yards (tackle by Zack Baun),0.370,-0.130
1,14:15,4,1,WAS 49,0,0,Brian Robinson right guard for no gain (tackle by Josh Sweat and Jordan Davis),-0.130,-2.320
1,14:11,1,10,WAS 49,0,0,Jalen Hurts pass incomplete short middle intended for A.J. Brown,2.320,1.780
1,14:07,2,10,WAS 49,0,0,Saquon Barkley left end for 19 yards (tackle by Mike Sainristil),1.780,3.580
1,13:33,1,10,WAS 30,0,0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.580,3.030
1,13:28,2,10,WAS 30,0,0,Kenneth Gainwell left tackle for 1 yard (tackle by Bobby Wagner),3.030,2.480
1,12:49,3,9,WAS 29,0,0,Jalen Hurts scrambles up the middle for 6 yards (tackle by Dante Fowler). Penalty on Noah Igbinoghene: Defensive Holding 5 yards (accepted),2.480,4.370
1,12:25,1,10,WAS 18,0,0,Saquon Barkley up the middle for 13 yards (tackle by Jeremy Chinn),4.370,6.060
1,11:48,1,5,WAS 5,0,0,Saquon Barkley right tackle for 3 yards (tackle by Jer'Zhan Newton),6.060,5.720
1,11:18,2,2,WAS 2,6,0,Saquon Barkley up the middle for 2 yards touchdown,5.720,7.000
1,11:15,,,WAS 15,7,0,Jake Elliott kicks extra point good,0.000,0.000
1,11:15,,,PHI 35,7,0,Braden Mann kicks off 55 yards returned by Luke McCaffrey for 47 yards (tackle by Jeremiah Trotter),0.000,2.720
1,11:06,1,10,PHI 43,7,0,Brian Robinson up the middle for no gain. Brian Robinson fumbles (forced by Jalen Carter) recovered by Nolan Smith at PHI-43,2.720,-1.800
1,11:01,1,10,PHI 43,7,0,Jalen Hurts pass complete short left to DeVonta Smith for 11 yards (tackle by Mike Sainristil),1.800,2.520
1,10:26,1,10,WAS 46,7,0,Jalen Hurts scrambles up the middle for 22 yards (tackle by Quan Martin),2.520,3.970
1,9:55,1,10,WAS 24,7,0,Jalen Hurts pass incomplete short left. Penalty on Jalen Hurts: Intentional Grounding 10 yards (accepted),3.970,2.080
1,9:52,2,20,WAS 34,7,0,Jalen Hurts left guard for 13 yards (tackle by Bobby Wagner),2.080,3.140
1,9:16,3,7,WAS 21,7,0,Kenny Pickett pass complete short left to A.J. Brown for 10 yards (tackle by Frankie Luvu and Marshon Lattimore),3.140,4.840
1,8:39,1,10,WAS 11,7,0,Kenneth Gainwell left end for 1 yard (tackle by Jeremy Chinn and Dorance Armstrong),4.840,4.320
1,8:00,2,9,WAS 10,7,0,Kenny Pickett pass complete short left to A.J. Brown for 6 yards (tackle by Jeremy Chinn),4.320,4.670
1,7:11,,,,,,Timeout #1 by Philadelphia Eagles,,
1,7:11,3,3,WAS 4,13,0,Kenny Pickett pass complete short middle to A.J. Brown for 4 yards touchdown,4.670,7.000
1,7:08,,,WAS 15,14,0,Jake Elliott kicks extra point good,0.000,0.000
1,7:08,,,PHI 35,14,0,Braden Mann kicks off 58 yards returned by Luke McCaffrey for 15 yards (tackle by Kenneth Gainwell),0.000,0.410
1,7:01,1,10,WAS 22,14,0,Jayden Daniels pass complete short right to Dyami Brown for -2 yards (tackle by Darius Slay),0.410,-0.400
1,6:25,2,12,WAS 20,14,0,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus (defended by Darius Slay),-0.400,-1.090
1,6:18,3,12,WAS 20,14,0,Jayden Daniels scrambles right end for 1 yard (tackle by Nakobe Dean),-1.090,-1.960
1,5:26,4,11,WAS 21,14,0,Tress Way punts 49 yards returned by Cooper DeJean for no gain (tackle by Jordan Magee). Penalty on Jeremiah Trotter: Unnecessary Roughness / Defense 15 yards (accepted),-1.960,0.220
1,5:12,1,10,PHI 15,14,0,Saquon Barkley right tackle for 3 yards (tackle by Bobby Wagner),-0.220,-0.280
1,4:35,2,7,PHI 18,14,0,Kenny Pickett pass short right intended for A.J. Brown is intercepted by Frankie Luvu at PHI-25 and returned for no gain (tackle by A.J. Brown),-0.280,-3.910
1,4:30,1,10,PHI 25,14,0,Penalty on PHI: Defensive Too Many Men on Field 5 yards (accepted) (no play),3.910,4.640
1,4:30,1,5,PHI 20,14,0,Jayden Daniels pass complete short right to Terry McLaurin for 8 yards (tackle by Reed Blankenship),4.640,4.780
1,3:57,1,10,PHI 12,14,0,Jayden Daniels pass incomplete short right intended for Zach Ertz. Penalty on Milton Williams: Roughing the Passer 6 yards (accepted) (no play),4.780,5.830
1,3:53,1,6,PHI 6,14,0,Brian Robinson up the middle for no gain (tackle by Nakobe Dean),5.830,4.950
1,3:20,2,6,PHI 6,14,0,Jayden Daniels pass incomplete short right intended for Olamide Zaccheaus,4.950,4.040
1,3:16,3,6,PHI 6,14,6,Jayden Daniels pass complete short middle to Jamison Crowder for 6 yards touchdown,4.040,7.000
1,3:12,,,PHI 15,14,7,Zane Gonzalez kicks extra point good,0.000,0.000
1,3:12,,,WAS 35,14,7,Zane Gonzalez kicks off 60 yards returned by Kenneth Gainwell for 26 yards (tackle by Nick Bellore),0.000,1.000
1,3:05,1,10,PHI 31,14,7,Saquon Barkley left end for 1 yard (tackle by Javontae Jean-Baptiste and Daron Payne),1.000,0.600
1,2:29,2,9,PHI 32,20,7,Saquon Barkley left end for 68 yards touchdown,0.600,7.000
1,2:18,,,WAS 15,21,7,Jake Elliott kicks extra point good,0.000,0.000
1,2:18,,,PHI 35,21,7,Braden Mann kicks off 65 yards returned by Luke McCaffrey for 33 yards (tackle by Kenneth Gainwell),0.000,1.140
1,2:11,1,10,WAS 33,21,7,Jayden Daniels scrambles up the middle for 9 yards (tackle by Nakobe Dean),1.140,1.810
1,1:33,2,1,WAS 42,21,7,Jayden Daniels pass complete short right to Terry McLaurin for 3 yards (tackle by C.J. Gardner-Johnson and Cooper DeJean),1.810,1.930
1,0:54,1,10,WAS 45,21,7,Brian Robinson right tackle for 1 yard (tackle by Jalen Carter and Nakobe Dean),1.930,1.520
1,0:14,2,9,WAS 46,21,7,Jayden Daniels pass complete short middle to Terry McLaurin for no gain (tackle by Nakobe Dean). Penalty on Terry McLaurin: Illegal Motion 5 yards (accepted) (no play),1.520,0.840
2,15:00,2,14,WAS 41,21,7,Penalty on C.J. Gardner-Johnson: Unsportsmanlike Conduct / Defense 15 yards (accepted) (no play),0.840,2.650
2,15:00,1,10,PHI 44,21,7,Brian Robinson right tackle for 3 yards (tackle by Nakobe Dean),2.650,2.520
2,14:29,2,7,PHI 41,21,7,Jayden Daniels pass incomplete short middle intended for Brian Robinson,2.520,1.820
2,14:25,3,7,PHI 41,21,7,Jayden Daniels up the middle for 13 yards (tackle by Reed Blankenship),1.820,3.710
2,13:54,1,10,PHI 28,21,7,Jayden Daniels sacked by Nolan Smith for -3 yards. Penalty on Jalen Carter: Unnecessary Roughness / Defense 15 yards (accepted),3.710,4.510
2,13:27,1,10,PHI 16,21,7,Brian Robinson up the middle for 6 yards. Brian Robinson fumbles (tackle by Nakobe Dean recovered by Cooper DeJean at PHI-10,4.510,0.380
2,13:16,1,10,PHI 10,21,7,Kenny Pickett pass complete deep right to A.J. Brown for 45 yards (tackle by Marshon Lattimore),-0.380,2.590
2,12:27,1,10,WAS 45,21,7,Penalty on C.J. Uzomah: False Start 5 yards (accepted) (no play),2.590,2.260
2,12:08,1,15,WAS 50,21,7,Saquon Barkley left end for 2 yards (tackle by Bobby Wagner),2.260,1.640
2,11:25,2,13,WAS 48,21,7,Kenny Pickett pass complete short left to DeVonta Smith for 5 yards (tackle by Jeremy Chinn),1.640,1.620
2,10:45,3,8,WAS 43,21,7,Kenny Pickett pass incomplete short right,1.620,0.400
2,10:36,4,8,WAS 43,21,7,Braden Mann punts 39 yards out of bounds,0.400,0.380
2,10:29,1,10,WAS 4,21,7,Jayden Daniels pass complete deep right to Dyami Brown for 51 yards (tackle by Darius Slay),-0.380,2.590
2,9:52,1,10,PHI 45,21,7,Brian Robinson left guard for 3 yards (tackle by Nakobe Dean and Jalyx Hunt),2.590,2.450
2,9:16,2,7,PHI 42,21,7,Chris Rodriguez right guard for 6 yards (tackle by Zack Baun),2.450,2.540
2,8:49,3,1,PHI 36,21,7,Chris Rodriguez left guard for -3 yards (tackle by Milton Williams and Jalyx Hunt),2.540,0.660
2,8:13,4,3,PHI 39,21,7,Jayden Daniels scrambles up the middle for 5 yards (tackle by Jalen Carter),0.660,3.310
2,7:36,1,10,PHI 34,21,7,Chris Rodriguez right tackle for 2 yards (tackle by Oren Burks and Zack Baun),3.310,3.040
2,7:00,2,8,PHI 32,21,7,Jayden Daniels pass incomplete deep right intended for Jamison Crowder,3.040,2.350
