Quarter,Time,Down,ToGo,Location,PIT,BAL,Detail,EPB,EPA
,,,,,,,Steelers won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,BAL 30,0,0,Derrick Henry right guard for 6 yards (tackle by Patrick Queen),0.940,1.200
1,14:28,2,4,BAL 36,0,0,Derrick Henry left tackle for 14 yards (tackle by Damontae Kazee),1.200,2.260
1,13:53,1,10,BAL 50,0,0,Zay Flowers left end for 3 yards (tackle by Payton Wilson),2.260,2.120
1,13:08,2,7,PIT 47,0,0,Lamar Jackson pass complete short middle to Zay Flowers for 14 yards (tackle by Joey Porter),2.120,3.380
1,12:31,1,10,PIT 33,0,0,Derrick Henry left tackle for no gain (tackle by Mark Robinson),3.380,2.840
1,11:51,2,10,PIT 33,0,0,Lamar Jackson sacked by Alex Highsmith for -9 yards. Lamar Jackson fumbles (forced by Alex Highsmith) recovered by Ronnie Stanley at PIT-42,2.840,0.960
1,11:07,3,19,PIT 42,0,0,Lamar Jackson pass incomplete short right intended for Justice Hill,0.960,0.460
1,11:01,4,19,PIT 42,0,0,Jordan Stout punts 39 yards downed by Devontez Walker,0.460,0.380
1,10:51,1,10,PIT 3,0,0,Najee Harris right guard for 5 yards (tackle by Roquan Smith),-0.380,-0.420
1,10:09,2,5,PIT 8,0,0,Najee Harris right guard for 3 yards (tackle by Nnamdi Madubuike and Travis Jones),-0.420,-0.480
1,9:17,3,2,PIT 11,0,0,Russell Wilson pass incomplete short left Penalty on PIT: Illegal Shift 5 yards (declined),-0.480,-2.490
1,9:17,4,2,PIT 11,0,0,Corliss Waitman punts 58 yards returned by Desmond King for 16 yards. Desmond King fumbles (forced by James Pierre) recovered by Chris Board at PIT-41,-2.490,-2.850
1,9:00,1,10,PIT 41,0,0,Derrick Henry up the middle for 11 yards (tackle by Damontae Kazee),2.850,3.580
1,8:23,1,10,PIT 30,0,0,Derrick Henry left guard for 13 yards (tackle by Damontae Kazee),3.580,4.440
1,7:44,1,10,PIT 17,0,0,Derrick Henry right tackle for 9 yards (tackle by Joey Porter),4.440,5.480
1,7:07,2,1,PIT 8,0,0,Derrick Henry right guard for 2 yards (tackle by Elandon Roberts and Alex Highsmith),5.480,5.830
1,6:28,1,6,PIT 6,0,0,Derrick Henry left guard for -3 yards (tackle by Cameron Heyward),5.830,4.380
1,5:57,2,9,PIT 9,0,6,Lamar Jackson pass complete short right to Isaiah Likely for 9 yards touchdown,4.380,7.000
1,5:52,,,PIT 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,5:52,,,BAL 35,0,7,Justin Tucker kicks off 56 yards returned by Cordarrelle Patterson for 18 yards (tackle by Malik Harrison),0.000,0.740
1,5:44,1,10,PIT 27,0,7,Russell Wilson pass complete short left to Ben Skowronek for 17 yards (tackle by Kyle Hamilton),0.740,1.860
1,5:12,1,10,PIT 44,0,7,Russell Wilson sacked by Michael Pierce for -10 yards,1.860,-0.030
1,4:30,2,20,PIT 34,0,7,Russell Wilson pass complete short middle to Jaylen Warren for 13 yards (tackle by Chris Board),-0.030,1.030
1,4:05,3,7,PIT 47,0,7,Russell Wilson pass complete short left to Ben Skowronek for 8 yards (tackle by Marlon Humphrey),1.030,2.590
1,3:24,1,10,BAL 45,0,7,Jaylen Warren right tackle for 9 yards (tackle by Nnamdi Madubuike and Kyle Hamilton),2.590,3.260
1,2:46,2,1,BAL 36,0,7,Russell Wilson pass complete short right to Connor Heyward for 3 yards (tackle by Marlon Humphrey),3.260,3.380
1,2:00,1,10,BAL 33,0,7,Jaylen Warren right end for 9 yards (tackle by Nate Wiggins and Malik Harrison),3.380,4.050
1,1:20,2,1,BAL 24,0,7,Jaylen Warren right guard for 2 yards (tackle by Tavius Robinson),4.050,4.110
1,0:37,1,10,BAL 22,0,7,Russell Wilson pass complete deep middle to Van Jefferson for 21 yards (tackle by Ar'Darius Washington),4.110,6.970
2,15:00,1,1,BAL 1,6,7,Russell Wilson pass complete short middle to MyCole Pruitt for 1 yard touchdown,6.970,7.000
2,14:56,,,BAL 15,7,7,Chris Boswell kicks extra point good,0.000,0.000
2,14:56,,,PIT 35,7,7,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
2,14:56,1,10,BAL 30,7,7,Lamar Jackson pass incomplete deep left intended for Mark Andrews,0.940,0.390
2,14:50,2,10,BAL 30,7,7,Lamar Jackson scrambles up the middle for 8 yards (tackle by Patrick Queen). Penalty on Cory Trice: Illegal Use of Hands / Defense 5 yards (accepted),0.390,1.800
2,14:36,1,10,BAL 43,7,7,Derrick Henry left guard for 4 yards (tackle by Isaiahh Loudermilk),1.800,1.790
2,14:01,2,6,BAL 47,7,7,Penalty on Patrick Ricard: False Start 5 yards (accepted) (no play),1.790,1.120
2,13:51,2,11,BAL 42,7,7,Lamar Jackson pass incomplete short left intended for Zay Flowers. Penalty on Tyler Linderbaum: Offensive Holding 10 yards (declined),1.120,0.430
2,13:44,3,11,BAL 42,7,7,Lamar Jackson pass incomplete short right intended for Rashod Bateman,0.430,-0.590
2,13:38,4,11,BAL 42,7,7,Jordan Stout punts 14 yards out of bounds,-0.590,-1.860
2,13:32,1,10,PIT 44,7,7,Russell Wilson pass complete short right to Jaylen Warren for 12 yards (tackle by Nnamdi Madubuike),1.860,2.650
2,12:51,1,10,BAL 44,7,7,Russell Wilson scrambles left end for 6 yards (tackle by Roquan Smith),2.650,2.920
2,12:11,2,4,BAL 38,7,7,Najee Harris left guard for 11 yards (tackle by Roquan Smith and Kyle Hamilton),2.920,3.780
2,11:44,1,10,BAL 27,7,7,Najee Harris left end for 4 yards (tackle by Kyle Hamilton),3.780,3.770
2,11:11,2,6,BAL 23,7,7,Russell Wilson scrambles right end for 19 yards. Russell Wilson fumbles (forced by Ar'Darius Washington) recovered by Kyle Van Noy at BAL-4,3.770,0.380
2,10:57,1,10,BAL 4,7,7,Derrick Henry right tackle for 2 yards (tackle by T.J. Watt),-0.380,-0.630
2,10:21,2,8,BAL 6,7,7,Lamar Jackson pass complete deep right to Isaiah Likely for 19 yards (tackle by Beanie Bishop),-0.630,0.610
2,9:40,1,10,BAL 25,7,7,Justice Hill left tackle for 5 yards (tackle by Payton Wilson),0.610,0.740
2,9:02,2,5,BAL 30,7,7,Justice Hill left end for 25 yards (tackle by Damontae Kazee),0.740,2.590
2,8:52,1,10,PIT 45,7,7,Lamar Jackson pass complete short middle to Zay Flowers for 14 yards (tackle by James Pierre and Minkah Fitzpatrick). Penalty on Minkah Fitzpatrick: Face Mask (15 Yards) 15 yards (accepted),2.590,4.510
2,8:20,1,10,PIT 16,7,7,Lamar Jackson left end for 2 yards (tackle by Cameron Heyward and Preston Smith),4.510,4.210
2,7:39,2,8,PIT 14,7,7,Lamar Jackson pass incomplete short left intended for Mark Andrews (defended by Patrick Queen),4.210,3.370
2,7:33,3,8,PIT 14,7,13,Lamar Jackson pass complete short left to Rashod Bateman for 14 yards touchdown,3.370,7.000
2,7:28,,,PIT 15,7,14,Justin Tucker kicks extra point good,0.000,0.000
2,7:28,,,BAL 35,7,14,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,7:28,1,10,PIT 30,7,14,Russell Wilson pass incomplete short left,0.940,0.390
2,7:21,2,10,PIT 30,7,14,Russell Wilson pass complete short middle to Mike Williams for 5 yards (tackle by Nate Wiggins),0.390,0.370
2,6:35,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,6:35,3,5,PIT 35,7,14,Russell Wilson sacked by and Kyle Van Noy for -5 yards and Nnamdi Madubuike for -5 yards,0.370,-1.370
2,6:04,4,10,PIT 30,7,14,Corliss Waitman punts 42 yards fair catch by Desmond King at BAL-28,-1.370,-0.810
2,5:57,1,10,BAL 28,7,14,Derrick Henry left guard for 4 yards (tackle by Patrick Queen),0.810,0.800
2,5:20,2,6,BAL 32,7,14,Lamar Jackson pass complete short left to Zay Flowers for 9 yards (tackle by Cory Trice),0.800,1.660
2,4:44,1,10,BAL 41,7,14,Lamar Jackson pass incomplete deep left intended for Zay Flowers (defended by Minkah Fitzpatrick),1.660,1.120
2,4:34,2,10,BAL 41,7,14,Lamar Jackson left guard for 3 yards (tackle by Keeanu Benton and Payton Wilson),1.120,0.830
2,3:49,3,7,BAL 44,7,14,Lamar Jackson pass complete short left to Mark Andrews for 9 yards (tackle by Cory Trice),0.830,2.460
2,3:26,1,10,PIT 47,7,14,Derrick Henry left tackle for 12 yards (tackle by Minkah Fitzpatrick and Cory Trice),2.460,3.250
2,2:43,1,10,PIT 35,7,14,Derrick Henry left guard for 1 yard (tackle by Montravius Adams),3.250,2.840
2,2:00,2,9,PIT 34,7,14,Lamar Jackson pass incomplete deep middle intended for Zay Flowers,2.840,2.150
2,1:55,3,9,PIT 34,7,14,Lamar Jackson pass complete short left to Isaiah Likely for 1 yard (tackle by Cameron Heyward),2.150,1.150
2,1:48,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:48,4,8,PIT 33,7,17,Justin Tucker 51 yard field goal good,1.150,3.000
2,1:43,,,BAL 35,7,17,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,1:43,1,10,PIT 30,7,17,Jaylen Warren left tackle for 5 yards (tackle by Kyle Van Noy and Travis Jones),0.940,1.070
2,1:22,2,5,PIT 35,7,17,Russell Wilson pass complete short left to Mike Williams for 6 yards (tackle by Brandon Stephens),1.070,1.660
2,1:06,1,10,PIT 41,7,17,Russell Wilson pass complete short left to Calvin Austin for 6 yards (tackle by Kyle Hamilton),1.660,1.930
2,0:46,2,4,PIT 47,7,17,Russell Wilson pass incomplete short right,1.930,1.220
2,0:41,3,4,PIT 47,7,17,Russell Wilson pass complete short right to Pat Freiermuth for 5 yards (tackle by Brandon Stephens),1.220,2.390
2,0:23,1,10,BAL 48,7,17,Russell Wilson pass complete short left to Jaylen Warren for 13 yards (tackle by Roquan Smith),2.390,3.250
2,0:17,,,,,,Timeout #3 by Pittsburgh Steelers,,
2,0:17,1,10,BAL 35,7,17,Russell Wilson up the middle for 2 yards (tackle by Roquan Smith),3.250,2.970
2,0:07,2,8,BAL 33,7,17,Russell Wilson spiked the ball,2.970,2.280
2,0:05,3,8,BAL 33,10,17,Chris Boswell 51 yard field goal good,2.280,3.000
3,15:00,,,BAL 35,10,17,Jordan Stout kicks off 65 yards touchback.,0.000,0.940
