Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
,,,,,,,Titans won the coin toss Titans to receive the opening kickoff.,,
1,15:00,,,IND 35,0,0,Matt Gay kicks off 62 yards returned by Tyjae Spears for 27 yards (tackle by Segun Olubi and Cameron McGrone),0.000,0.940
1,14:53,1,10,TEN 30,0,0,Tony Pollard left end for 3 yards (tackle by Grant Stuard),0.940,0.800
1,14:29,2,7,TEN 33,0,0,Mason Rudolph pass complete short middle to Tyler Boyd for 6 yards (tackle by Jaylon Carlies),0.800,0.890
1,13:52,3,1,TEN 39,0,0,Mason Rudolph right guard for no gain (tackle by DeForest Buckner),0.890,-0.780
1,13:03,4,1,TEN 39,0,0,Ryan Stonehouse punts 60 yards downed by Justin Hardee,-0.780,0.380
1,12:49,1,10,IND 1,0,0,Penalty on Jeffery Simmons: Encroachment 5 yards (accepted) (no play),-0.380,-0.190
1,12:49,1,5,IND 6,0,0,Jonathan Taylor left tackle for 2 yards (tackle by Sebastian Joseph-Day),-0.190,-0.340
1,12:16,2,4,IND 8,0,0,Anthony Richardson pass complete short right to Michael Pittman for 9 yards (tackle by Kenneth Murray),-0.340,-0.060
1,11:59,1,10,IND 17,0,0,Anthony Richardson pass incomplete short right intended for Mo Alie-Cox,-0.060,-0.580
1,11:49,2,10,IND 17,0,0,Anthony Richardson left end for 7 yards (tackle by Daryl Worley),-0.580,-0.370
1,11:26,3,3,IND 24,0,0,Anthony Richardson pass incomplete short right intended for Michael Pittman,-0.370,-1.770
1,11:06,4,3,IND 24,0,0,Rigoberto Sanchez punts 49 yards returned by Mason Kinsey for 8 yards (tackle by Andrew Ogletree and Cameron McGrone),-1.770,-1.270
1,10:55,1,10,TEN 35,0,0,Tony Pollard up the middle for 3 yards (tackle by Jaylon Carlies and DeForest Buckner),1.270,1.130
1,10:22,2,7,TEN 38,0,0,Mason Rudolph pass complete short left to Chigoziem Okonkwo for 6 yards (tackle by Laiatu Latu),1.130,1.220
1,9:44,3,1,TEN 44,0,0,Mason Rudolph pass complete short middle to Tyler Boyd for 14 yards (tackle by Julian Blackmon),1.220,2.790
1,9:06,1,10,IND 42,0,0,Tony Pollard left tackle for no gain (tackle by Laiatu Latu and DeForest Buckner),2.790,2.240
1,8:31,2,10,IND 42,0,0,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 4 yards (tackle by Jaylon Carlies),2.240,2.080
1,7:53,3,6,IND 38,6,0,Mason Rudolph pass complete deep right to Calvin Ridley for 38 yards touchdown,2.080,7.000
1,7:47,,,IND 15,7,0,Brayden Narveson kicks extra point good,0.000,0.000
1,7:47,,,TEN 35,7,0,Brayden Narveson kicks off 63 yards returned by Anthony Gould for 40 yards (tackle by Cedric Gray),0.000,1.730
1,7:40,1,10,IND 42,7,0,Anthony Richardson pass complete short middle to Josh Downs for 3 yards (tackle by Harold Landry),1.730,1.590
1,7:06,2,7,IND 45,7,0,Anthony Richardson right tackle for 4 yards (tackle by Harold Landry),1.590,1.420
1,6:50,3,3,IND 49,7,0,Penalty on Mark Glowinski: False Start 5 yards (accepted) (no play),1.420,0.760
1,6:34,3,8,IND 44,7,0,Anthony Richardson scrambles left end for 7 yards (tackle by Roger McCreary),0.760,0.000
1,6:07,4,1,TEN 49,7,0,Jonathan Taylor right guard for 6 yards (tackle by Amani Hooker),0.000,2.720
1,5:32,1,10,TEN 43,7,0,Jonathan Taylor left guard for 1 yard (tackle by Harold Landry and Jeffery Simmons),2.720,2.310
1,4:51,2,9,TEN 42,7,0,Anthony Richardson pass complete short right to Mo Alie-Cox for 15 yards (tackle by Otis Reese),2.310,3.780
1,4:11,1,10,TEN 27,7,0,Anthony Richardson pass deep middle intended for Andrew Ogletree is intercepted by Amani Hooker at TEN-6 and returned for 19 yards (tackle by Mark Glowinski),3.780,-0.610
1,4:03,1,10,TEN 25,7,0,Mason Rudolph pass complete short left to Tony Pollard for 8 yards (tackle by Jaylon Carlies and Zaire Franklin),0.610,1.140
1,3:37,2,2,TEN 33,7,0,Tony Pollard left tackle for 1 yard (tackle by Jaylon Carlies),1.140,0.560
1,2:57,3,1,TEN 34,7,0,Tony Pollard up the middle for 17 yards (tackle by Grant Stuard),0.560,2.320
1,2:13,1,10,IND 49,7,0,Mason Rudolph pass complete short middle to Chigoziem Okonkwo for 4 yards (tackle by Jaylon Jones),2.320,2.320
1,1:31,2,6,IND 45,7,0,Mason Rudolph pass complete short right to David Martin-Robinson for 6 yards (tackle by Kwity Paye),2.320,2.980
1,0:58,1,10,IND 39,7,0,Tyjae Spears left guard for 1 yard (tackle by DeForest Buckner),2.980,2.580
2,15:00,2,9,IND 38,7,0,Tyjae Spears left end for 3 yards (tackle by Laiatu Latu),2.580,2.280
2,14:20,3,6,IND 35,7,0,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine (defended by DeForest Buckner),2.280,0.970
2,14:16,4,6,IND 35,7,0,Brayden Narveson 53 yard field goal no good,0.970,-1.800
2,14:11,1,10,IND 43,7,0,Jonathan Taylor up the middle for 8 yards (tackle by Amani Hooker and Chidobe Awuzie),1.800,2.330
2,13:33,2,2,TEN 49,7,0,Jonathan Taylor up the middle for 8 yards (tackle by Chidobe Awuzie and Otis Reese),2.330,2.850
2,12:58,1,10,TEN 41,7,0,Anthony Richardson left guard for 29 yards (tackle by Amani Hooker),2.850,4.780
