Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA
,,,,,,,Cardinals won the coin toss and deferred Rams to receive the opening kickoff.,,
1,15:00,,,ARI 35,0,0,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LAR 30,0,0,Matthew Stafford pass complete short right to Puka Nacua for 16 yards (tackle by Sean Murphy-Bunting and Zaven Collins),0.940,1.990
1,14:28,1,10,LAR 46,0,0,Kyren Williams left tackle for 2 yards (tackle by Garrett Williams and Mack Wilson),1.990,1.720
1,13:52,2,8,LAR 48,0,0,Kyren Williams right tackle for 4 yards (tackle by Garrett Williams and Mack Wilson),1.720,1.550
1,13:27,3,4,ARI 48,0,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp (defended by Garrett Williams),1.550,0.070
1,13:22,4,4,ARI 48,0,0,Ethan Evans punts 45 yards downed by Xavier Smith,0.070,0.380
1,13:14,1,10,ARI 3,0,0,James Conner left guard for no gain (tackle by Byron Young),-0.380,-0.780
1,12:37,2,10,ARI 3,0,0,Kyler Murray pass complete short right to Trey McBride for 7 yards (tackle by Omar Speights and Quentin Lake),-0.780,-0.600
1,11:47,3,3,ARI 10,0,0,Kyler Murray pass complete short right to Michael Wilson for 3 yards,-0.600,-0.320
1,11:36,1,10,ARI 13,0,0,James Conner left end for 2 yards (tackle by Christian Rozeboom and Byron Young),-0.320,-0.570
1,10:47,2,8,ARI 15,0,0,Kyler Murray scrambles right end for 3 yards (tackle by Christian Rozeboom),-0.570,-0.830
1,10:11,3,5,ARI 18,0,0,Kyler Murray pass complete short middle to Greg Dortch for 4 yards (tackle by Quentin Lake and Michael Hoecht),-0.830,-1.900
1,9:19,4,1,ARI 22,0,0,Michael Palardy punts 50 yards fair catch by Xavier Smith at LA-28,-1.900,-0.810
1,9:12,1,10,LAR 28,0,0,Kyren Williams left guard for 3 yards (tackle by L.J. Collier and Kyzir White),0.810,0.670
1,8:36,2,7,LAR 31,0,0,Matthew Stafford pass complete short middle to Kyren Williams for 6 yards (tackle by Sean Murphy-Bunting),0.670,0.760
1,8:13,3,1,LAR 37,0,0,Matthew Stafford up the middle for 1 yard (tackle by Mack Wilson),0.760,1.470
1,7:36,1,10,LAR 38,0,0,Matthew Stafford pass incomplete short left intended for Puka Nacua,1.470,0.920
1,7:30,2,10,LAR 38,0,0,Matthew Stafford pass incomplete deep left intended for Demarcus Robinson,0.920,0.230
1,7:26,3,10,LAR 38,0,0,Matthew Stafford pass incomplete short left intended for Demarcus Robinson (defended by Xavier Thomas),0.230,-0.850
1,7:23,4,10,LAR 38,0,0,Ethan Evans punts 57 yards out of bounds,-0.850,0.380
1,7:15,1,10,ARI 5,0,0,Penalty on Elijah Higgins: False Start 2 yards (accepted) (no play),-0.380,-0.460
1,7:15,1,12,ARI 3,0,0,Kyler Murray pass complete short right to James Conner for 2 yards (tackle by Kamren Kinchens),-0.460,-0.780
1,6:35,2,10,ARI 5,0,0,Kyler Murray pass complete deep left to Marvin Harrison for 24 yards (tackle by Ahkello Witherspoon),-0.780,0.870
1,5:56,1,10,ARI 29,0,0,Kyler Murray left end for 9 yards (tackle by Ahkello Witherspoon),0.870,1.540
1,5:24,2,1,ARI 38,0,0,James Conner right guard for 2 yards (tackle by Desjuan Johnson and Byron Young),1.540,1.600
1,4:46,1,10,ARI 40,0,0,Kyler Murray pass incomplete short left intended for James Conner,1.600,1.050
1,4:41,2,10,ARI 40,0,0,Penalty on Kelvin Beachum: False Start 5 yards (accepted) (no play),1.050,0.380
1,4:41,2,15,ARI 35,0,0,Kyler Murray pass complete short right to James Conner for 2 yards (tackle by Darious Williams),0.380,-0.030
1,4:03,3,13,ARI 37,0,0,Kyler Murray sacked by Braden Fiske for -17 yards,-0.030,-2.030
