Quarter,Time,Down,ToGo,Location,ATL,WAS,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss Falcons to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Zane Gonzalez kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ATL 30,0,0,Bijan Robinson left guard for 7 yards (tackle by Quan Martin),0.940,1.340
1,14:18,2,3,ATL 37,0,0,Michael Penix pass complete short right to KhaDarel Hodge for 9 yards (tackle by Jeremy Chinn and Bobby Wagner),1.340,1.990
1,13:43,1,10,ATL 46,0,0,Michael Penix pass complete short right to Bijan Robinson for 1 yard (tackle by Michael Davis and Frankie Luvu),1.990,1.590
1,12:59,2,9,ATL 47,0,0,Michael Penix pass incomplete short middle intended for Darnell Mooney,1.590,0.890
1,12:54,3,9,ATL 47,0,0,Michael Penix pass deep left intended for Chris Blair is intercepted by Quan Martin at WAS-33 and returned for 29 yards (tackle by Ray-Ray McCloud and Michael Penix),0.890,-3.050
1,12:45,1,10,ATL 38,0,0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 12 yards (tackle by Jessie Bates and Kaden Elliss),3.050,3.840
1,12:17,1,10,ATL 26,0,0,Brian Robinson right guard for 2 yards (tackle by David Onyemata and Mike Hughes),3.840,3.570
1,11:40,2,8,ATL 24,0,0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Kaden Elliss),3.570,4.580
1,11:02,1,10,ATL 15,0,0,Brian Robinson up the middle for 1 yard (tackle by Grady Jarrett),4.580,4.110
1,10:25,2,9,ATL 14,0,0,Jayden Daniels pass incomplete short middle intended for Zach Ertz,4.110,3.240
1,10:19,3,9,ATL 14,0,0,Jayden Daniels pass complete short middle to Jamison Crowder for 7 yards (tackle by Jessie Bates),3.240,3.000
1,9:37,4,2,ATL 7,0,6,Jayden Daniels pass complete short left to Olamide Zaccheaus for 7 yards touchdown,3.000,7.000
1,9:33,,,ATL 15,0,7,Zane Gonzalez kicks extra point good,0.000,0.000
1,9:33,,,WAS 35,0,7,Zane Gonzalez kicks off 65 yards touchback.,0.000,0.940
1,9:33,1,10,ATL 30,0,7,Bijan Robinson right guard for 13 yards (tackle by Quan Martin and Sheldon Day),0.940,1.800
1,9:10,1,10,ATL 43,0,7,Michael Penix pass incomplete deep middle intended for KhaDarel Hodge (defended by Jeremy Chinn),1.800,1.250
1,8:59,2,10,ATL 43,0,7,Michael Penix pass complete short right to Kyle Pitts for 23 yards (tackle by Quan Martin),1.250,3.310
1,8:20,1,10,WAS 34,0,7,Michael Penix pass complete short right to Bijan Robinson for 1 yard (tackle by Bobby Wagner and Dorance Armstrong),3.310,2.910
1,7:39,2,9,WAS 33,0,7,Michael Penix pass complete short middle to Kyle Pitts for 5 yards (tackle by Jeremy Chinn),2.910,2.870
1,6:59,3,4,WAS 28,0,7,Michael Penix pass incomplete short right intended for Drake London,2.870,1.650
1,6:53,4,4,WAS 28,0,7,Riley Patterson yard field goal good. Penalty on Mike Sainristil: Defensive Offside 5 yards (accepted) (no play),1.650,4.040
1,6:49,1,10,WAS 23,0,7,Michael Penix pass complete short left to Drake London for 13 yards (tackle by Mike Sainristil),4.040,4.910
1,6:08,1,10,WAS 10,0,7,Bijan Robinson left end for 4 yards (tackle by Javontae Jean-Baptiste),4.910,4.950
1,5:23,2,6,WAS 6,0,7,Michael Penix pass incomplete short right intended for KhaDarel Hodge,4.950,4.040
1,5:17,3,6,WAS 6,0,7,Michael Penix pass incomplete short left intended for Drake London. Penalty on Michael Davis: Defensive Pass Interference 5 yards (accepted) (no play),4.040,6.970
1,5:12,1,1,WAS 1,6,7,Bijan Robinson left tackle for 1 yard touchdown,6.970,7.000
1,5:10,,,WAS 15,7,7,Riley Patterson kicks extra point good,0.000,0.000
1,5:10,,,ATL 35,7,7,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
1,5:10,1,10,WAS 30,7,7,Brian Robinson left tackle for no gain (tackle by Nathan Landman),0.940,0.390
1,4:37,2,10,WAS 30,7,7,Jayden Daniels sacked by JD Bertrand for -13 yards,0.390,-2.360
1,3:55,3,23,WAS 17,7,7,Jayden Daniels pass complete short right to Olamide Zaccheaus for 12 yards (tackle by DeAngelo Malone and Mike Hughes),-2.360,-1.440
1,3:00,4,11,WAS 29,7,7,Tress Way punts 55 yards returned by Avery Williams for 13 yards (tackle by Kevon Seymour and Jeremy Reaves),-1.440,-0.870
1,2:48,1,10,ATL 29,7,7,Bijan Robinson left end for 8 yards (tackle by Quan Martin),0.870,1.410
1,2:07,2,2,ATL 37,7,7,Penalty on Charlie Woerner: False Start 5 yards (accepted) (no play),1.410,0.730
1,1:46,2,7,ATL 32,7,7,Bijan Robinson left end for 1 yard (tackle by Clelin Ferrell and Bobby Wagner),0.730,0.170
1,1:04,3,6,ATL 33,7,7,Michael Penix pass incomplete short left intended for Bijan Robinson,0.170,-1.180
1,0:59,4,6,ATL 33,7,7,Bradley Pinion punts 61 yards returned by Jamison Crowder for 22 yards (tackle by DeAngelo Malone and Nathan Landman),-1.180,-0.810
