Quarter,Time,Down,ToGo,Location,BAL,HOU,Detail,EPB,EPA
,,,,,,,Texans won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 63 yards returned by Rasheen Ali for 23 yards (tackle by Kris Boyd),0.000,0.610
1,14:56,1,10,BAL 25,0,0,Derrick Henry left guard for 6 yards (tackle by Eric Murray and Neville Hewitt),0.610,0.870
1,14:14,2,4,BAL 31,0,0,Derrick Henry right guard for 6 yards (tackle by Christian Harris),0.870,1.400
1,13:37,1,10,BAL 37,0,0,Lamar Jackson sacked by and Tommy Togiai for -3 yards and Will Anderson for -3 yards,1.400,0.450
1,12:54,2,13,BAL 34,0,0,Lamar Jackson scrambles right end for 25 yards (tackle by Eric Murray),0.450,2.850
1,12:15,1,10,HOU 41,0,0,Derrick Henry right guard for 7 yards (tackle by Derek Barnett and Henry To'oTo'o),2.850,3.250
1,11:36,2,3,HOU 34,0,0,Derrick Henry right guard for 5 yards (tackle by Derek Stingley),3.250,3.640
1,10:53,1,10,HOU 29,0,0,Lamar Jackson pass complete deep middle to Zay Flowers for 27 yards (tackle by Kamari Lassiter),3.640,6.740
1,10:10,1,2,HOU 2,6,0,Derrick Henry right guard for 2 yards touchdown,6.740,7.000
1,10:08,,,HOU 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,10:08,,,BAL 35,7,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,10:08,1,10,HOU 30,7,0,Joe Mixon up the middle for no gain (tackle by Roquan Smith and Kyle Hamilton),0.940,0.390
1,9:30,2,10,HOU 30,7,0,Joe Mixon right guard for 3 yards (tackle by Kyle Van Noy),0.390,0.100
1,8:50,3,7,HOU 33,7,0,C.J. Stroud pass complete short right to Nico Collins for 13 yards (tackle by Nate Wiggins),0.100,1.990
1,8:10,1,10,HOU 46,7,0,Joe Mixon left guard for 5 yards (tackle by Kyle Van Noy and Malik Harrison),1.990,2.130
1,7:35,2,5,BAL 49,7,0,C.J. Stroud pass complete short left to Cade Stover for 1 yard (tackle by Brandon Stephens),2.130,1.550
1,7:04,3,4,BAL 48,7,0,C.J. Stroud sacked by Kyle Van Noy for -11 yards,1.550,-0.650
1,6:19,4,15,HOU 41,7,0,Tommy Townsend punts 29 yards out of bounds,-0.650,-0.940
1,6:12,1,10,BAL 30,7,0,Derrick Henry left guard for 20 yards (tackle by Eric Murray),0.940,2.260
1,5:40,1,10,HOU 50,7,0,Derrick Henry left guard for 8 yards (tackle by Calen Bullock),2.260,2.790
1,4:57,2,2,HOU 42,7,0,Derrick Henry up the middle for 7 yards (tackle by Eric Murray and Christian Harris),2.790,3.250
1,4:15,1,10,HOU 35,7,0,Lamar Jackson pass complete short left to Zay Flowers for 4 yards (tackle by Myles Bryant),3.250,3.240
1,3:37,2,6,HOU 31,7,0,Rasheen Ali right end for -3 yards (tackle by Dylan Horton),3.240,2.150
1,2:56,3,9,HOU 34,7,0,Lamar Jackson pass incomplete short left intended for Zay Flowers,2.150,1.060
1,2:51,4,9,HOU 34,10,0,Justin Tucker 52 yard field goal good,1.060,3.000
1,2:47,,,BAL 35,10,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,2:47,1,10,HOU 30,10,0,C.J. Stroud pass complete short middle to Nico Collins for 16 yards (tackle by Brandon Stephens),0.940,1.990
1,2:12,1,10,HOU 46,10,0,C.J. Stroud pass incomplete deep middle intended for Dalton Schultz,1.990,1.450
1,2:08,2,10,HOU 46,10,0,C.J. Stroud pass incomplete deep right intended for Nico Collins,1.450,0.760
1,2:03,3,10,HOU 46,10,0,C.J. Stroud pass incomplete short left intended for Dalton Schultz,0.760,-0.320
1,1:58,4,10,HOU 46,10,0,Tommy Townsend punts 46 yards downed by D'Angelo Ross. Penalty on D'Angelo Ross: Kick Catch Interference 15 yards (accepted),-0.320,-0.480
1,1:50,1,10,BAL 23,10,0,Derrick Henry up the middle for 17 yards (tackle by Henry To'oTo'o),0.480,1.600
1,1:15,1,10,BAL 40,10,0,Derrick Henry right tackle for 8 yards (tackle by Christian Harris),1.600,2.130
1,0:36,2,2,BAL 48,10,0,Keaton Mitchell left guard for 7 yards (tackle by Kurt Hinish and Mario Edwards),2.130,2.590
2,15:00,1,10,HOU 45,10,0,Derrick Henry left guard for -4 yards (tackle by Will Anderson),2.590,1.500
2,14:23,2,14,HOU 49,10,0,Keaton Mitchell up the middle for -6 yards (tackle by Will Anderson),1.500,0.040
2,13:42,3,20,BAL 45,10,0,Lamar Jackson pass incomplete short right,0.040,-0.390
2,13:31,4,20,BAL 45,10,0,Jordan Stout punts 37 yards fair catch by Robert Woods at HOU-18,-0.390,-0.040
2,13:23,1,10,HOU 18,10,0,C.J. Stroud pass incomplete short right intended for Joe Mixon. Penalty on Cade Stover: Offensive Holding 9 yards (accepted) (no play),0.040,-0.720
2,13:18,1,19,HOU 9,10,0,C.J. Stroud pass complete short left to Joe Mixon for 10 yards (tackle by Roquan Smith),-0.720,-0.320
2,12:34,2,9,HOU 19,10,0,C.J. Stroud pass complete short right to Dalton Schultz for 18 yards (tackle by Ar'Darius Washington),-0.320,1.400
2,12:03,1,10,HOU 37,10,0,C.J. Stroud pass incomplete short left intended for John Metchie,1.400,0.860
2,11:59,2,10,HOU 37,10,0,C.J. Stroud pass complete short left to John Metchie for 8 yards. John Metchie fumbles ball out of bounds at HOU-45 (forced by Marlon Humphrey). John Metchie fumbles out of bounds,0.860,1.220
2,11:19,3,2,HOU 45,10,0,C.J. Stroud sacked by Odafe Oweh for -13 yards,1.220,-1.240
2,10:39,4,15,HOU 32,10,0,Tommy Townsend punts returned by Steven Sims for no gain (tackle by M.J. Stewart and Neville Hewitt). Penalty on Kris Boyd: Player Out of Bounds on a Punt 5 yards (accepted) (no play),-1.240,-1.570
2,10:27,4,20,HOU 27,10,0,Tommy Townsend punts 69 yards downed by D'Angelo Ross,-1.570,0.380
2,10:15,1,10,BAL 4,10,2,Derrick Henry left guard for -4 yards (tackle by Kamari Lassiter) safety.,-0.380,-2.000
