Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
,,,,,,,Broncos won the coin toss Broncos to receive the opening kickoff.,,
1,15:00,,,CIN 35,0,0,Cade York kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Jaleel McLaughlin left guard for 12 yards (tackle by Cam Taylor-Britt),0.940,1.730
1,14:36,1,10,DEN 42,0,0,Bo Nix pass complete short left to Marvin Mims for 4 yards (tackle by Geno Stone),1.730,1.730
1,13:59,2,6,DEN 46,0,0,Bo Nix pass complete short left to Audric Estime for 13 yards (tackle by McKinnley Jackson),1.730,2.850
1,13:18,1,10,CIN 41,0,0,Bo Nix pass complete short left to Jaleel McLaughlin for 3 yards (tackle by Cam Taylor-Britt),2.850,2.710
1,12:47,2,7,CIN 38,0,0,Bo Nix scrambles right end for 2 yards (tackle by Germaine Pratt),2.710,2.280
1,12:04,3,5,CIN 36,0,0,Bo Nix pass complete short middle to Devaughn Vele for 16 yards (tackle by Josh Newton),2.280,4.240
1,11:22,1,10,CIN 20,0,0,Bo Nix scrambles left end for 5 yards (tackle by Akeem Davis-Gaither),4.240,4.450
1,10:39,2,5,CIN 15,0,0,Audric Estime up the middle for 3 yards (tackle by Cedric Johnson),4.450,4.340
1,9:53,,,,,,Timeout #1 by Denver Broncos,,
1,9:53,3,2,CIN 12,0,0,Bo Nix pass incomplete short right intended for Courtland Sutton,4.340,2.760
1,9:49,4,2,CIN 12,3,0,Wil Lutz 30 yard field goal good,2.760,3.000
1,9:45,,,DEN 35,3,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
1,9:45,1,10,CIN 30,3,0,Joe Burrow pass complete short right to Cam Grandy for 7 yards (tackle by Brandon Jones),0.940,1.340
1,9:09,2,3,CIN 37,3,0,Chase Brown left tackle for 9 yards (tackle by Ja'Quan McMillian),1.340,1.990
1,8:33,1,10,CIN 46,3,0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,1.990,1.450
1,8:28,2,10,CIN 46,3,0,Joe Burrow pass complete short middle to Mike Gesicki for 12 yards (tackle by Brandon Jones),1.450,2.790
1,7:51,1,10,DEN 42,3,0,Chase Brown left guard for 4 yards (tackle by Riley Moss),2.790,2.780
1,7:13,2,6,DEN 38,3,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Nik Bonitto),2.780,2.080
1,7:11,3,6,DEN 38,3,0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Patrick Surtain),2.080,3.510
1,6:28,1,10,DEN 31,3,0,Chase Brown left end for 1 yard (tackle by Dondrea Tillman),3.510,3.100
1,5:47,2,9,DEN 30,3,0,Joe Burrow pass complete short right to Mike Gesicki for 6 yards (tackle by Jonah Elliss),3.100,3.200
1,5:10,3,3,DEN 24,3,0,Chase Brown up the middle for 2 yards (tackle by Dondrea Tillman and Brandon Jones),3.200,2.140
1,4:32,,,,,,Timeout #1 by Cincinnati Bengals,,
1,4:32,4,1,DEN 22,3,0,Chase Brown right guard for no gain (tackle by Nik Bonitto),2.140,-0.480
1,4:23,1,10,DEN 23,3,0,Jaleel McLaughlin right tackle for 9 yards (tackle by Germaine Pratt),0.480,1.150
1,3:41,2,1,DEN 32,3,0,Audric Estime right guard for 1 yard (tackle by Joseph Ossai and Jordan Battle),1.150,1.140
1,2:55,1,10,DEN 33,3,0,Penalty on Quinn Meinerz: False Start 5 yards (accepted) (no play),1.140,0.810
1,2:38,1,15,DEN 28,3,0,Audric Estime left guard for 3 yards (tackle by Mike Hilton),0.810,0.320
1,1:56,2,12,DEN 31,3,0,Bo Nix pass complete short left to Jaleel McLaughlin for 4 yards (tackle by Germaine Pratt and Akeem Davis-Gaither),0.320,0.170
