Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA
,,,,,,,Packers won the coin toss Packers to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,GNB 30,0,0,Josh Jacobs right tackle for 2 yards (tackle by Camryn Bynum),0.940,0.660
1,14:25,2,8,GNB 32,0,0,Jordan Love pass complete short right to Dontayvion Wicks for 6 yards (tackle by Stephon Gilmore),0.660,0.760
1,13:42,3,2,GNB 38,0,0,Jordan Love pass complete short right to Dontayvion Wicks for 8 yards (tackle by Stephon Gilmore),0.760,1.990
1,13:00,1,10,GNB 46,0,0,Josh Jacobs left guard for 6 yards (tackle by Blake Cashman),1.990,2.260
1,12:15,2,4,MIN 48,0,0,Josh Jacobs right guard for 7 yards. Josh Jacobs fumbles (forced by Jerry Tillery) recovered by Camryn Bynum at MIN-38,2.260,-1.470
1,12:10,1,10,MIN 38,0,0,Aaron Jones up the middle for 7 yards (tackle by Xavier McKinney),1.470,1.870
1,11:33,2,3,MIN 45,0,0,Sam Darnold pass complete short right to Johnny Mundt for 7 yards (tackle by Isaiah McDuffie),1.870,2.390
1,10:52,1,10,GNB 48,0,0,Aaron Jones right guard for 1 yard (tackle by Edgerrin Cooper),2.390,2.050
1,10:16,2,8,GNB 47,0,0,Sam Darnold pass incomplete short left,2.050,1.360
1,10:11,3,8,GNB 47,0,0,Sam Darnold pass complete short left to C.J. Ham for 2 yards (tackle by Xavier McKinney),1.360,0.270
1,9:30,4,7,GNB 45,0,0,Ryan Wright punts 30 yards out of bounds,0.270,0.220
1,9:23,1,10,GNB 15,0,0,Jordan Love pass incomplete deep left intended for Romeo Doubs,-0.220,-0.710
1,9:18,2,10,GNB 15,0,0,Jordan Love pass incomplete deep left intended for Dontayvion Wicks,-0.710,-1.370
1,9:12,3,10,GNB 15,0,0,Jordan Love pass incomplete deep middle intended for Jayden Reed,-1.370,-2.440
1,9:07,4,10,GNB 15,0,0,Daniel Whelan punts 50 yards fair catch by Brandon Powell at MIN-35,-2.440,-1.270
1,9:00,1,10,MIN 35,0,0,Sam Darnold pass complete short left to Jalen Nailor for 2 yards (tackle by Karl Brooks),1.270,0.990
1,8:27,2,8,MIN 37,0,0,Sam Darnold pass complete short middle to Aaron Jones for 6 yards (tackle by Lukas Van Ness and Xavier McKinney),0.990,1.090
1,7:48,3,2,MIN 43,0,0,Sam Darnold pass complete short right to T.J. Hockenson for 11 yards (tackle by Javon Bullard),1.090,2.520
1,7:05,1,10,GNB 46,0,0,Aaron Jones left guard for 7 yards (tackle by Xavier McKinney),2.520,2.920
1,6:20,2,3,GNB 39,0,0,Sam Darnold pass incomplete deep right intended for Jordan Addison (defended by Keisean Nixon),2.920,2.210
1,6:15,3,3,GNB 39,0,0,Sam Darnold pass incomplete short right,2.210,0.660
1,6:07,4,3,GNB 39,0,0,Will Reichard 57 yard field goal no good,0.660,-2.060
1,6:02,1,10,GNB 47,0,0,Josh Jacobs up the middle for 6 yards (tackle by Jonathan Bullard),2.060,2.330
1,5:26,2,4,MIN 47,0,0,Josh Jacobs right tackle for 1 yard (tackle by Blake Cashman and Ivan Pace),2.330,1.750
1,4:58,3,3,MIN 46,0,0,Josh Jacobs right tackle for 7 yards (tackle by Ivan Pace and Camryn Bynum),1.750,2.980
1,4:24,1,10,MIN 39,0,0,Jordan Love pass complete short right to Tucker Kraft for 18 yards (tackle by Blake Cashman). Penalty on Harrison Smith: Low Block 10 yards (accepted),2.980,4.840
1,3:56,1,10,MIN 11,0,0,Jordan Love pass complete short left to Bo Melton for 1 yard (tackle by Harrison Smith and Andrew Van Ginkel),4.840,4.320
1,3:23,2,9,MIN 10,0,0,Josh Jacobs right guard for 2 yards (tackle by Jalen Redmond and Blake Cashman),4.320,3.760
1,2:42,3,7,MIN 8,0,0,Jordan Love pass complete short right to Luke Musgrave for 4 yards (tackle by Josh Metellus),3.760,3.030
1,1:50,4,3,MIN 4,3,0,Brandon McManus 22 yard field goal good,3.030,3.000
1,1:47,,,GNB 35,3,0,Brandon McManus kicks off 69 yards returned by Ty Chandler for 27 yards (tackle by Zayne Anderson),0.000,0.480
1,1:43,1,10,MIN 23,3,0,Aaron Jones left end for 5 yards (tackle by Javon Bullard),0.480,0.610
1,1:05,2,5,MIN 28,3,0,Aaron Jones right guard for 9 yards (tackle by Eric Wilson and Edgerrin Cooper),0.610,1.400
1,0:26,1,10,MIN 37,3,0,Aaron Jones right guard for 1 yard (tackle by Tedarrell Slaton),1.400,0.990
2,15:00,2,9,MIN 38,3,0,Penalty on Cam Robinson: False Start 5 yards (accepted) (no play),0.990,0.320
2,15:00,2,14,MIN 33,3,0,Sam Darnold pass complete short left to Jalen Nailor for 10 yards (tackle by Javon Bullard and Keisean Nixon),0.320,0.960
2,14:21,3,4,MIN 43,3,0,Sam Darnold pass complete short right to Jordan Addison for 13 yards (tackle by Eric Wilson),0.960,2.650
2,13:35,1,10,GNB 44,3,0,Aaron Jones right end for -2 yards (tackle by Edgerrin Cooper),2.650,1.840
2,12:59,2,12,GNB 46,3,0,Sam Darnold pass complete short left to Jordan Addison for 13 yards (tackle by Keisean Nixon),1.840,3.380
2,12:19,1,10,GNB 33,3,0,Aaron Jones left guard for 2 yards (tackle by Eric Wilson),3.380,3.110
2,11:58,2,8,GNB 31,3,6,Sam Darnold pass complete deep left to Jalen Nailor for 31 yards touchdown,3.110,7.000
2,11:52,,,GNB 15,3,7,Will Reichard kicks extra point good,0.000,0.000
2,11:52,,,MIN 35,3,7,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,11:52,1,10,GNB 30,3,7,Jordan Love pass complete deep middle to Jayden Reed for 6 yards (tackle by Harrison Smith and Blake Cashman),0.940,1.200
2,11:12,2,4,GNB 36,3,7,Josh Jacobs right end for 3 yards (tackle by Harrison Phillips),1.200,0.890
2,10:47,3,1,GNB 39,3,7,Josh Jacobs up the middle for 13 yards (tackle by Camryn Bynum and Harrison Smith),0.890,2.390
2,10:07,1,10,MIN 48,3,7,Josh Jacobs up the middle for 5 yards (tackle by Camryn Bynum and Shaquill Griffin),2.390,2.520
2,9:42,2,5,MIN 43,3,7,Jordan Love pass incomplete short left intended for Jayden Reed. Penalty on Byron Murphy: Defensive Pass Interference 12 yards (accepted) (no play),2.520,3.510
2,9:37,1,10,MIN 31,3,7,Josh Jacobs right guard for 6 yards (tackle by Blake Cashman),3.510,3.780
2,9:02,2,4,MIN 25,3,7,Josh Jacobs right tackle for no gain (tackle by Jalen Redmond and Harrison Phillips),3.780,3.070
2,8:21,3,4,MIN 25,3,7,Jordan Love pass complete short left to Romeo Doubs for 2 yards (tackle by Byron Murphy),3.070,2.050
2,7:34,4,2,MIN 23,3,7,Jordan Love pass incomplete deep middle intended for Jayden Reed,2.050,-0.540
2,7:29,1,10,MIN 24,3,7,Cam Akers left guard for 1 yard (tackle by Karl Brooks and Isaiah McDuffie),0.540,0.130
2,6:51,2,9,MIN 25,3,7,Sam Darnold pass complete short left to T.J. Hockenson for 12 yards (tackle by Edgerrin Cooper),0.130,1.400
2,6:06,1,10,MIN 37,3,7,Sam Darnold pass incomplete deep middle intended for Justin Jefferson. Penalty on Keisean Nixon: Defensive Pass Interference 17 yards (accepted) (no play),1.400,2.520
2,6:01,1,10,GNB 46,3,7,Sam Darnold pass complete short left to Justin Jefferson for 6 yards (tackle by Keisean Nixon),2.520,2.790
2,5:23,2,4,GNB 40,3,7,Cam Akers left end for -2 yards (tackle by Edgerrin Cooper),2.790,1.820
2,4:39,3,6,GNB 42,3,7,Sam Darnold pass complete short middle to Jalen Nailor for 16 yards (tackle by Keisean Nixon),1.820,3.840
2,3:58,1,10,GNB 26,3,7,Cam Akers right end for 16 yards (tackle by Xavier McKinney),3.840,4.910
2,3:16,1,10,GNB 10,3,7,Sam Darnold pass incomplete short left intended for Cam Akers,4.910,4.190
2,3:11,2,10,GNB 10,3,7,Sam Darnold pass complete short middle to Jordan Addison for 3 yards (tackle by Javon Bullard and Edgerrin Cooper),4.190,3.810
2,2:24,3,7,GNB 7,3,7,Sam Darnold pass incomplete short left intended for Justin Jefferson,3.810,2.970
2,2:19,4,7,GNB 7,3,10,Will Reichard 25 yard field goal good,2.970,3.000
2,2:16,,,MIN 35,3,10,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,2:16,1,10,GNB 30,3,10,Josh Jacobs right guard for 3 yards (tackle by Blake Cashman and Harrison Phillips),0.940,0.800
2,2:00,2,7,GNB 33,3,10,Jordan Love scrambles up the middle for 6 yards (tackle by Andrew Van Ginkel),0.800,0.890
2,1:37,3,1,GNB 39,3,10,Josh Jacobs up the middle for no gain (tackle by Dallas Turner). Penalty on Dontayvion Wicks: Illegal Formation 4 yards (accepted) (no play),0.890,0.370
2,1:32,3,5,GNB 35,3,10,Jordan Love pass incomplete deep left intended for Bo Melton,0.370,-1.040
2,1:26,4,5,GNB 35,3,10,Daniel Whelan punts 49 yards recovered by Brandon Powell at MIN-16 (tackle by Kingsley Enagbare),-1.040,0.140
2,1:16,1,10,MIN 16,3,10,Sam Darnold pass complete deep middle to T.J. Hockenson for 28 yards (tackle by Eric Wilson),-0.140,1.860
2,0:47,1,10,MIN 44,3,10,Sam Darnold pass complete short left to Justin Jefferson for 7 yards (tackle by Carrington Valentine),1.860,2.260
