Quarter,Time,Down,ToGo,Location,IND,NYG,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Colts to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Graham Gano kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,IND 30,0,0,Joe Flacco pass complete short left to Michael Pittman for 6 yards (tackle by Deonte Banks),0.940,1.200
1,14:25,2,4,IND 36,0,0,Jonathan Taylor left end for 1 yard (tackle by Darius Muasau),1.200,0.630
1,13:45,3,3,IND 37,0,0,Joe Flacco pass complete deep right to Alec Pierce for 20 yards (tackle by Jason Pinnock),0.630,2.720
1,13:10,1,10,NYG 43,0,0,Joe Flacco pass incomplete deep middle intended for Alec Pierce,2.720,2.180
1,13:03,2,10,NYG 43,0,0,Joe Flacco pass complete short left to Adonai Mitchell for 13 yards (tackle by Deonte Banks),2.180,3.580
1,12:24,1,10,NYG 30,0,0,Joe Flacco right end for 1 yard (tackle by Ty Summers and Boogie Basham),3.580,3.170
1,11:41,2,9,NYG 29,0,0,Joe Flacco pass deep right intended for Mo Alie-Cox is intercepted by Dane Belton at NYG-6 and returned for no gain (tackle by Mo Alie-Cox),3.170,0.380
1,11:36,1,10,NYG 6,0,0,Tyrone Tracy left guard for -1 yards (tackle by Kwity Paye),-0.380,-0.850
1,11:05,2,11,NYG 5,0,0,Tyrone Tracy left guard for -1 yards (tackle by Zaire Franklin),-0.850,-1.650
1,10:30,3,12,NYG 4,0,0,Penalty on Aaron Stinnie: False Start 2 yards (accepted) (no play),-1.650,-1.890
1,10:17,3,14,NYG 2,0,0,Drew Lock pass complete short middle to Tyrone Tracy for 13 yards (tackle by Zaire Franklin and Julian Blackmon),-1.890,-2.440
1,9:35,4,1,NYG 15,0,0,Jamie Gillan punts 48 yards fair catch by Anthony Gould at IND-37,-2.440,-1.400
1,9:28,1,10,IND 37,0,0,Jonathan Taylor right guard for 1 yard (tackle by Brian Burns and Darius Muasau),1.400,0.990
1,8:54,2,9,IND 38,0,0,Joe Flacco pass complete short right to Alec Pierce for 19 yards (tackle by Brian Burns),0.990,2.720
1,8:13,1,10,NYG 43,0,0,Jonathan Taylor left tackle for 8 yards (tackle by Ty Summers and Jason Pinnock),2.720,3.260
1,7:32,2,2,NYG 35,0,0,Jonathan Taylor right guard for 5 yards (tackle by Elijah Garcia and Armon Watts),3.260,3.580
1,6:56,1,10,NYG 30,0,0,Jonathan Taylor right tackle for 3 yards (tackle by Jason Pinnock),3.580,3.440
1,6:19,2,7,NYG 27,0,0,Joe Flacco pass complete short middle to Adonai Mitchell for 9 yards (tackle by Andru Phillips),3.440,4.370
1,5:40,1,10,NYG 18,0,0,Jonathan Taylor left tackle for 4 yards (tackle by Deonte Banks),4.370,4.430
1,5:07,2,6,NYG 14,0,0,Jonathan Taylor right guard for 4 yards (tackle by Jason Pinnock),4.430,4.510
1,4:30,3,2,NYG 10,0,0,Joe Flacco sacked by Rakeem Nunez-Roches for -3 yards,4.510,2.620
1,3:48,4,5,NYG 13,3,0,Matt Gay 32 yard field goal good,2.620,3.000
1,3:45,,,IND 35,3,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,3:45,1,10,NYG 30,3,0,Tyrone Tracy up the middle for 3 yards (tackle by DeForest Buckner and E.J. Speed),0.940,0.800
1,3:08,2,7,NYG 33,3,0,Tyrone Tracy right tackle for 40 yards (tackle by Julian Blackmon),0.800,3.780
1,2:24,1,10,IND 27,3,0,Tyrone Tracy left end for -5 yards (tackle by Zaire Franklin),3.780,2.560
1,1:48,2,15,IND 32,3,0,Devin Singletary up the middle for 1 yard (tackle by Zaire Franklin),2.560,2.020
1,1:13,3,14,IND 31,3,6,Drew Lock pass complete short right to Malik Nabers for 31 yards touchdown,2.020,7.000
1,1:05,,,IND 15,3,7,Graham Gano kicks extra point good,0.000,0.000
1,1:05,,,NYG 35,3,7,Graham Gano kicks off 65 yards touchback.,0.000,0.940
1,1:05,1,10,IND 30,3,7,Jonathan Taylor right end for 1 yard (tackle by Ty Summers and Andru Phillips),0.940,0.530
1,0:29,2,9,IND 31,3,7,Joe Flacco pass incomplete short right intended for Jonathan Taylor,0.530,-0.160
1,0:25,3,9,IND 31,3,7,Joe Flacco pass complete short left to Kylen Granson for 27 yards (tackle by Jason Pinnock and Isaiah Simmons),-0.160,2.790
2,15:00,1,10,NYG 42,3,7,Jonathan Taylor right end for 2 yards (tackle by Ty Summers and Boogie Basham),2.790,2.510
2,14:26,2,8,NYG 40,3,7,Joe Flacco pass incomplete short right intended for Michael Pittman (defended by Adoree' Jackson),2.510,1.820
2,14:23,3,8,NYG 40,3,7,Jonathan Taylor right guard for 5 yards (tackle by Isaiah Simmons and Darius Muasau),1.820,0.990
2,13:43,4,3,NYG 35,3,7,Matt Gay 54 yard field goal no good,0.990,-1.860
2,13:39,1,10,NYG 44,3,7,Tyrone Tracy up the middle for 3 yards (tackle by DeForest Buckner and Grover Stewart),1.860,1.720
2,13:00,2,7,NYG 47,3,7,Drew Lock pass complete short middle to Malik Nabers for 19 yards (tackle by Jaylon Jones and Nick Cross),1.720,3.310
2,12:16,1,10,IND 34,3,7,Drew Lock pass incomplete short left intended for Darius Slayton,3.310,2.770
2,12:10,2,10,IND 34,3,7,Devin Singletary left tackle for 2 yards (tackle by Jaylon Jones and Grover Stewart),2.770,2.350
2,11:41,3,8,IND 32,3,13,Drew Lock pass complete short middle to Darius Slayton for 32 yards touchdown,2.350,7.000
2,11:32,,,IND 15,3,14,Graham Gano kicks extra point good,0.000,0.000
2,11:32,,,NYG 35,3,14,Graham Gano kicks off 65 yards touchback.,0.000,0.940
2,11:32,1,10,IND 30,3,14,Joe Flacco pass complete short right to Alec Pierce for 8 yards (tackle by Andru Phillips),0.940,1.470
2,10:53,2,2,IND 38,3,14,Jonathan Taylor right guard for 6 yards (tackle by Rakeem Nunez-Roches),1.470,1.860
2,10:16,1,10,IND 44,3,14,Joe Flacco pass incomplete deep right intended for Adonai Mitchell,1.860,1.320
2,10:09,2,10,IND 44,3,14,Joe Flacco pass incomplete deep left intended for Alec Pierce. Penalty on Deonte Banks: Defensive Pass Interference 44 yards (accepted) (no play),1.320,4.780
2,10:00,1,10,NYG 12,3,14,Joe Flacco pass incomplete short left intended for Jonathan Taylor,4.780,4.100
2,9:56,2,10,NYG 12,3,14,Joe Flacco pass complete short left to Kylen Granson for 1 yard (tackle by Dane Belton). Penalty on Bernhard Raimann: Ineligible Downfield Pass 5 yards (declined),4.100,3.290
2,9:39,3,9,NYG 11,3,14,Joe Flacco pass incomplete short left intended for Alec Pierce (defended by Kayvon Thibodeaux),3.290,2.700
2,9:29,4,9,NYG 11,6,14,Matt Gay 29 yard field goal good,2.700,3.000
2,9:26,,,IND 35,6,14,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,9:26,1,10,NYG 30,6,14,Devin Singletary right guard for 5 yards (tackle by Nick Cross),0.940,1.070
2,8:45,2,5,NYG 35,6,14,Devin Singletary up the middle for 13 yards (tackle by Julian Blackmon and Samuel Womack),1.070,2.130
2,7:57,1,10,NYG 48,6,14,Tyrone Tracy up the middle for 6 yards (tackle by Nick Cross and Zaire Franklin). Penalty on Taven Bryan: Defensive Holding 5 yards (accepted),2.130,2.850
2,7:45,1,10,IND 41,6,14,Drew Lock pass complete deep right to Malik Nabers for 34 yards (tackle by Kenny Moore),2.850,5.600
2,6:56,1,7,IND 7,6,14,Tyrone Tracy up the middle for no gain (tackle by DeForest Buckner). Penalty on Daniel Bellinger: Chop Block 15 yards (accepted) (no play),5.600,4.110
2,6:52,1,22,IND 22,6,14,Tyrone Tracy right guard for 2 yards (tackle by Zaire Franklin and Tyquan Lewis),4.110,3.000
2,6:09,2,20,IND 20,6,14,Drew Lock pass complete deep left to Malik Nabers for 19 yards (tackle by Jaylon Jones) IND challenged the pass completion ruling and the play was upheld.,3.000,5.170
2,6:02,3,1,IND 1,6,14,Penalty on Jake Kubas: False Start 4 yards (accepted) (no play),5.170,4.260
2,6:02,3,5,IND 5,6,20,Drew Lock pass complete short right to Wan'Dale Robinson for 5 yards touchdown,4.260,7.000
2,5:55,,,IND 15,6,21,Graham Gano kicks extra point good,0.000,0.000
2,5:55,,,NYG 35,6,21,Graham Gano kicks off 65 yards touchback.,0.000,0.940
2,5:55,1,10,IND 30,6,21,Joe Flacco pass complete short middle to Jonathan Taylor for 7 yards (tackle by Ty Summers),0.940,1.340
2,5:19,2,3,IND 37,6,21,Jonathan Taylor right guard for 2 yards (tackle by Elijah Chatman),1.340,0.890
2,4:39,3,1,IND 39,6,21,Jonathan Taylor up the middle for 2 yards (tackle by Dane Belton),0.890,1.660
2,3:56,1,10,IND 41,6,21,Joe Flacco pass complete short left to Alec Pierce for 13 yards (tackle by Jason Pinnock),1.660,2.520
2,3:18,1,10,NYG 46,6,21,Joe Flacco pass complete short left to Michael Pittman for 13 yards (tackle by Jason Pinnock),2.520,3.380
2,2:46,1,10,NYG 33,6,21,Joe Flacco pass incomplete short left,3.380,2.840
2,2:44,2,10,NYG 33,6,21,Joe Flacco pass complete short middle to Michael Pittman for 8 yards (tackle by Darius Muasau and Ty Summers),2.840,3.200
2,2:00,3,2,NYG 25,6,21,Jonathan Taylor right guard for 12 yards (tackle by Adoree' Jackson),3.200,4.710
2,1:23,1,10,NYG 13,6,21,Joe Flacco pass complete short middle to Josh Downs for 7 yards (tackle by Andru Phillips),4.710,5.340
2,1:17,,,,,,Timeout #1 by New York Giants,,
2,1:17,2,3,NYG 6,6,21,Jonathan Taylor up the middle for -1 yards (tackle by Brian Burns),5.340,4.330
2,1:14,,,,,,Timeout #2 by New York Giants,,
2,1:14,3,4,NYG 7,6,21,Jonathan Taylor right end for -1 yards (tackle by Jordon Riley and Darius Muasau),4.330,2.970
2,1:07,,,,,,Timeout #3 by New York Giants,,
2,1:07,4,5,NYG 8,6,21,Joe Flacco pass complete short right to Kylen Granson for 6 yards (tackle by Dane Belton),2.970,6.740
2,0:27,1,2,NYG 2,6,21,Jonathan Taylor right tackle for -1 yards (tackle by Brian Burns and Elijah Garcia),6.740,5.530
2,0:23,,,,,,Timeout #2 by Indianapolis Colts,,
2,0:23,2,3,NYG 3,12,21,Jonathan Taylor left tackle for 3 yards touchdown,5.530,7.000
2,0:20,,,NYG 15,13,21,Matt Gay kicks extra point good,0.000,0.000
2,0:20,,,IND 35,13,21,Matt Gay kicks off 65 yards touchback.,0.000,0.940
2,0:20,1,10,NYG 30,13,21,Drew Lock kneels for -1 yards,0.940,0.260
3,15:00,,,IND 35,13,27,Matt Gay kicks off 65 yards returned by Ihmir Smith-Marsette for 100 yards touchdown,0.000,7.000
3,14:48,,,IND 15,13,28,Graham Gano kicks extra point good,0.000,0.000
3,14:48,,,NYG 35,13,28,Graham Gano kicks off 65 yards touchback.,0.000,0.940
3,14:48,1,10,IND 30,13,28,Jonathan Taylor up the middle for 5 yards (tackle by Cordale Flott),0.940,1.070
3,14:14,2,5,IND 35,13,28,Joe Flacco pass complete short left to Michael Pittman for 19 yards (tackle by Deonte Banks),1.070,2.520
