Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA
,,,,,,,Chiefs won the coin toss and deferred Steelers to receive the opening kickoff.,,
1,15:00,,,KAN 35,0,0,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,PIT 30,0,0,Russell Wilson pass complete short right to Pat Freiermuth for 7 yards (tackle by Drue Tranquill),0.940,1.340
1,14:27,2,3,PIT 37,0,0,Najee Harris left tackle for 1 yard (tackle by Nick Bolton),1.340,0.760
1,14:03,3,2,PIT 38,0,0,Russell Wilson sacked by Michael Danna for -11 yards. Russell Wilson fumbles (forced by Michael Danna) recovered by Russell Wilson at PIT-27,0.760,-1.570
1,13:25,4,13,PIT 27,0,0,Corliss Waitman punts 40 yards returned by Nikko Remigio for 25 yards (tackle by Christian Kuntz),-1.570,-2.790
1,13:15,1,10,PIT 42,0,0,Isiah Pacheco right guard for 8 yards (tackle by Patrick Queen),2.790,3.320
1,12:45,2,2,PIT 34,0,0,Isiah Pacheco right guard for 1 yard (tackle by Alex Highsmith),3.320,2.740
1,12:07,3,1,PIT 33,0,0,Kareem Hunt right tackle for no gain (tackle by Cameron Heyward and Patrick Queen),2.740,1.210
1,11:25,,,,,,Timeout #1 by Kansas City Chiefs,,
1,11:25,4,1,PIT 33,0,0,Kareem Hunt up the middle for 4 yards (tackle by Patrick Queen),1.210,3.640
1,11:00,,,,,,Timeout #2 by Kansas City Chiefs,,
1,11:00,1,10,PIT 29,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 4 yards (tackle by Donte Jackson),3.640,3.640
1,10:30,2,6,PIT 25,0,0,Patrick Mahomes scrambles left end for 12 yards (tackle by Minkah Fitzpatrick),3.640,4.710
1,9:53,1,10,PIT 13,0,0,Patrick Mahomes pass complete short left to Noah Gray for 6 yards (tackle by Minkah Fitzpatrick),4.710,5.150
1,9:23,2,4,PIT 7,6,0,Patrick Mahomes pass complete short left to Xavier Worthy for 7 yards touchdown,5.150,7.000
1,9:19,,,PIT 15,6,0,Penalty on Xavier Worthy: Unsportsmanlike Conduct / Offense 15 yards (accepted) (no play),0.000,0.000
1,9:19,,,PIT 30,6,0,Harrison Butker kicks extra point no good,0.000,-1.000
1,9:19,,,KAN 35,6,0,Harrison Butker kicks off 65 yards returned by Cordarrelle Patterson for 23 yards (tackle by Cam Jones),0.000,0.480
1,9:14,1,10,PIT 23,6,0,Najee Harris up the middle for 2 yards (tackle by Nick Bolton and Derrick Nnadi),0.480,0.200
1,8:38,2,8,PIT 25,6,0,Najee Harris right end for 10 yards (tackle by Christian Roland-Wallace),0.200,1.270
1,8:03,1,10,PIT 35,6,0,Najee Harris left guard for 2 yards (tackle by Drue Tranquill),1.270,0.990
1,7:22,2,8,PIT 37,6,0,Russell Wilson sacked by George Karlaftis for -10 yards,0.990,-1.020
1,6:50,3,18,PIT 27,6,0,Russell Wilson pass incomplete deep left intended for George Pickens,-1.020,-1.570
1,6:45,4,18,PIT 27,6,0,Corliss Waitman punts 58 yards returned by Nikko Remigio for 7 yards. Nikko Remigio fumbles (forced by Mark Robinson) recovered by Deon Bush at KC-21 (tackle by Mark Robinson),-1.570,-0.340
1,6:33,1,10,KAN 21,6,0,Kareem Hunt left tackle for -1 yards (tackle by T.J. Watt),0.340,-0.340
1,6:03,2,11,KAN 20,6,0,Patrick Mahomes pass incomplete short right intended for Marquise Brown,-0.340,-1.020
1,5:59,3,11,KAN 20,6,0,Patrick Mahomes pass complete short left to Samaje Perine for 14 yards (tackle by Patrick Queen). Penalty on James Pierre: Defensive Holding 5 yards (declined),-1.020,1.200
1,5:32,1,10,KAN 34,6,0,Patrick Mahomes pass complete deep right to Justin Watson for 49 yards (tackle by Donte Jackson),1.200,4.440
