Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
,,,,,,,Patriots won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,NWE 35,0,0,Joey Slye kicks off 66 yards returned by Derius Davis for 17 yards (tackle by Brenden Schooler and Monty Rice). Penalty on Troy Dye: Offensive Holding 8 yards (accepted),0.000,-0.380
1,14:55,1,10,LAC 8,0,0,J.K. Dobbins left end for no gain (tackle by Anfernee Jennings),-0.380,-0.780
1,14:19,2,10,LAC 8,0,0,Justin Herbert pass complete short right to Josh Palmer for 4 yards (tackle by Alex Austin and Christian Elliss),-0.780,-0.950
1,13:32,3,6,LAC 12,0,0,Justin Herbert pass complete short left to Quentin Johnston for 7 yards (tackle by Alex Austin),-0.950,0.150
1,12:49,1,10,LAC 19,0,0,Justin Herbert pass incomplete short right intended for Quentin Johnston,0.150,-0.390
1,12:37,2,10,LAC 19,0,0,Kimani Vidal left tackle for 6 yards (tackle by Jeremiah Pharms),-0.390,-0.290
1,11:54,3,4,LAC 25,0,0,Justin Herbert pass incomplete deep right intended for Ladd McConkey,-0.290,-1.700
1,11:49,4,4,LAC 25,0,0,JK Scott punts 53 yards returned by Alex Erickson for 15 yards (tackle by Josh Harris and Hassan Haskins),-1.700,-1.400
1,11:37,1,10,NWE 37,0,0,Rhamondre Stevenson left tackle for 5 yards (tackle by Tony Jefferson),1.400,1.530
1,11:06,2,5,NWE 42,0,0,Drake Maye pass complete short right to Demario Douglas for 1 yard (tackle by Troy Dye),1.530,0.960
1,10:26,3,4,NWE 43,0,0,Drake Maye sacked by Tuli Tuipulotu for -2 yards,0.960,-0.650
1,9:40,,,,,,Timeout #1 by Los Angeles Chargers,,
1,9:40,4,6,NWE 41,0,0,Bryce Baringer punts 50 yards fair catch by Derius Davis at LAC-9,-0.650,0.380
1,9:33,1,10,LAC 9,0,0,Justin Herbert pass complete short middle to Tucker Fisk for 8 yards (tackle by Jahlani Tavai and Sione Takitaki),-0.380,-0.020
1,8:57,2,2,LAC 17,0,0,J.K. Dobbins up the middle for 5 yards (tackle by Davon Godchaux and Daniel Ekuale),-0.020,0.410
1,8:14,1,10,LAC 22,0,0,Justin Herbert pass incomplete short left intended for Josh Palmer. Penalty on Jonathan Jones: Defensive Holding 5 yards (accepted) (no play),0.410,0.740
1,8:09,1,10,LAC 27,0,0,J.K. Dobbins up the middle for 6 yards (tackle by Marte Mapu and Sione Takitaki),0.740,1.010
1,7:30,2,4,LAC 33,0,0,J.K. Dobbins left end for 2 yards (tackle by Anfernee Jennings and Jeremiah Pharms),1.010,0.560
1,6:47,3,2,LAC 35,0,0,Justin Herbert pass complete short left to Ladd McConkey for 6 yards (tackle by Jonathan Jones),0.560,1.660
1,6:10,1,10,LAC 41,0,0,Justin Herbert pass complete short right to Hassan Haskins for 10 yards (tackle by Jahlani Tavai),1.660,2.320
1,5:34,1,10,NWE 49,0,0,J.K. Dobbins left guard for 2 yards (tackle by Kyle Dugger and Jeremiah Pharms),2.320,2.050
1,5:05,2,8,NWE 47,0,0,Justin Herbert pass incomplete short left intended for DJ Chark,2.050,1.360
1,4:58,3,8,NWE 47,0,0,Justin Herbert pass complete short right to Ladd McConkey for 5 yards (tackle by Jonathan Jones and Kyle Dugger),1.360,0.460
1,4:12,4,3,NWE 42,0,0,Justin Herbert pass complete short middle to Quentin Johnston for 19 yards (tackle by Marte Mapu),0.460,4.040
1,3:27,1,10,NWE 23,6,0,Justin Herbert pass complete deep left to Derius Davis for 23 yards touchdown,4.040,7.000
1,3:21,,,NWE 15,7,0,Cameron Dicker kicks extra point good,0.000,0.000
1,3:21,,,LAC 35,7,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,3:21,1,10,NWE 30,7,0,Antonio Gibson right guard for 2 yards (tackle by Poona Ford),0.940,0.660
1,2:45,2,8,NWE 32,7,0,Antonio Gibson right guard for no gain (tackle by Joey Bosa),0.660,-0.030
1,2:11,3,8,NWE 32,7,0,Jacoby Brissett pass incomplete short left intended for Demario Douglas,-0.030,-1.240
1,2:09,4,8,NWE 32,7,0,Bryce Baringer punts 44 yards downed by Titus Leo,-1.240,-0.540
1,1:58,1,10,LAC 24,7,0,Justin Herbert pass complete short right to Derius Davis for 6 yards (tackle by Jonathan Jones),0.540,0.810
1,1:17,2,4,LAC 30,7,0,Justin Herbert pass complete short left to Quentin Johnston for 8 yards (tackle by Jaylinn Hawkins and Jeremiah Pharms),0.810,1.470
1,0:38,1,10,LAC 38,7,0,J.K. Dobbins right guard for 9 yards (tackle by Kyle Dugger),1.470,2.140
2,15:00,2,1,LAC 47,7,0,J.K. Dobbins left tackle for no gain (tackle by Kyle Dugger and Davon Godchaux),2.140,1.420
2,14:27,3,1,LAC 47,7,0,Justin Herbert up the middle for 1 yard (tackle by Sione Takitaki and Jeremiah Pharms),1.420,2.130
2,13:47,1,10,LAC 48,7,0,Justin Herbert pass complete deep left to Ladd McConkey for 19 yards (tackle by Christian Gonzalez),2.130,3.380
2,13:18,1,10,NWE 33,7,0,Kimani Vidal up the middle for 5 yards (tackle by Daniel Ekuale and Jahlani Tavai),3.380,3.510
2,12:35,2,5,NWE 28,7,0,Justin Herbert pass complete short right to Stone Smartt for 14 yards (tackle by Kyle Dugger),3.510,4.650
2,11:52,1,10,NWE 14,7,0,J.K. Dobbins up the middle for 2 yards (tackle by Yannick Ngakoue and Jahlani Tavai),4.650,4.330
2,11:06,2,8,NWE 12,7,0,Justin Herbert pass incomplete short right intended for Josh Palmer,4.330,3.430
2,10:59,3,8,NWE 12,7,0,Justin Herbert pass complete short left to Josh Palmer for 3 yards (tackle by Marte Mapu),3.430,2.880
2,10:18,4,5,NWE 9,10,0,Cameron Dicker 27 yard field goal good,2.880,3.000
2,10:15,,,LAC 35,10,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,9:55,1,10,NWE 30,10,0,Drake Maye scrambles right guard for 9 yards (tackle by Junior Colson). Penalty on Junior Colson: Unnecessary Roughness / Defense 15 yards (accepted),0.940,2.520
2,9:53,1,10,LAC 46,10,0,Rhamondre Stevenson right guard for -4 yards (tackle by Tuli Tuipulotu),2.520,1.440
2,9:31,2,14,LAC 50,10,0,Drake Maye pass complete short middle to Rhamondre Stevenson for no gain (tackle by Daiyan Henley). Penalty on Vederian Lowe: Illegal Use of Hands / Offense 10 yards (accepted) (no play),1.440,0.090
2,9:03,2,24,NWE 40,10,0,Drake Maye pass incomplete short right intended for Kayshon Boutte. Penalty on Kristian Fulton: Defensive Pass Interference 8 yards (accepted) (no play),0.090,2.130
2,9:03,1,10,NWE 48,10,0,Drake Maye pass complete short left to Kayshon Boutte for 7 yards (tackle by Tarheeb Still),2.130,2.530
2,8:37,2,3,LAC 45,10,0,Drake Maye aborted snap recovered by Derwin James at NE-44,2.530,-2.650
2,8:35,1,10,NWE 44,10,0,J.K. Dobbins left end for 3 yards (tackle by Jahlani Tavai),2.650,2.520
2,7:56,2,7,NWE 41,10,0,Justin Herbert pass complete short left to Will Dissly for 7 yards (tackle by Christian Elliss and Jahlani Tavai),2.520,3.310
