Quarter,Time,Down,ToGo,Location,MIA,CLE,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Dolphins to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,MIA 30,0,0,De'Von Achane left end for 9 yards (tackle by Juan Thornhill),0.940,1.610
1,14:36,2,1,MIA 39,0,0,De'Von Achane right end for 1 yard (tackle by Denzel Ward),1.610,1.600
1,13:57,1,10,MIA 40,0,0,De'Von Achane left end for 6 yards (tackle by Grant Delpit),1.600,1.860
1,13:15,2,4,MIA 46,0,0,Penalty on Alec Ingold: False Start 5 yards (accepted) (no play),1.860,1.190
1,13:01,2,9,MIA 41,0,0,Tyler Huntley pass complete short right to Tyreek Hill for 15 yards (tackle by Jordan Hicks and Mohamoud Diabate). Penalty on Isaiah Wynn: Unnecessary Roughness / Offense 15 yards (accepted),1.190,1.660
1,12:39,1,10,MIA 41,0,0,Tyler Huntley aborted snap recovered by Tyler Huntley at MIA-32 and returned for -9 yards (tackle by Myles Garrett),1.660,-0.100
1,11:59,2,19,MIA 32,0,0,Tyler Huntley pass complete short left to De'Von Achane for 1 yard (tackle by Grant Delpit). Penalty on Tyreek Hill: Offensive Holding 10 yards (declined),-0.100,-0.630
1,11:41,3,18,MIA 33,0,0,Tyler Huntley pass complete short middle to Raheem Mostert for 13 yards (tackle by Grant Delpit),-0.630,-0.320
1,10:58,4,5,MIA 46,0,0,Jake Bailey punts 35 yards fair catch by James Proche at CLE-19,-0.320,-0.150
1,10:49,1,10,CLE 19,0,0,Jerome Ford left tackle for no gain (tackle by Tyrel Dodson and Calais Campbell),0.150,-0.390
1,10:17,2,10,CLE 19,0,0,Dorian Thompson-Robinson pass complete short right to Jerry Jeudy for 4 yards (tackle by Tyrel Dodson),-0.390,-0.550
1,9:39,3,6,CLE 23,0,0,Dorian Thompson-Robinson pass incomplete deep left intended for Elijah Moore,-0.550,-1.830
1,9:34,4,6,CLE 23,0,0,Corey Bojorquez punts 43 yards returned by Malik Washington for 4 yards (tackle by Mike Ford),-1.830,-1.470
1,9:25,1,10,MIA 38,0,0,Tyler Huntley pass complete short left to Tyreek Hill for 10 yards,1.470,2.130
1,8:54,1,10,MIA 48,0,0,Tyler Huntley pass incomplete short middle intended for Jonnu Smith,2.130,1.580
1,8:52,2,10,MIA 48,0,0,Tyler Huntley pass complete short right to Jonnu Smith for 12 yards (tackle by Ronnie Hickman and Jordan Hicks),1.580,2.920
1,8:14,1,10,CLE 40,0,0,De'Von Achane left guard for -1 yards (tackle by Grant Delpit),2.920,2.240
1,7:39,2,11,CLE 41,0,0,De'Von Achane right end for 3 yards (tackle by Denzel Ward),2.240,1.950
1,7:04,3,8,CLE 38,0,0,Tyler Huntley pass complete deep right to De'Von Achane for no gain (tackle by Martin Emerson). Penalty on Aaron Brewer: Offensive Holding 10 yards (accepted) (no play),1.950,0.630
1,6:36,3,18,CLE 48,0,0,Tyler Huntley pass complete short middle to De'Von Achane for 12 yards (tackle by Cameron Mitchell and Jordan Hicks),0.630,0.880
1,5:50,4,6,CLE 36,3,0,Jason Sanders 54 yard field goal good,0.880,3.000
1,5:46,,,MIA 35,3,0,Jason Sanders kicks off 61 yards returned by Jerome Ford for 23 yards (tackle by Cameron Goode and Julian Hill),0.000,0.740
1,5:39,1,10,CLE 27,3,0,Dorian Thompson-Robinson pass complete short left to Jordan Akins for 2 yards (tackle by Jordyn Brooks),0.740,0.470
1,5:02,2,8,CLE 29,3,0,Dorian Thompson-Robinson pass complete short middle to Jordan Akins for 11 yards (tackle by Tyrel Dodson and Jevon Holland),0.470,1.600
1,4:15,1,10,CLE 40,3,0,Jerome Ford right end for -1 yards (tackle by Jordyn Brooks),1.600,0.920
1,3:35,2,11,CLE 39,3,0,Dorian Thompson-Robinson pass incomplete deep right intended for Michael Woods. Penalty on Storm Duck: Defensive Holding 5 yards (accepted) (no play),0.920,1.860
1,3:28,1,10,CLE 44,3,0,Jerome Ford left guard for 4 yards (tackle by Tyrel Dodson and Jalen Ramsey),1.860,1.860
1,2:51,2,6,CLE 48,3,0,Pierre Strong right end for 4 yards (tackle by Emmanuel Ogbah),1.860,1.690
1,2:12,3,2,MIA 48,3,0,Dorian Thompson-Robinson right end for 2 yards (tackle by Jordan Poyer),1.690,2.520
1,1:37,1,10,MIA 46,3,0,Dorian Thompson-Robinson pass incomplete deep left intended for Jerry Jeudy,2.520,1.980
1,1:31,2,10,MIA 46,3,0,Pierre Strong right tackle for 5 yards (tackle by Jordyn Brooks),1.980,1.950
1,1:09,3,5,MIA 41,3,0,Dorian Thompson-Robinson pass complete short left to Jerry Jeudy for 15 yards (tackle by Jevon Holland),1.950,3.840
1,0:33,1,10,MIA 26,3,0,Jerome Ford right guard for 19 yards (tackle by Storm Duck),3.840,5.600
2,15:00,1,7,MIA 7,3,0,Jerome Ford up the middle for -2 yards (tackle by Benito Jones),5.600,4.380
2,14:23,2,9,MIA 9,3,0,Dorian Thompson-Robinson pass incomplete short left intended for Michael Woods (defended by Storm Duck) Penalty on CLE: Illegal Formation 5 yards (declined),4.380,3.360
2,14:18,3,9,MIA 9,3,0,Jerome Ford left end for 2 yards (tackle by Tyrel Dodson and Emmanuel Ogbah),3.360,2.970
2,13:29,4,7,MIA 7,3,3,Dustin Hopkins 25 yard field goal good,2.970,3.000
2,13:26,,,CLE 35,3,3,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,13:26,1,10,MIA 30,3,3,Tyler Huntley pass complete deep right to Tyreek Hill for 25 yards (tackle by Denzel Ward),0.940,2.590
2,12:49,1,10,CLE 45,3,3,De'Von Achane right end for 3 yards (tackle by Rodney McLeod),2.590,2.450
2,12:10,2,7,CLE 42,3,3,De'Von Achane left tackle for -2 yards (tackle by Devin Bush and Jordan Hicks),2.450,1.490
2,11:35,3,9,CLE 44,3,3,Tyler Huntley pass incomplete short right,1.490,0.330
2,11:27,4,9,CLE 44,3,3,Jake Bailey punts 44 yards touchback.,0.330,-0.280
2,11:20,1,10,CLE 20,3,3,Dorian Thompson-Robinson pass incomplete short right intended for Jerry Jeudy,0.280,-0.270
2,11:16,2,10,CLE 20,3,3,Dorian Thompson-Robinson pass incomplete short right intended for Jerry Jeudy,-0.270,-0.960
2,11:14,3,10,CLE 20,3,3,Dorian Thompson-Robinson pass incomplete short right intended for Jamari Thrash,-0.960,-2.030
2,11:09,4,10,CLE 20,3,3,Corey Bojorquez punts 68 yards returned by Tyreek Hill for 18 yards (tackle by D'Anthony Bell),-2.030,-0.940
2,10:56,1,10,MIA 30,3,3,Tyler Huntley pass complete short left to Tyreek Hill for 14 yards (tackle by Grant Delpit),0.940,1.860
2,10:15,1,10,MIA 44,3,3,Malik Washington up the middle for -11 yards (tackle by Isaiah McGuire),1.860,-0.170
2,9:28,2,21,MIA 33,3,3,Tyler Huntley scrambles left end for 7 yards (tackle by Jordan Hicks and Grant Delpit),-0.170,0.100
2,8:46,3,14,MIA 40,3,3,De'Von Achane right end for 7 yards (tackle by Ronnie Hickman),0.100,-0.260
2,8:09,4,7,MIA 47,3,3,Jake Bailey punts 53 yards touchback.. Penalty on James Proche: Unnecessary Roughness / Defense 5 yards (accepted),-0.260,0.380
2,8:00,1,10,CLE 5,3,3,D'Onta Foreman left tackle for 5 yards (tackle by Zach Sieler and Tyrel Dodson),-0.380,-0.420
2,7:15,2,5,CLE 10,3,3,D'Onta Foreman up the middle for 4 yards (tackle by Benito Jones and Da'Shawn Hand),-0.420,-0.370
2,6:42,3,1,CLE 14,3,3,D'Onta Foreman left guard for 5 yards (tackle by Jordyn Brooks),-0.370,0.150
2,6:06,1,10,CLE 19,3,3,Jerome Ford right guard for no gain (tackle by Chop Robinson and Zach Sieler). Penalty on Wyatt Teller: Offensive Holding 9 yards (accepted) (no play),0.150,-0.720
2,5:52,1,19,CLE 10,3,3,Dorian Thompson-Robinson pass complete deep middle to Jerry Jeudy for 17 yards (tackle by Kader Kohou),-0.720,0.750
2,5:18,2,2,CLE 27,3,3,D'Onta Foreman up the middle for 6 yards (tackle by Tyrel Dodson and Jordan Poyer),0.750,1.140
2,4:41,1,10,CLE 33,3,3,Dorian Thompson-Robinson pass deep middle intended for Jerry Jeudy is intercepted by Tyrel Dodson at 50 and returned for no gain (tackle by Jerry Jeudy). Penalty on Tyrel Dodson: Unsportsmanlike Conduct / Defense 15 yards (accepted),1.140,-1.270
2,4:33,1,10,MIA 35,3,3,Tyler Huntley pass complete short right to Tyreek Hill for 5 yards (tackle by Denzel Ward),1.270,1.400
