Quarter,Time,Down,ToGo,Location,NYJ,BUF,Detail,EPB,EPA
,,,,,,,Bills won the coin toss Bills to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Thomas Morstead kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,BUF 30,0,0,Josh Allen pass incomplete short middle intended for Dawson Knox,0.940,0.390
1,14:54,2,10,BUF 30,0,0,James Cook right tackle for 5 yards (tackle by Quinnen Williams),0.390,0.370
1,14:19,3,5,BUF 35,0,0,Josh Allen pass complete short right to Khalil Shakir for 12 yards (tackle by Chuck Clark),0.370,2.060
1,13:46,1,10,BUF 47,0,0,Josh Allen pass complete short right to Ray Davis for no gain. Ray Davis fumbles (forced by Chazz Surratt). Ray Davis fumbles out of bounds. Penalty on Tony Adams: Illegal Contact 5 yards (accepted) (no play),2.060,2.390
1,13:11,1,10,NYJ 48,0,0,Ty Johnson left end for 8 yards (tackle by Jamien Sherwood). Penalty on Connor McGovern: Unnecessary Roughness / Offense 15 yards (accepted),2.390,0.900
1,12:49,2,17,BUF 45,0,0,Josh Allen pass incomplete deep right intended for Dawson Knox. Penalty on D.J. Reed: Illegal Use of Hands / Defense 5 yards (accepted) (no play),0.900,2.260
1,12:44,1,10,BUF 50,0,0,James Cook left end for 7 yards (tackle by Quincy Williams),2.260,2.660
1,12:05,2,3,NYJ 43,0,0,James Cook left tackle for no gain (tackle by Leonard Taylor),2.660,1.950
1,11:24,3,3,NYJ 43,0,0,Josh Allen pass complete deep right to Keon Coleman for no gain (tackle by Isaiah Oliver). Penalty on Spencer Brown: Offensive Holding 10 yards (accepted) (no play),1.950,0.630
1,10:57,3,13,BUF 47,0,0,Josh Allen pass complete deep middle to Mack Hollins for 23 yards (tackle by Chuck Clark and Michael Carter),0.630,3.580
1,10:14,1,10,NYJ 30,0,0,Ray Davis up the middle for 3 yards (tackle by Quincy Williams),3.580,3.440
1,9:31,2,7,NYJ 27,0,0,Josh Allen pass complete short middle to Mack Hollins for 10 yards (tackle by Isaiah Oliver),3.440,4.440
1,9:04,1,10,NYJ 17,0,0,Josh Allen pass complete short left to Dalton Kincaid for 11 yards (tackle by D.J. Reed and Chuck Clark),4.440,5.830
1,8:25,1,6,NYJ 6,0,0,Josh Allen pass incomplete short left intended for Keon Coleman (defended by Sauce Gardner),5.830,4.950
1,8:20,2,6,NYJ 6,0,0,Josh Allen pass incomplete short middle intended for Mack Hollins. Penalty on Sauce Gardner: Defensive Pass Interference 5 yards (accepted) (no play),4.950,6.970
1,8:14,1,1,NYJ 1,0,6,Josh Allen left guard for 1 yard touchdown,6.970,7.000
1,8:11,,,NYJ 15,0,7,Tyler Bass kicks extra point good,0.000,0.000
1,8:11,,,BUF 35,0,7,Tyler Bass kicks off 66 yards returned by Isaiah Davis for 29 yards (tackle by Cameron Lewis and Reggie Gilliam),0.000,0.810
1,8:05,1,10,NYJ 28,0,7,Breece Hall right end for 10 yards (tackle by Taron Johnson),0.810,1.470
1,7:24,1,10,NYJ 38,0,7,Breece Hall left guard for 3 yards (tackle by A.J. Epenesa),1.470,1.330
1,6:44,2,7,NYJ 41,0,7,Aaron Rodgers pass incomplete short right intended for Tyler Conklin. Penalty on Rasul Douglas: Illegal Contact 5 yards (accepted) (no play),1.330,1.990
1,6:39,1,10,NYJ 46,0,7,Aaron Rodgers pass complete short right to Tyler Conklin for 5 yards (tackle by Taron Johnson),1.990,2.130
