Quarter,Time,Down,ToGo,Location,SEA,CHI,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred Seahawks to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 65 yards touchback.,0.000,0.280
1,15:00,1,10,SEA 20,0,0,Geno Smith pass complete short left to Tyler Lockett for 3 yards (tackle by Jonathan Owens),0.280,0.140
1,14:22,2,7,SEA 23,0,0,Zach Charbonnet left end for 6 yards (tackle by Montez Sweat and Kyler Gordon),0.140,0.230
1,13:42,3,1,SEA 29,0,0,Zach Charbonnet left tackle for 2 yards (tackle by Tyrique Stevenson),0.230,1.000
1,12:59,1,10,SEA 31,0,0,Zach Charbonnet left guard for 11 yards (tackle by Kevin Byard),1.000,1.730
1,12:26,1,10,SEA 42,0,0,Geno Smith pass complete short left to Noah Fant for 15 yards (tackle by Byron Cowart and Tyrique Stevenson),1.730,2.720
1,11:45,1,10,CHI 43,0,0,Kenny McIntosh right guard for 2 yards (tackle by Darrell Taylor),2.720,2.450
1,11:00,2,8,CHI 41,0,0,Kenny McIntosh left guard for 25 yards (tackle by Kevin Byard),2.450,4.510
1,10:34,1,10,CHI 16,0,0,Kenny McIntosh left guard for 2 yards (tackle by Tremaine Edmunds),4.510,4.210
1,9:48,2,8,CHI 14,0,0,Zach Charbonnet right guard for 5 yards (tackle by Tremaine Edmunds and T.J. Edwards),4.210,4.390
1,9:07,3,3,CHI 9,0,0,Geno Smith pass incomplete short middle intended for Tyler Lockett (defended by Tremaine Edmunds),4.390,2.930
1,9:03,4,3,CHI 9,3,0,Jason Myers 27 yard field goal good,2.930,3.000
1,8:59,,,SEA 35,3,0,Jason Myers kicks off 65 yards touchback.,0.000,0.940
1,8:59,1,10,CHI 30,3,0,D'Andre Swift right end for 2 yards (tackle by Byron Murphy),0.940,0.660
1,8:24,2,8,CHI 32,3,0,Roschon Johnson left guard for 3 yards (tackle by Boye Mafe),0.660,0.370
1,7:50,3,5,CHI 35,3,0,Caleb Williams pass incomplete short middle intended for Rome Odunze,0.370,-1.040
1,7:46,4,5,CHI 35,3,0,Tory Taylor punts 48 yards returned by Jaelon Darden for no gain (tackle by Josh Blackwell),-1.040,0.060
