Quarter,Time,Down,ToGo,Location,TEN,JAX,Detail,EPB,EPA
,,,,,,,Titans won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Matthew Wright kicks off 63 yards returned by Devin Duvernay for 30 yards (tackle by David Martin-Robinson),0.000,1.070
1,14:54,1,10,JAX 32,0,0,Mac Jones pass complete short right to Brian Thomas for 11 yards (tackle by Roger McCreary),1.070,1.800
1,14:24,1,10,JAX 43,0,0,Travis Etienne up the middle for 1 yard (tackle by T'Vondre Sweat and Arden Key),1.800,1.390
1,14:05,2,9,JAX 44,0,0,Mac Jones scrambles left end for 7 yards (tackle by Jerome Baker and Jarvis Brownlee),1.390,1.620
1,13:21,3,2,TEN 49,0,0,Tank Bigsby right guard for 4 yards (tackle by Daryl Worley),1.620,2.590
1,12:37,1,10,TEN 45,0,0,Mac Jones pass complete short middle to Tim Jones for 11 yards (tackle by Daryl Worley),2.590,3.310
1,12:05,1,10,TEN 34,0,0,Travis Etienne right tackle for 2 yards (tackle by Arden Key and Daryl Worley),3.310,3.040
1,11:40,2,8,TEN 32,0,0,Travis Etienne up the middle for 2 yards (tackle by Arden Key),3.040,2.610
1,11:04,3,6,TEN 30,0,0,Mac Jones pass incomplete short middle intended for Brenton Strange (defended by Luke Gifford),2.610,1.430
1,10:50,4,6,TEN 30,0,3,Cam Little 48 yard field goal good,1.430,3.000
1,10:46,,,JAX 35,0,3,Cam Little kicks off 65 yards touchback.,0.000,0.940
1,10:46,1,10,TEN 30,0,3,Mason Rudolph pass incomplete short middle intended for Chigoziem Okonkwo. Penalty on Chad Muma: Defensive Pass Interference 6 yards (accepted) (no play),0.940,1.330
1,10:41,1,10,TEN 36,0,3,Tyjae Spears right end for 23 yards (tackle by Andre Cisco),1.330,2.850
1,9:59,1,10,JAX 41,0,3,Tyjae Spears up the middle for -3 yards (tackle by Andre Cisco),2.850,1.900
1,9:21,2,13,JAX 44,0,3,Mason Rudolph pass complete short middle to Tyjae Spears for 1 yard (tackle by Devin Lloyd),1.900,1.350
1,8:42,3,12,JAX 43,0,3,Mason Rudolph pass complete short right to Tyjae Spears for 1 yard (tackle by Jarrian Jones),1.350,0.460
1,7:53,4,11,JAX 42,0,3,Ryan Stonehouse punts 38 yards downed by Justin Hardee,0.460,0.380
1,7:42,1,10,JAX 4,0,3,Travis Etienne left guard for no gain (tackle by T'Vondre Sweat),-0.380,-0.780
1,7:05,2,10,JAX 4,0,3,Travis Etienne right tackle for 15 yards (tackle by Daryl Worley and Mike Brown),-0.780,0.150
1,6:14,1,10,JAX 19,0,3,Mac Jones pass incomplete short left. Penalty on Mac Jones: Intentional Grounding 13 yards (accepted),0.150,-1.730
1,6:14,2,23,JAX 6,0,3,Mac Jones pass complete short right to Travis Etienne for 26 yards (tackle by Mike Brown),-1.730,1.070
1,5:42,1,10,JAX 32,0,3,Travis Etienne left end for no gain (tackle by Harold Landry and T'Vondre Sweat),1.070,0.530
1,5:06,2,10,JAX 32,0,3,Mac Jones pass complete short right to D'Ernest Johnson for 3 yards (tackle by Luke Gifford),0.530,0.230
1,4:27,3,7,JAX 35,0,3,Mac Jones scrambles up the middle for 9 yards (tackle by Jerome Baker and Luke Gifford),0.230,1.860
1,3:51,1,10,JAX 44,0,3,Tank Bigsby right guard for no gain (tackle by Harold Landry),1.860,1.320
1,3:18,2,10,JAX 44,0,3,Tank Bigsby up the middle for 2 yards (tackle by Luke Gifford),1.320,0.890
1,2:48,3,8,JAX 46,0,3,Mac Jones sacked by James Lynch for -1 yards,0.890,-0.390
1,2:12,4,9,JAX 45,0,3,Logan Cooke punts 48 yards out of bounds,-0.390,0.380
1,2:07,1,10,TEN 7,0,3,Tyjae Spears right tackle for 6 yards (tackle by Jeremiah Ledbetter and Foyesade Oluokun),-0.380,-0.340
1,1:29,2,4,TEN 13,0,3,Tyjae Spears right tackle for no gain (tackle by Foyesade Oluokun and Devin Lloyd),-0.340,-0.720
1,0:51,3,4,TEN 13,0,3,Mason Rudolph scrambles left end for 6 yards (tackle by Montaric Brown),-0.720,0.150
2,15:00,1,10,TEN 19,0,3,Mason Rudolph scrambles right end for 4 yards (tackle by Tyson Campbell),0.150,0.210
2,14:31,2,6,TEN 23,0,3,Mason Rudolph pass complete short left to Tyler Boyd for 7 yards (tackle by Tyson Campbell),0.210,0.940
2,13:57,1,10,TEN 30,0,3,Tyjae Spears left tackle for 11 yards (tackle by Andrew Wingard),0.940,1.660
2,13:12,1,10,TEN 41,0,3,Tyjae Spears right guard for 11 yards (tackle by Andrew Wingard and Jarrian Jones),1.660,2.390
2,12:28,1,10,JAX 48,0,3,Tyjae Spears left guard for no gain (tackle by Foyesade Oluokun). Penalty on Nick Vannett: Offensive Holding 10 yards (accepted) (no play),2.390,1.730
2,11:59,1,20,TEN 42,0,3,Mason Rudolph pass incomplete short left intended for Tyler Boyd,1.730,0.500
2,11:52,2,20,TEN 42,0,3,Mason Rudolph pass short middle (defended by Jordan Jefferson) intended for Julius Chestnut is intercepted by Devin Lloyd at TEN-46 and returned for 3 yards (tackle by Julius Chestnut),0.500,-2.720
2,11:44,1,10,TEN 43,0,3,Mac Jones pass complete short middle to Brian Thomas for 17 yards (tackle by Daryl Worley),2.720,3.840
2,11:16,1,10,TEN 26,0,3,Travis Etienne right guard for 5 yards (tackle by Jeffery Simmons and Luke Gifford),3.840,3.970
2,10:31,,,,,,Timeout #1 by Jacksonville Jaguars,,
2,10:31,2,5,TEN 21,0,3,Brian Thomas right end for 18 yards (tackle by Luke Gifford and Jarvis Brownlee),3.970,6.510
2,9:49,1,3,TEN 3,0,3,Travis Etienne left tackle for 1 yard (tackle by Luke Gifford),6.510,5.720
2,9:06,2,2,TEN 2,0,9,Mac Jones pass complete short middle to Parker Washington for 2 yards touchdown,5.720,7.000
2,8:59,,,TEN 15,0,10,Cam Little kicks extra point good,0.000,0.000
2,8:59,,,JAX 35,0,10,Cam Little kicks off 65 yards returned by Julius Chestnut for 21 yards (tackle by Caleb Johnson and Joe Giles-Harris),0.000,0.340
2,8:52,1,10,TEN 21,0,10,Chigoziem Okonkwo left end for 17 yards (tackle by Andre Cisco),0.340,1.470
2,8:14,1,10,TEN 38,0,10,Mason Rudolph pass incomplete short left intended for Nick Westbrook-Ikhine,1.470,0.920
2,8:06,2,10,TEN 38,0,10,Penalty on Corey Levin: False Start 5 yards (accepted) (no play),0.920,0.250
2,8:06,2,15,TEN 33,0,10,Tyjae Spears left guard for 6 yards (tackle by DaVon Hamilton and Foyesade Oluokun),0.250,0.370
2,7:30,3,9,TEN 39,0,10,Mason Rudolph pass incomplete short right intended for Chigoziem Okonkwo,0.370,-0.780
2,7:27,4,9,TEN 39,0,10,Ryan Stonehouse punts 61 yards touchback.,-0.780,-0.280
2,7:18,1,10,JAX 20,0,10,Tank Bigsby left guard for 2 yards (tackle by Arden Key and Mike Brown),0.280,0.000
2,6:41,2,8,JAX 22,0,10,Mac Jones pass complete short right to Brian Thomas for 6 yards (tackle by Mike Brown),0.000,0.100
2,6:01,3,2,JAX 28,0,10,Mac Jones pass complete short left to Devin Duvernay for 4 yards (tackle by Roger McCreary),0.100,1.070
2,5:30,1,10,JAX 32,0,10,Tank Bigsby up the middle for -1 yards (tackle by Roger McCreary),1.070,0.390
2,4:52,2,11,JAX 31,0,10,Mac Jones pass complete deep right to Brian Thomas for 31 yards (tackle by Jarvis Brownlee),0.390,3.050
