Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,Player-additional
Christian Benford,BUF,1,10,7,70.0%,39,5.6,3.9,0,37.1,9.7,-4,43,0,0,0,0.0,0,7,0,0.0%,BenfCh00
Dorian Williams,BUF,0,7,6,85.7%,74,12.3,10.6,0,110.7,4.6,32,42,1,0,0,0.0,0,10,0,0.0%,WillDo04
Cameron Lewis,BUF,0,7,5,71.4%,41,8.2,5.9,1,125.6,3.1,6,35,1,0,0,0.0,0,4,1,20.0%,LewiCa00
Baylon Spector,BUF,0,2,2,100.0%,12,6.0,6.0,0,91.7,1.5,3,9,0,0,0,0.0,0,10,0,0.0%,SpecBa00
Rasul Douglas,BUF,0,5,2,40.0%,32,16.0,6.4,0,62.1,9.2,15,17,0,0,0,0.0,0,6,0,0.0%,DougRa00
Damar Hamlin,BUF,0,5,2,40.0%,28,14.0,5.6,0,58.7,12.8,23,5,0,0,0,0.0,0,10,0,0.0%,HamlDa00
Terrel Bernard,BUF,0,2,1,50.0%,23,23.0,11.5,0,91.7,7.5,15,8,0,0,0,0.0,0,2,0,0.0%,BernTe00
Cole Bishop,BUF,0,3,1,33.3%,13,13.0,4.3,0,47.9,11.7,13,0,0,0,0,0.0,0,1,0,0.0%,BishCo00
Von Miller,BUF,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,MillVo00
Ed Oliver,BUF,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,OlivEd00
Kingsley Jonathan,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,JonaKi00
Austin Johnson,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,JohnAu01
A.J. Epenesa,BUF,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,EpenAJ00
Ja'Marcus Ingram,BUF,2,3,0,0.0%,,,0.0,,0.0,10.0,,,0,0,0,0.0,0,0,0,,IngrJa00
Mike Edwards,BUF,0,1,0,0.0%,,,0.0,,39.6,19.0,,,0,0,0,0.0,0,0,0,,EdwaMi01
Taylor Rapp,BUF,0,0,0,,,,,,,,,,0,0,0,0.0,0,5,1,16.7%,RappTa00
David Long,MIA,0,6,5,83.3%,50,10.0,8.3,1,141.0,2.2,13,37,1,1,0,0.0,1,11,0,0.0%,LongDa04
Jordan Poyer,MIA,0,2,2,100.0%,29,14.5,14.5,0,118.7,7.5,15,14,1,0,0,0.0,0,4,1,20.0%,PoyeJo00
Jalen Ramsey,MIA,0,2,2,100.0%,40,20.0,20.0,0,118.7,15.0,30,10,0,0,0,0.0,0,3,2,40.0%,RamsJa00
Jordyn Brooks,MIA,0,4,1,25.0%,9,9.0,2.3,0,39.6,14.0,-2,11,2,1,0,0.0,1,6,0,0.0%,BrooJo01
Kader Kohou,MIA,0,2,1,50.0%,12,12.0,6.0,0,68.7,0.0,6,6,1,0,0,0.0,0,2,0,0.0%,KohoKa00
Jaelan Phillips,MIA,0,1,1,100.0%,9,9.0,9.0,0,104.2,-1.0,-1,10,0,0,0,0.0,0,0,1,100.0%,PhilJa02
Chop Robinson,MIA,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-9.0,-9,8,0,0,0,0.0,0,2,0,0.0%,RobiCh00
Kendall Fuller,MIA,0,2,0,0.0%,,,0.0,,39.6,25.0,,,0,0,0,0.0,0,4,0,0.0%,FullKe00
Jevon Holland,MIA,0,2,0,0.0%,9,,4.5,0,45.8,5.5,-2,11,0,0,0,0.0,0,4,0,0.0%,HollJe02
