,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Ja'Marcus Ingram,BUF,2,56,1,31,2,0.0,0,0,0,0,0,0,0,0,0,IngrJa00
Christian Benford,BUF,1,6,0,6,1,0.0,7,6,1,0,0,0,0,0,0,BenfCh00
Ed Oliver,BUF,0,0,0,0,0,1.0,3,3,0,2,1,0,0,0,0,OlivEd00
Von Miller,BUF,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0,MillVo00
Damar Hamlin,BUF,0,0,0,0,0,0.0,10,8,2,1,0,0,0,0,0,HamlDa00
Baylon Spector,BUF,0,0,0,0,0,0.0,10,7,3,1,0,0,0,0,0,SpecBa00
Dorian Williams,BUF,0,0,0,0,0,0.0,10,5,5,1,0,0,0,0,0,WillDo04
Rasul Douglas,BUF,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0,DougRa00
Taylor Rapp,BUF,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0,RappTa00
Cameron Lewis,BUF,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,LewiCa00
Gregory Rousseau,BUF,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0,RousGr00
A.J. Epenesa,BUF,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0,EpenAJ00
Terrel Bernard,BUF,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,BernTe00
Austin Johnson,BUF,0,0,0,0,0,0.0,2,2,0,0,1,0,0,0,0,JohnAu01
Casey Toohill,BUF,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,ToohCa00
Cole Bishop,BUF,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,BishCo00
DaQuan Jones,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,JoneDa04
Josh Allen,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,AlleJo02
Kingsley Jonathan,BUF,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,JonaKi00
David Long,MIA,0,0,0,0,0,0.0,11,9,2,2,0,0,0,0,0,LongDa04
Jordyn Brooks,MIA,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0,BrooJo01
Kendall Fuller,MIA,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0,FullKe00
Jevon Holland,MIA,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,HollJe02
Jordan Poyer,MIA,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,PoyeJo00
Jalen Ramsey,MIA,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,RamsJa00
Quinton Bell,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,BellQu00
Kader Kohou,MIA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,KohoKa00
Marcus Maye,MIA,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,MayeMa00
Chop Robinson,MIA,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,RobiCh00
Zach Sieler,MIA,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,SielZa00
Elijah Campbell,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,CampEl00
Calais Campbell,MIA,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,CampCa99
Da'Shawn Hand,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HandDa00
Emmanuel Ogbah,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,OgbaEm00
