,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Elijah Molden,LAC,1,3,0,3,1,0.0,7,4,3,0,0,0,0,0,0,MoldEl00
Denzel Perryman,LAC,0,0,0,0,0,1.0,8,5,3,1,1,0,0,0,0,PerrDe00
Joey Bosa,LAC,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0,BosaJo00
Daiyan Henley,LAC,0,0,0,0,0,0.0,9,6,3,1,0,0,0,0,0,HenlDa00
Derwin James,LAC,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,JameDe00
Ja'Sir Taylor,LAC,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,TaylJa04
Deane Leonard,LAC,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0,LeonDe00
Bud Dupree,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,DuprAl00
Poona Ford,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,FordPo00
Khalil Mack,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,MackKh00
Otito Ogbonnia,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,OgboOt00
Teair Tart,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,TartTe00
Junior Colson,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,ColsJu00
AJ Finley,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,FinlAJ00
Kristian Fulton,LAC,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,FultKr00
Cam Hart,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HartCa00
Shaquille Quarterman,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,QuarSh00
Asante Samuel Jr.,LAC,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,SamuAs00
Tuli Tuipulotu,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,TuipTu00
Scott Matlock,LAC,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,MatlSc00
Jaycee Horn,CAR,1,0,0,0,2,0.0,6,4,2,0,0,0,0,0,0,HornJa00
DJ Johnson,CAR,0,0,0,0,0,0.5,4,1,3,0,1,0,0,0,0,JohnDJ00
Jayden Peevy,CAR,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,1,PeevJa00
Shaq Thompson,CAR,0,0,0,0,0,0.0,14,8,6,0,0,0,0,0,0,ThomSh01
Josey Jewell,CAR,0,0,0,0,0,0.0,11,8,3,0,0,1,0,0,0,JeweJo00
Jadeveon Clowney,CAR,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,ClowJa00
Jordan Fuller,CAR,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0,FullJo01
A'Shawn Robinson,CAR,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0,RobiAS00
Xavier Woods,CAR,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0,WoodXa00
Troy Hill,CAR,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0,HillTr01
Nick Thurman,CAR,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,ThurNi00
Michael Jackson,CAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,JackMi01
Shy Tuttle,CAR,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0,TuttSh00
LaBryan Ray,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,RayxLa02
Feleipe Franks,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,FranFe00
David Moore,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,MoorDa03
