,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Kobie Turner,LAR,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0,TurnKo00
Quentin Lake,LAR,0,0,0,0,0,0.0,11,6,5,0,0,0,0,0,0,LakeQu00
Kamren Curl,LAR,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0,CurlKa00
Troy Reeder,LAR,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0,ReedTr01
Jared Verse,LAR,0,0,0,0,0,0.0,7,6,1,3,0,0,0,0,1,VersJa00
Michael Hoecht,LAR,0,0,0,0,0,0.0,5,1,4,1,0,0,0,0,0,HoecMi00
Christian Rozeboom,LAR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,RozeCh00
Bobby Brown,LAR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,BrowBo04
Braden Fiske,LAR,0,0,0,0,0,0.0,3,1,2,0,0,1,8,0,0,FiskBr00
Desjuan Johnson,LAR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,JohnDe08
Tre'Davious White,LAR,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,WhitTr01
Cobie Durant,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,DuraDe01
John Johnson,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,JohnJo10
Kamren Kinchens,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,KincKa00
Byron Young,LAR,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0,YounBy01
Neville Gallimore,LAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,GallNe00
Jake Hummel,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,HummJa00
Hunter Long,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,LongHu00
Jaylen McCollough,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,McCoJa02
Charles Woods,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,WoodCh01
Dennis Gardeck,ARI,0,0,0,0,0,3.0,6,6,0,4,3,0,0,0,1,GardDe01
Krys Barnes,ARI,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0,BarnKr00
Zaven Collins,ARI,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0,CollZa00
Budda Baker,ARI,0,0,0,0,1,0.0,8,8,0,2,0,0,0,0,0,BakeBu00
Kyzir White,ARI,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0,WhitKy00
Jalen Thompson,ARI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,ThomJa04
Starling Thomas,ARI,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,ThomSt01
Mack Wilson,ARI,0,0,0,0,0,0.0,4,0,4,0,0,0,0,0,0,WilsMa03
Owen Pappoe,ARI,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,PappOw00
Victor Dimukeje,ARI,0,0,0,0,0,0.0,2,1,1,1,1,0,0,0,0,DimuVi00
Roy Lopez,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,LopeRo00
Max Melton,ARI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,MeltMa00
Sean Murphy-Bunting,ARI,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0,BuntSe00
Julian Okwara,ARI,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,OkwaJu00
Kei'Trel Clark,ARI,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,ClarKe02
DeeJay Dallas,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,DallDe00
Justin Jones,ARI,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0,JoneJu03
Bilal Nichols,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,NichBi00
Xavier Thomas,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,ThomXa01
Garrett Williams,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,WillGa00
L.J. Collier,ARI,0,0,0,0,1,0.0,0,0,0,0,2,1,0,0,0,CollLJ00
Trey McBride,ARI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,1,0,McBrTr01
