,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,-additional
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF,-9999
Paulson Adebo,NOR,1,47,0,47,2,0.0,5,4,1,0,0,0,0,0,0,AdebPa00
Tyrann Mathieu,NOR,1,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0,MathTy00
Carl Granderson,NOR,0,0,0,0,0,1.5,5,1,4,1,2,0,0,0,0,GranCa01
Bryan Bresee,NOR,0,0,0,0,0,1.0,2,2,0,1,0,0,0,0,1,BresBr00
Chase Young,NOR,0,0,0,0,0,0.5,4,2,2,0,1,0,0,0,0,YounCh04
Alontae Taylor,NOR,0,0,0,0,0,0.0,9,7,2,1,0,0,0,0,0,TaylAl01
Demario Davis,NOR,0,0,0,0,1,0.0,8,3,5,0,0,0,0,0,0,DaviDe00
Pete Werner,NOR,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0,WernPe00
Kool-Aid McKinstry,NOR,0,0,0,0,1,0.0,5,4,1,1,0,0,0,0,0,McKiKo00
Will Harris,NOR,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0,HarrWi02
Ugo Amadi,NOR,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,AmadUg00
Nathan Shepherd,NOR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,ShepNa00
Isaiah Foskey,NOR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,FoskIs00
Willie Gay Jr.,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,GayJWi00
Jordan Howden,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,HowdJo00
J.T. Gray,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,GrayJ.00
Cameron Jordan,NOR,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,JordCa00
Anfernee Orji,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,OrjiAn00
Isaiah Stalbird,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,StalIs00
Cedrick Wilson Jr.,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,WilsCe01
Donovan Wilson,DAL,1,0,0,0,1,0.0,6,2,4,0,0,0,0,0,0,WilsDo01
Chauncey Golston,DAL,0,0,0,0,0,1.0,4,2,2,1,0,0,0,0,0,GolsCh00
Eric Kendricks,DAL,0,0,0,0,0,0.0,8,3,5,0,0,0,0,0,0,KendEr00
Damone Clark,DAL,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0,ClarDa02
Trevon Diggs,DAL,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,DiggTr00
Caelen Carson,DAL,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,CarsCa01
DeMarvion Overshown,DAL,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0,OverDe00
Marist Liufau,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,LiufMa00
Micah Parsons,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,ParsMi00
Malik Hooker,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,HookMa00
Linval Joseph,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,JoseLi99
DeMarcus Lawrence,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,LawrDe00
Jourdan Lewis,DAL,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0,LewiJo01
Osa Odighizuwa,DAL,0,0,0,0,1,0.0,2,1,1,1,1,0,0,0,0,OdigOs00
Tyrus Wheat,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,WheaTy02
Jalen Tolbert,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,TolbJa00
