,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Josh Allen,BUF,13,19,139,1,0,0,0,33,107.1,2,2,0,3,0,0,0,0,0,1,0,AlleJo02
James Cook,BUF,0,0,0,0,0,0,0,0,,11,78,2,49,1,1,17,1,17,0,0,CookJa01
Ray Davis,BUF,0,0,0,0,0,0,0,0,,9,29,0,10,1,1,-1,0,-1,0,0,DaviRa04
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,1,2,0,2,5,5,54,0,21,0,0,ShakKh00
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,33,0,9,0,0,KincDa00
Curtis Samuel,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,3,0,3,0,0,SamuCu00
Marquez Valdes-Scantling,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,ValdMa00
Keon Coleman,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,ColeKe02
Mack Hollins,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,HollMa00
Ty Johnson,BUF,0,0,0,0,0,0,0,0,,1,-1,0,-1,2,1,33,0,33,0,0,JohnTy02
Mitchell Trubisky,BUF,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0,TrubMi00
Tua Tagovailoa,MIA,17,25,145,1,3,1,6,21,56.7,2,17,0,11,0,0,0,0,0,0,0,TagoTu00
Skylar Thompson,MIA,8,14,80,0,0,1,7,16,73.5,1,4,0,4,0,0,0,0,0,0,0,ThomSk00
De'Von Achane,MIA,0,0,0,0,0,0,0,0,,22,96,0,17,7,7,69,1,16,0,0,AchaDe00
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,1,12,0,12,6,3,24,0,10,0,0,HillTy00
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,1,4,0,4,4,4,41,0,21,0,0,WaddJa00
Jaylen Wright,MIA,0,0,0,0,0,0,0,0,,5,4,0,8,0,0,0,0,0,0,0,WrigJa04
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,2,2,0,3,0,0,0,0,0,0,0,IngoAl01
Jonnu Smith,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,53,0,15,0,0,SmitJo01
Grant Dubose,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,13,0,13,0,0,DuboGr00
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,6,0,0,WilsJe01
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0,SmytDu00
Robbie Chosen,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,5,0,5,0,0,AndeRo04
Julian Hill,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,HillJu02
Braxton Berrios,MIA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,BerrBr00
