,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,-additional
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,-9999
Justin Herbert,LAC,14,20,130,2,1,1,0,29,100.0,6,18,0,13,0,0,0,0,0,1,1,HerbJu00
J.K. Dobbins,LAC,0,0,0,0,0,0,0,0,,17,131,1,43,1,1,0,0,0,0,0,DobbJK00
Gus Edwards,LAC,0,0,0,0,0,0,0,0,,18,59,0,6,0,0,0,0,0,0,0,EdwaGu00
Hassan Haskins,LAC,0,0,0,0,0,0,0,0,,3,11,0,5,0,0,0,0,0,0,0,HaskHa00
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,51,2,29,0,0,JohnQu02
Will Dissly,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,29,0,15,0,0,DissWi00
Ladd McConkey,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,26,0,15,0,0,McCoLa00
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,11,0,0,PalmJo00
Hayden Hurst,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0,HursHa00
Eric Tomlinson,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,TomlEr01
Bryce Young,CAR,18,26,84,0,1,2,15,12,57.2,1,6,0,6,0,0,0,0,0,0,0,YounBr01
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,10,64,0,23,5,4,12,0,5,0,0,HubbCh01
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,7,20,0,6,3,3,5,0,5,0,0,SandMi01
Tommy Tremble,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,23,0,12,0,0,TremTo00
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,0,10,0,0,ThieAd00
Diontae Johnson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,15,0,7,0,0,JohnDi01
Ja'Tavion Sanders,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,6,0,0,SandJa01
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0,MingJo00
David Moore,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,MoorDa03
