Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
,,,,,,,Bills won the coin toss and deferred Dolphins to receive the opening kickoff.,,
1,15:00,,,BUF 35,0,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,MIA 30,0,0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 3 yards (tackle by Rasul Douglas),0.940,0.800
1,14:26,2,7,MIA 33,0,0,De'Von Achane right guard for 6 yards (tackle by Terrel Bernard and Rasul Douglas),0.800,0.890
1,13:49,3,1,MIA 39,0,0,Alec Ingold right guard for 3 yards (tackle by Ed Oliver),0.890,1.730
1,13:12,1,10,MIA 42,0,0,De'Von Achane right end for -3 yards (tackle by Rasul Douglas),1.730,0.780
1,12:32,2,13,MIA 39,0,0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,0.780,0.100
1,12:26,3,13,MIA 39,0,0,Tua Tagovailoa pass deep left intended for Grant Dubose is intercepted by Ja'Marcus Ingram at BUF-38 and returned for 25 yards (tackle by Braxton Berrios and Jonnu Smith),0.100,-3.120
1,12:16,1,10,MIA 37,0,0,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Jevon Holland and Jordyn Brooks),3.120,3.790
1,11:46,2,1,MIA 28,0,0,James Cook up the middle for 4 yards (tackle by Kendall Fuller),3.790,3.970
1,11:17,1,10,MIA 24,0,0,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Jordan Poyer),3.970,4.650
1,10:43,2,2,MIA 16,0,0,Josh Allen pass incomplete deep right,4.650,3.950
1,10:37,3,2,MIA 16,0,0,Ty Johnson up the middle for -1 yards (tackle by David Long and Zach Sieler),3.950,2.410
1,9:55,,,,,,Timeout #1 by Buffalo Bills,,
1,9:55,4,3,MIA 17,6,0,Josh Allen pass complete short left to James Cook for 17 yards touchdown,2.410,7.000
1,9:49,,,MIA 15,7,0,Tyler Bass kicks extra point good,0.000,0.000
1,9:49,,,BUF 35,7,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,9:49,1,10,MIA 30,7,0,Tua Tagovailoa pass complete short left to Jonnu Smith for 15 yards (tackle by Damar Hamlin),0.940,1.930
1,9:09,1,10,MIA 45,7,0,Jaylen Waddle right end for 4 yards (tackle by Taylor Rapp),1.930,1.920
1,8:34,2,6,MIA 49,7,0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 10 yards (tackle by Christian Benford),1.920,2.850
1,7:56,1,10,BUF 41,7,0,Penalty on Julian Hill: False Start 5 yards (accepted) (no play),2.850,2.520
1,7:43,1,15,BUF 46,7,0,De'Von Achane right end for 14 yards (tackle by Damar Hamlin),2.520,3.520
1,7:02,2,1,BUF 32,7,0,De'Von Achane up the middle for 8 yards (tackle by Christian Benford),3.520,3.970
1,6:23,1,10,BUF 24,7,0,De'Von Achane left end for no gain (tackle by A.J. Epenesa),3.970,3.430
1,5:46,2,10,BUF 24,7,0,Tua Tagovailoa pass complete short left to Jeff Wilson for 6 yards (tackle by Terrel Bernard),3.430,3.570
1,5:03,3,4,BUF 18,7,0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 17 yards (tackle by Damar Hamlin),3.570,6.970
1,4:18,1,1,BUF 1,7,0,Penalty on Liam Eichenberg: False Start 5 yards (accepted) (no play),6.970,5.830
1,4:05,1,6,BUF 6,7,0,De'Von Achane up the middle for 1 yard (tackle by A.J. Epenesa),5.830,5.150
1,3:28,2,5,BUF 5,7,6,Tua Tagovailoa pass complete short right to De'Von Achane for 5 yards touchdown,5.150,7.000
1,3:21,,,BUF 15,7,7,Jason Sanders kicks extra point good,0.000,0.000
1,3:21,,,MIA 35,7,7,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
