Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred Texans to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 66 yards returned by Robert Woods for 30 yards (tackle by Austin Booker),0.000,0.870
1,14:54,1,10,HOU 29,0,0,C.J. Stroud pass incomplete deep right intended for Nico Collins (defended by Jack Sanborn),0.870,0.330
1,14:48,2,10,HOU 29,0,0,C.J. Stroud pass complete short left to Brevin Jordan for 4 yards (tackle by Jaquan Brisker),0.330,0.170
1,14:05,3,6,HOU 33,0,0,C.J. Stroud pass complete short middle to Joe Mixon for 8 yards (tackle by T.J. Edwards),0.170,1.660
1,13:27,1,10,HOU 41,0,0,Joe Mixon left end for 16 yards (tackle by Kevin Byard),1.660,2.720
1,12:41,1,10,CHI 43,0,0,Cam Akers right tackle for no gain (tackle by Tremaine Edmunds),2.720,2.180
1,11:56,2,10,CHI 43,0,0,Penalty on Kenyon Green: False Start 5 yards (accepted) (no play),2.180,1.500
1,11:44,2,15,CHI 48,0,0,C.J. Stroud pass complete short middle to Cam Akers for 3 yards (tackle by Tremaine Edmunds),1.500,1.220
1,11:05,3,12,CHI 45,0,0,C.J. Stroud pass complete short middle to Dare Ogunbowale for 7 yards (tackle by Tremaine Edmunds and Kevin Byard),1.220,0.720
1,10:25,4,5,CHI 38,0,3,Ka'imi Fairbairn 56 yard field goal good,0.720,3.000
1,10:20,,,HOU 35,0,3,Ka'imi Fairbairn kicks off 66 yards returned by DeAndre Carter for 24 yards (tackle by Neville Hewitt and Jake Hansen),0.000,0.480
1,10:15,1,10,CHI 23,0,3,Caleb Williams pass complete short left to Gerald Everett for 2 yards (tackle by Jalen Pitre),0.480,0.200
1,9:54,2,8,CHI 25,0,3,D'Andre Swift left tackle for -4 yards (tackle by Danielle Hunter and Folorunso Fatukasi),0.200,-1.020
1,9:12,3,12,CHI 21,0,3,Caleb Williams pass complete short right to DeAndre Carter for 14 yards,-1.020,1.270
1,8:47,1,10,CHI 35,0,3,Caleb Williams pass complete short left to DeAndre Carter for 12 yards (tackle by Jalen Pitre),1.270,2.060
1,8:10,1,10,CHI 47,0,3,D'Andre Swift up the middle for no gain (tackle by Henry To'oTo'o),2.060,1.520
