Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA
,,,,,,,Chiefs won the coin toss and deferred Bengals to receive the opening kickoff.,,
1,15:00,,,KAN 35,0,0,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CIN 30,0,0,Joe Burrow pass complete short right to Drew Sample for 8 yards. Drew Sample fumbles ball out of bounds at CIN-38 (forced by Leo Chenal). Drew Sample fumbles out of bounds,0.940,1.470
1,14:47,2,2,CIN 38,0,0,Joe Burrow pass complete short middle to Drew Sample for 12 yards (tackle by Drue Tranquill and Justin Reid),1.470,2.260
1,14:10,1,10,KAN 50,0,0,Zack Moss left end for 1 yard (tackle by Leo Chenal and Michael Danna),2.260,1.850
1,13:17,2,9,KAN 49,0,0,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Nick Bolton),1.850,1.950
1,12:25,3,3,KAN 43,0,0,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Nick Bolton),1.950,0.400
1,12:14,4,3,KAN 43,0,0,Joe Burrow pass complete short right to Mike Gesicki for 37 yards (tackle by Bryan Cook),0.400,5.830
1,11:37,1,6,KAN 6,0,0,Zack Moss right end for 2 yards (tackle by Justin Reid and Drue Tranquill),5.830,5.340
1,10:56,2,4,KAN 4,0,0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Trent McDuffie),5.340,4.490
1,10:49,,,,,,Timeout #1 by Cincinnati Bengals,,
1,10:49,3,4,KAN 4,0,0,Joe Burrow pass incomplete short right intended for Trenton Irwin,4.490,3.030
1,10:44,4,4,KAN 4,3,0,Evan McPherson 22 yard field goal good,3.030,3.000
1,10:41,,,CIN 35,3,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,10:41,1,10,KAN 30,3,0,Isiah Pacheco right end for 1 yard (tackle by Germaine Pratt),0.940,0.530
1,10:08,2,9,KAN 31,3,0,Isiah Pacheco right guard for 11 yards (tackle by Geno Stone and Vonn Bell),0.530,1.730
1,9:31,1,10,KAN 42,3,0,Patrick Mahomes pass complete short left to Isiah Pacheco for 5 yards (tackle by Logan Wilson),1.730,1.860
1,8:54,2,5,KAN 47,3,0,Patrick Mahomes pass complete short left to Rashee Rice for 9 yards (tackle by Logan Wilson),1.860,2.650
1,8:31,1,10,CIN 44,3,0,Patrick Mahomes scrambles right end for 9 yards (tackle by Daxton Hill),2.650,3.330
1,7:53,2,1,CIN 35,3,0,Carson Steele up the middle for 9 yards (tackle by Geno Stone),3.330,3.840
1,7:21,1,10,CIN 26,3,0,Isiah Pacheco right guard for 6 yards (tackle by Jay Tufele and Germaine Pratt),3.840,4.110
1,6:49,2,4,CIN 20,3,0,Isiah Pacheco left guard for 8 yards (tackle by Geno Stone),4.110,4.780
1,6:11,1,10,CIN 12,3,0,Patrick Mahomes pass complete short left to Justin Watson for 6 yards (tackle by Cam Taylor-Britt and Germaine Pratt),4.780,5.210
1,5:37,2,4,CIN 6,3,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,5.210,4.380
