Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Dustin Hopkins kicks off 57 yards returned by Devin Duvernay for 12 yards (tackle by Khaleke Hudson),0.000,0.280
1,14:55,1,10,JAX 20,0,0,Trevor Lawrence pass complete short middle to Brenton Strange for 9 yards (tackle by Jordan Hicks and Grant Delpit),0.280,0.950
1,14:24,2,1,JAX 29,0,0,Travis Etienne up the middle for -2 yards (tackle by Grant Delpit),0.950,-0.030
1,13:45,3,3,JAX 27,0,0,Penalty on Myles Garrett: Neutral Zone Infraction 5 yards (accepted) (no play),-0.030,1.070
1,13:27,1,10,JAX 32,0,0,Travis Etienne up the middle for 5 yards (tackle by Grant Delpit),1.070,1.200
1,12:48,2,5,JAX 37,0,0,Trevor Lawrence pass complete short left to Travis Etienne for -2 yards (tackle by Cameron Mitchell and Martin Emerson),1.200,0.230
1,12:02,3,7,JAX 35,0,0,Trevor Lawrence pass incomplete deep right intended for Gabriel Davis,0.230,-1.040
1,11:57,4,7,JAX 35,0,0,Logan Cooke punts 55 yards returned by James Proche for 1 yard (tackle by Yasir Abdullah),-1.040,0.370
1,11:43,1,10,CLE 11,0,0,D'Onta Foreman left end for 8 yards (tackle by Montaric Brown and Andre Cisco),-0.370,0.170
1,11:06,2,2,CLE 19,0,0,Deshaun Watson pass complete short middle to Elijah Moore for 9 yards (tackle by Andre Cisco),0.170,0.810
1,10:33,1,10,CLE 28,0,0,D'Onta Foreman up the middle for 5 yards (tackle by Montaric Brown),0.810,0.940
1,9:59,2,5,CLE 33,0,0,Deshaun Watson pass complete short right to Jerome Ford for no gain (tackle by DaVon Hamilton),0.940,0.230
1,9:06,3,5,CLE 33,0,0,Deshaun Watson pass complete short left to Elijah Moore for 22 yards (tackle by Jarrian Jones),0.230,2.590
