Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA
,,,,,,,Colts won the coin toss and deferred Packers to receive the opening kickoff.,,
1,15:00,,,IND 35,0,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,GNB 30,0,0,Josh Jacobs up the middle for 3 yards (tackle by Zaire Franklin and Grover Stewart),0.940,0.800
1,14:31,2,7,GNB 33,0,0,Josh Jacobs up the middle for 12 yards (tackle by Jaylon Jones and Rodney Thomas),0.800,1.930
1,13:53,1,10,GNB 45,0,0,Malik Willis pass complete short right to Tucker Kraft for no gain (tackle by E.J. Speed). Penalty on Josh Myers: Ineligible Downfield Pass 5 yards (accepted) (no play),1.930,1.600
1,13:30,1,15,GNB 40,0,0,MarShawn Lloyd left end for 5 yards (tackle by Rodney Thomas). Penalty on Bo Melton: Offensive Holding 10 yards (accepted),1.600,1.270
1,13:13,1,20,GNB 35,0,0,Josh Jacobs left tackle for 34 yards (tackle by Rodney Thomas),1.270,3.510
1,12:38,1,10,IND 31,0,0,Emanuel Wilson up the middle for 3 yards (tackle by Nick Cross and Zaire Franklin),3.510,3.370
1,12:13,2,7,IND 28,0,0,Emanuel Wilson right end for no gain (tackle by Dayo Odeyingbo and Zaire Franklin),3.370,2.680
1,11:26,3,7,IND 28,0,0,Malik Willis pass complete short left to Jayden Reed for no gain (tackle by Nick Cross),2.680,1.590
1,10:34,4,7,IND 28,0,3,Brayden Narveson 46 yard field goal good,1.590,3.000
1,10:30,,,GNB 35,0,3,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
1,10:30,1,10,IND 30,0,3,Jonathan Taylor up the middle for 3 yards (tackle by Quay Walker and Kenny Clark),0.940,0.800
1,9:55,2,7,IND 33,0,3,Anthony Richardson pass incomplete short left intended for Adonai Mitchell,0.800,0.100
1,9:53,3,7,IND 33,0,3,Anthony Richardson pass incomplete short right intended for Jonathan Taylor (defended by Isaiah McDuffie),0.100,-1.180
1,9:47,4,7,IND 33,0,3,Rigoberto Sanchez punts 49 yards fair catch by Jayden Reed at GB-18,-1.180,-0.040
1,9:39,1,10,GNB 18,0,3,Jayden Reed right end for 22 yards (tackle by Rodney Thomas),0.040,1.600
1,9:04,1,10,GNB 40,0,3,Josh Jacobs right guard for 2 yards (tackle by Zaire Franklin and E.J. Speed),1.600,1.320
1,8:35,2,8,GNB 42,0,3,Josh Jacobs right tackle for 5 yards (tackle by Tyquan Lewis and E.J. Speed),1.320,1.290
1,7:55,3,3,GNB 47,0,3,Josh Jacobs right end for 5 yards (tackle by Nick Cross),1.290,2.390
1,7:17,1,10,IND 48,0,3,Josh Jacobs left end for 6 yards (tackle by Nick Cross),2.390,2.660
1,6:40,2,4,IND 42,0,3,Emanuel Wilson up the middle for 2 yards (tackle by E.J. Speed and Nick Cross),2.660,2.210
1,6:07,3,2,IND 40,0,3,Emanuel Wilson right guard for 4 yards (tackle by E.J. Speed),2.210,3.180
1,5:25,1,10,IND 36,0,3,Bo Melton left end for 16 yards (tackle by Nick Cross and Jaylon Carlies),3.180,4.240
1,4:40,1,10,IND 20,0,3,Josh Jacobs left end for no gain touchdown. Penalty on Rasheed Walker: Offensive Holding 10 yards (accepted) (no play),4.240,3.580
1,4:35,1,20,IND 30,0,3,MarShawn Lloyd left guard for 4 yards (tackle by Samuel Womack),3.580,2.880
1,4:06,2,16,IND 26,0,3,Malik Willis left end for 12 yards (tackle by Nick Cross),2.880,3.890
1,3:23,3,4,IND 14,0,9,Malik Willis pass complete short right to Dontayvion Wicks for 14 yards touchdown,3.890,7.000
1,3:18,,,IND 15,0,10,Brayden Narveson kicks extra point good,0.000,0.000
1,3:18,,,GNB 35,0,10,Brayden Narveson kicks off 65 yards touchback.,0.000,0.940
1,3:18,1,10,IND 30,0,10,Jonathan Taylor up the middle for 17 yards (tackle by Javon Bullard),0.940,2.060
1,2:52,1,10,IND 47,0,10,Anthony Richardson pass complete deep middle to Ashton Dulin for 13 yards (tackle by Javon Bullard and Eric Stokes),2.060,2.920
1,2:35,1,10,GNB 40,0,10,Anthony Richardson pass deep middle intended for Alec Pierce is intercepted by Xavier McKinney at GB-13 and returned for 18 yards (tackle by Alec Pierce),2.920,-1.000
1,2:26,1,10,GNB 31,0,10,Jayden Reed right end for 15 yards (tackle by Raekwon Davis),1.000,1.990
1,1:48,1,10,GNB 46,0,10,Josh Jacobs right tackle for 4 yards (tackle by Raekwon Davis and Tyquan Lewis),1.990,1.990
1,1:10,2,6,GNB 50,0,10,Josh Jacobs right guard for 9 yards (tackle by Jaylon Jones),1.990,2.850
1,0:36,1,10,IND 41,0,10,Josh Jacobs right guard for 1 yard (tackle by Nick Cross),2.850,2.440
2,15:00,2,9,IND 40,0,10,Josh Jacobs right guard for 4 yards (tackle by E.J. Speed),2.440,2.280
2,14:43,3,5,IND 36,0,10,Malik Willis pass complete short right to Romeo Doubs for 8 yards (tackle by Dallis Flowers),2.280,3.710
2,14:11,1,10,IND 28,0,10,Malik Willis pass complete short left to MarShawn Lloyd for 3 yards (tackle by Kwity Paye and DeForest Buckner),3.710,3.570
2,13:25,2,7,IND 25,0,10,MarShawn Lloyd left tackle for 2 yards (tackle by Kwity Paye),3.570,3.140
2,12:56,3,5,IND 23,0,10,Malik Willis scrambles right end for 19 yards (tackle by Nick Cross),3.140,6.280
2,12:13,1,4,IND 4,0,10,Josh Jacobs up the middle for 3 yards. Josh Jacobs fumbles (forced by Zaire Franklin) recovered by Laiatu Latu in end zone touchback.,6.280,-0.280
2,12:06,1,10,IND 20,0,10,Jonathan Taylor left end for no gain (tackle by Carrington Valentine). Penalty on Adonai Mitchell: Illegal Formation 5 yards (accepted) (no play),0.280,-0.310
2,11:41,1,15,IND 15,0,10,Anthony Richardson pass incomplete short middle intended for Adonai Mitchell. Penalty on Lukas Van Ness: Roughing the Passer 15 yards (accepted) (no play),-0.310,0.940
