Quarter,Time,Down,ToGo,Location,LAC,CAR,Detail,EPB,EPA
,,,,,,,Panthers won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,CAR 35,0,0,Eddy Pineiro kicks off 60 yards returned by Derius Davis for 13 yards (tackle by Feleipe Franks). Penalty on Feleipe Franks: Offensive Facemask 15 yards (accepted),0.000,1.140
1,14:54,1,10,LAC 33,0,0,Justin Herbert pass complete short left to Quentin Johnston for 3 yards (tackle by A'Shawn Robinson and Shy Tuttle),1.140,1.000
1,14:15,2,7,LAC 36,0,0,J.K. Dobbins up the middle for 5 yards (tackle by Shaq Thompson and Nick Thurman),1.000,0.960
1,13:36,3,2,LAC 41,0,0,J.K. Dobbins right tackle for 11 yards (tackle by Jordan Fuller and Xavier Woods),0.960,2.390
1,12:57,1,10,CAR 48,0,0,J.K. Dobbins left end for 3 yards (tackle by A'Shawn Robinson),2.390,2.250
1,12:12,2,7,CAR 45,0,0,Justin Herbert pass incomplete short right intended for Hayden Hurst (defended by Shaq Thompson). Penalty on Jadeveon Clowney: Illegal Use of Hands / Defense 5 yards (accepted) (no play),2.250,2.920
1,12:06,1,10,CAR 40,0,0,J.K. Dobbins left end for no gain (tackle by Josey Jewell and Xavier Woods),2.920,2.370
1,11:24,2,10,CAR 40,0,0,Justin Herbert pass complete short middle to Ladd McConkey for 11 yards (tackle by Troy Hill),2.370,3.640
1,10:44,1,10,CAR 29,0,0,Gus Edwards left end for 5 yards (tackle by Shaq Thompson),3.640,3.780
1,10:00,2,5,CAR 24,0,0,Gus Edwards left guard for 7 yards. Penalty on Quentin Johnston: Illegal Formation 5 yards (accepted) (no play),3.780,3.100
1,9:32,2,10,CAR 29,0,0,Justin Herbert pass complete short middle to Eric Tomlinson for no gain. Eric Tomlinson fumbles (forced by Jaycee Horn) recovered by Troy Hill at CAR-24 (tackle by Derius Davis) Replay Assistant challenged the fumble ruling and the original play was overturned. Justin Herbert pass incomplete short right intended for Eric Tomlinson (defended by Jaycee Horn),3.100,2.410
1,9:26,3,10,CAR 29,6,0,Justin Herbert pass complete deep left to Quentin Johnston for 29 yards touchdown,2.410,7.000
1,9:20,,,CAR 15,6,0,Cameron Dicker kicks extra point no good,0.000,-1.000
1,9:20,,,LAC 35,6,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,9:20,1,10,CAR 30,6,0,Chuba Hubbard up the middle for 5 yards (tackle by Elijah Molden and Ja'Sir Taylor),0.940,1.070
1,8:43,2,5,CAR 35,6,0,Chuba Hubbard left tackle for 3 yards (tackle by Poona Ford and Joey Bosa),1.070,0.760
1,8:03,3,2,CAR 38,6,0,Bryce Young pass incomplete short middle intended for Tommy Tremble (defended by Kristian Fulton),0.760,-0.850
1,7:56,4,2,CAR 38,6,0,Johnny Hekker punts 37 yards out of bounds,-0.850,-0.610
1,7:49,1,10,LAC 25,6,0,Justin Herbert pass deep right intended for Ladd McConkey is intercepted by Jaycee Horn at LAC-41 and returned for no gain (tackle by Scott Matlock). Penalty on Bradley Bozeman: Ineligible Downfield Pass 5 yards (declined),0.610,-2.850
1,7:38,1,10,LAC 41,6,0,Bryce Young pass complete short right to Chuba Hubbard for 4 yards (tackle by Denzel Perryman),2.850,2.850
1,7:04,2,6,LAC 37,6,0,Chuba Hubbard right guard for 1 yard (tackle by Derwin James),2.850,2.280
1,6:23,3,5,LAC 36,6,0,Bryce Young sacked by Denzel Perryman for -7 yards,2.280,0.400
1,5:38,4,12,LAC 43,6,0,Penalty on CAR: Delay of Game 5 yards (declined) (no play),0.400,0.400
1,5:05,4,12,LAC 43,6,0,Johnny Hekker punts 28 yards fair catch by Derius Davis at LAC-15. Penalty on Lonnie Johnson: Kick Catch Interference 15 yards (accepted),0.400,-0.940
1,4:55,1,10,LAC 30,6,0,Gus Edwards left guard for 3 yards (tackle by Josey Jewell),0.940,0.800
1,4:12,2,7,LAC 33,6,0,Justin Herbert pass complete short middle to Will Dissly for 7 yards (tackle by Josey Jewell),0.800,1.600
1,3:34,1,10,LAC 40,6,0,Gus Edwards right guard for 6 yards (tackle by Jadeveon Clowney and LaBryan Ray),1.600,1.860
1,2:40,2,4,LAC 46,6,0,J.K. Dobbins right guard for 3 yards (tackle by Jordan Fuller),1.860,1.550
