Quarter,Time,Down,ToGo,Location,LVR,BAL,Detail,EPB,EPA
,,,,,,,Ravens won the coin toss and deferred Raiders to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 66 yards returned by Ameer Abdullah for 25 yards (tackle by Chris Board and Josh Ross),0.000,0.540
1,14:54,1,10,LVR 24,0,0,Gardner Minshew sacked by Odafe Oweh for -8 yards. Gardner Minshew fumbles (forced by Odafe Oweh) recovered by Kolton Miller at LV-16,0.540,-1.220
1,14:11,2,18,LVR 16,0,0,Gardner Minshew pass complete short left to Zamir White for 2 yards (tackle by Brandon Stephens),-1.220,-1.640
1,13:29,3,16,LVR 18,0,0,Alexander Mattison up the middle for -2 yards (tackle by Travis Jones),-1.640,-2.390
1,12:53,4,18,LVR 16,0,0,AJ Cole punts 54 yards returned by Deonte Harty for 15 yards (tackle by Luke Masterson),-2.390,-1.930
1,12:39,1,10,BAL 45,0,0,Derrick Henry left tackle for 2 yards (tackle by Adam Butler),1.930,1.650
1,12:03,2,8,BAL 47,0,0,Justice Hill right guard for no gain (tackle by Robert Spillane),1.650,0.960
1,11:21,3,8,BAL 47,0,0,Lamar Jackson pass complete deep middle to Zay Flowers for 19 yards (tackle by Marcus Epps),0.960,3.310
1,10:39,1,10,LVR 34,0,0,Lamar Jackson sacked by Maxx Crosby for -6 yards,3.310,1.960
1,9:49,2,16,LVR 40,0,0,Justice Hill left end for 3 yards (tackle by Robert Spillane),1.960,1.690
1,9:16,3,13,LVR 37,0,0,Lamar Jackson pass complete short left to Rashod Bateman for 7 yards (tackle by Robert Spillane),1.690,1.430
1,8:34,4,6,LVR 30,0,3,Justin Tucker 48 yard field goal good,1.430,3.000
1,8:29,,,BAL 35,0,3,Justin Tucker kicks off no gain returned by Ameer Abdullah for no gain (tackle by Ar'Darius Washington). Penalty on Chris Board: Illegal Formation 5 yards (offset) . Penalty on Kana'i Mauga: Defensive Holding 5 yards (offset) (no play),0.000,0.000
1,8:23,,,BAL 35,0,3,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,8:23,1,10,LVR 30,0,3,Zamir White left tackle for 2 yards (tackle by Brent Urban and Broderick Washington),0.940,0.660
1,7:48,2,8,LVR 32,0,3,Gardner Minshew pass complete short left to Davante Adams for 6 yards (tackle by Roquan Smith),0.660,0.760
1,7:07,3,2,LVR 38,0,3,Gardner Minshew pass complete short right to Davante Adams for 4 yards (tackle by Marlon Humphrey),0.760,1.730
1,6:32,1,10,LVR 42,0,3,Gardner Minshew pass complete short middle to Tre Tucker for 6 yards (tackle by Roquan Smith),1.730,2.000
1,5:50,2,4,LVR 48,0,3,Gardner Minshew pass complete short left to Ameer Abdullah for no gain (tackle by Nnamdi Madubuike),2.000,1.290
1,5:13,3,4,LVR 48,0,3,Gardner Minshew sacked by Odafe Oweh for -8 yards,1.290,-0.720
1,4:25,4,12,LVR 40,0,3,AJ Cole punts 40 yards fair catch by Deonte Harty at BAL-20,-0.720,-0.280
1,4:19,1,10,BAL 20,0,3,Derrick Henry up the middle for -1 yards (tackle by Maxx Crosby),0.280,-0.460
1,3:40,2,11,BAL 19,0,3,Derrick Henry right end for -5 yards (tackle by Marcus Epps),-0.460,-2.030
1,3:02,3,16,BAL 14,0,3,Lamar Jackson pass complete short left to Justice Hill for 7 yards (tackle by Christian Wilkins),-2.030,-1.960
1,2:23,4,9,BAL 21,0,3,Jordan Stout punts 47 yards returned by Tre Tucker for 8 yards (tackle by Chris Board),-1.960,-1.600
1,2:13,1,10,LVR 40,0,3,Gardner Minshew pass complete short middle to Jakobi Meyers for -1 yards (tackle by Marlon Humphrey),1.600,0.920
1,1:41,2,11,LVR 39,0,3,Gardner Minshew pass complete short left to Tre Tucker for 7 yards (tackle by Kyle Hamilton),0.920,1.160
1,0:57,3,4,LVR 46,0,3,Gardner Minshew pass incomplete short right,1.160,-0.320
1,0:49,4,4,LVR 46,0,3,AJ Cole punts 34 yards downed by Kana'i Mauga,-0.320,-0.280
