Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss and deferred Saints to receive the opening kickoff.,,
1,15:00,,,DAL 35,0,0,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.280
1,15:00,1,10,NOR 20,0,0,Alvin Kamara right end for 1 yard (tackle by Micah Parsons),0.280,-0.130
1,14:20,2,9,NOR 21,0,0,Rashid Shaheed left end for 7 yards (tackle by Caelen Carson),-0.130,0.100
1,13:38,3,2,NOR 28,0,0,Derek Carr pass complete short left to Rashid Shaheed for 17 yards (tackle by Caelen Carson),0.100,1.930
1,13:01,1,10,NOR 45,0,0,Taysom Hill right tackle for 2 yards (tackle by Marist Liufau and Eric Kendricks),1.930,1.650
1,12:17,2,8,NOR 47,0,0,Derek Carr pass complete short middle to Rashid Shaheed for 9 yards (tackle by Damone Clark),1.650,2.650
1,11:34,,,,,,Timeout #1 by New Orleans Saints,,
1,11:34,1,10,DAL 44,0,0,Derek Carr pass complete deep right to Chris Olave for 39 yards (tackle by Trevon Diggs),2.650,6.060
1,10:54,1,5,DAL 5,6,0,Alvin Kamara right tackle for 5 yards touchdown,6.060,7.000
1,10:50,,,DAL 15,7,0,Blake Grupe kicks extra point good,0.000,0.000
1,10:50,,,NOR 35,7,0,Blake Grupe kicks off 66 yards returned by Juanyeh Thomas for 22 yards (tackle by Willie Gay and Isaiah Foskey),0.000,0.340
1,10:44,1,10,DAL 21,7,0,Dak Prescott pass complete short left to CeeDee Lamb for 4 yards (tackle by Kool-Aid McKinstry),0.340,0.340
1,10:12,2,6,DAL 25,7,0,Rico Dowdle right guard for 6 yards (tackle by Demario Davis),0.340,1.000
1,9:40,1,10,DAL 31,7,0,Dak Prescott pass complete short right to Luke Schoonmaker for 8 yards (tackle by Pete Werner),1.000,1.540
1,9:10,2,2,DAL 39,7,0,Dak Prescott pass complete short right to Luke Schoonmaker for 8 yards (tackle by Willie Gay),1.540,2.060
1,8:36,1,10,DAL 47,7,0,Deuce Vaughn right tackle for 2 yards (tackle by Carl Granderson and Nathan Shepherd),2.060,1.790
1,8:05,2,8,DAL 49,7,0,Dak Prescott pass complete short left to KaVontae Turpin for 5 yards (tackle by Alontae Taylor),1.790,1.750
1,7:32,3,3,NOR 46,7,0,Rico Dowdle up the middle for 2 yards (tackle by Will Harris),1.750,0.330
1,7:12,4,1,NOR 44,7,0,Dak Prescott up the middle for 4 yards (tackle by Bryan Bresee),0.330,2.920
1,6:35,1,10,NOR 40,7,0,Dak Prescott pass incomplete deep right intended for Rico Dowdle (defended by Demario Davis),2.920,2.370
1,6:30,2,10,NOR 40,7,0,Dak Prescott pass incomplete short left intended for CeeDee Lamb. Penalty on Paulson Adebo: Defensive Holding 5 yards (accepted) (no play),2.370,3.250
1,6:24,1,10,NOR 35,7,0,Dak Prescott pass incomplete deep left intended for CeeDee Lamb. Penalty on Tyler Guyton: Offensive Holding 10 yards (accepted) (no play),3.250,2.590
1,6:19,1,20,NOR 45,7,0,Rico Dowdle right guard for 3 yards (tackle by Carl Granderson and Nathan Shepherd),2.590,1.760
1,5:46,2,17,NOR 42,7,0,Dak Prescott pass complete short left to KaVontae Turpin for -1 yards (tackle by Kool-Aid McKinstry and Alontae Taylor),1.760,0.960
1,5:03,3,18,NOR 43,7,0,Dak Prescott pass complete short left to Rico Dowdle for 9 yards (tackle by Tyrann Mathieu),0.960,1.060
1,4:19,4,9,NOR 34,7,3,Brandon Aubrey 52 yard field goal good,1.060,3.000
1,4:14,,,DAL 35,7,3,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
1,4:14,1,10,NOR 30,13,3,Derek Carr pass complete deep middle to Rashid Shaheed for 70 yards touchdown,0.940,7.000
1,4:05,,,DAL 15,14,3,Blake Grupe kicks extra point good,0.000,0.000
1,4:05,,,NOR 35,14,3,Penalty on Trevor Penning: Unnecessary Roughness / Defense 15 yards (accepted) (no play),0.000,0.000
1,4:05,,,NOR 20,14,3,Blake Grupe kicks off 76 yards returned by KaVontae Turpin for 35 yards (tackle by Cedrick Wilson),0.000,1.530
1,3:59,1,10,DAL 39,14,3,Deuce Vaughn left guard for 4 yards (tackle by Demario Davis and Pete Werner),1.530,1.530
1,3:28,2,6,DAL 43,14,3,Dak Prescott pass complete short middle to CeeDee Lamb for 7 yards (tackle by Alontae Taylor),1.530,2.260
1,2:45,1,10,DAL 50,14,3,Ezekiel Elliott up the middle for 1 yard (tackle by Demario Davis and Pete Werner),2.260,1.850
1,2:11,2,9,NOR 49,14,3,Ezekiel Elliott up the middle for 2 yards (tackle by Chase Young and Demario Davis),1.850,1.420
1,1:33,3,7,NOR 47,14,3,Dak Prescott pass complete short middle to Brandin Cooks for 8 yards (tackle by Will Harris and Jordan Howden),1.420,2.980
1,1:00,1,10,NOR 39,14,3,Deuce Vaughn up the middle for 2 yards (tackle by Chase Young),2.980,2.710
1,0:25,2,8,NOR 37,14,3,Ezekiel Elliott left tackle for 7 yards (tackle by Carl Granderson and Alontae Taylor),2.710,2.940
2,15:00,3,1,NOR 30,14,3,Ezekiel Elliott left end for 1 yard (tackle by Pete Werner),2.940,3.640
2,14:30,1,10,NOR 29,14,3,Dak Prescott pass incomplete deep right intended for CeeDee Lamb,3.640,3.100
2,14:24,2,10,NOR 29,14,3,Dak Prescott pass complete short left to CeeDee Lamb for 14 yards (tackle by Alontae Taylor),3.100,4.580
2,13:41,1,10,NOR 15,14,3,Deuce Vaughn left end for 3 yards (tackle by Demario Davis and Kool-Aid McKinstry),4.580,4.450
2,13:08,2,7,NOR 12,14,3,Brandin Cooks right end for -3 yards (tackle by Alontae Taylor),4.450,3.100
2,12:24,3,10,NOR 15,14,3,Dak Prescott sacked by Carl Granderson for -5 yards,3.100,2.120
2,11:42,4,15,NOR 20,14,6,Brandon Aubrey 38 yard field goal good,2.120,3.000
2,11:39,,,DAL 35,14,6,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
2,11:39,1,10,NOR 30,14,6,Alvin Kamara left tackle for 3 yards (tackle by Marist Liufau),0.940,0.800
2,10:57,2,7,NOR 33,14,6,Chris Olave left end for 7 yards (tackle by Eric Kendricks and Donovan Wilson),0.800,1.600
2,10:23,1,10,NOR 40,14,6,Alvin Kamara right tackle for 3 yards (tackle by Marist Liufau and Eric Kendricks),1.600,1.460
2,9:41,2,7,NOR 43,20,6,Derek Carr pass complete short left to Alvin Kamara for 57 yards touchdown,1.460,7.000
2,9:30,,,DAL 15,21,6,Blake Grupe kicks extra point good,0.000,0.000
2,9:30,,,NOR 35,21,6,Blake Grupe kicks off 56 yards returned by Juanyeh Thomas for 13 yards (tackle by Ugo Amadi and Isaiah Stalbird),0.000,0.410
2,9:25,1,10,DAL 22,21,6,KaVontae Turpin left end for 2 yards (tackle by Paulson Adebo),0.410,0.140
2,8:59,2,8,DAL 24,21,6,Rico Dowdle right end for 6 yards (tackle by Will Harris and Paulson Adebo),0.140,0.230
