Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Commanders to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Graham Gano kicks off 63 yards returned by Austin Ekeler for 35 yards touchdown. Penalty on Nick Bellore: Offensive Holding 10 yards (accepted),0.000,0.740
1,14:48,1,10,WAS 27,0,0,Jayden Daniels pass complete short right to Terry McLaurin for -2 yards (tackle by Andru Phillips and Bobby Okereke),0.740,-0.070
1,14:10,2,12,WAS 25,0,0,Jayden Daniels pass complete short left to Brian Robinson for 3 yards (tackle by Bobby Okereke),-0.070,-0.360
1,13:35,3,9,WAS 28,0,0,Jayden Daniels pass incomplete short middle intended for Zach Ertz. Penalty on Jason Pinnock: Defensive Holding 5 yards (accepted) (no play),-0.360,1.140
1,13:29,1,10,WAS 33,0,0,Jayden Daniels pass complete short middle to Noah Brown for 7 yards (tackle by Deonte Banks and Micah McFadden),1.140,1.540
1,12:59,2,3,WAS 40,0,0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 6 yards (tackle by Jason Pinnock and Andru Phillips),1.540,1.990
1,12:23,1,10,WAS 46,0,0,Brian Robinson left end for 7 yards (tackle by Jason Pinnock),1.990,2.400
1,11:46,2,3,NYG 47,0,0,Brian Robinson up the middle for 2 yards (tackle by Andru Phillips),2.400,1.950
1,11:07,3,1,NYG 45,0,0,Jayden Daniels pass complete short right to Dyami Brown for 5 yards (tackle by Andru Phillips and Bobby Okereke),1.950,2.920
1,10:32,1,10,NYG 40,0,0,Brian Robinson left end for 3 yards (tackle by Micah McFadden),2.920,2.780
1,9:52,2,7,NYG 37,0,0,Jayden Daniels sacked by Bobby Okereke for -3 yards,2.780,1.680
1,9:10,,,,,,Timeout #1 by Washington Commanders,,
1,9:10,3,10,NYG 40,0,0,Jayden Daniels scrambles left end for 10 yards (tackle by Elijah Chatman) NYG challenged the first down ruling and the original play was overturned. Jayden Daniels scrambles left end for 9 yards (tackle by Elijah Chatman),1.680,1.410
1,8:49,4,1,NYG 31,0,0,Brian Robinson left guard for 6 yards (tackle by Tyler Nubin),1.410,3.910
1,8:16,1,10,NYG 25,0,0,Jayden Daniels pass complete short right to Dyami Brown for 12 yards (tackle by Cordale Flott),3.910,4.710
1,7:40,1,10,NYG 13,0,0,Jayden Daniels right tackle for 1 yard (tackle by Brian Burns),4.710,4.220
1,6:58,2,9,NYG 12,0,0,Jayden Daniels sacked by Andru Phillips for -5 yards,4.220,2.880
1,6:11,3,14,NYG 17,0,0,Austin Ekeler up the middle for 13 yards (tackle by Isaiah Simmons),2.880,3.040
1,5:27,,,,,,Timeout #2 by Washington Commanders,,
1,5:27,4,1,NYG 4,0,0,Penalty on Ben Sinnott: False Start 5 yards (accepted) (no play),3.040,2.850
1,5:27,4,6,NYG 9,0,3,Austin Seibert 27 yard field goal good,2.850,3.000
1,5:24,,,WAS 35,0,3,Austin Seibert kicks off 61 yards returned by Tyrone Tracy for 28 yards (tackle by Nick Bellore). Penalty on Nick Bellore: Unsportsmanlike Conduct / Defense 15 yards (accepted),0.000,2.060
1,5:19,1,10,NYG 47,0,3,Devin Singletary up the middle for 8 yards (tackle by Frankie Luvu and Bobby Wagner),2.060,2.600
1,4:46,2,2,WAS 45,0,3,Daniel Jones right end for 6 yards (tackle by Percy Butler),2.600,2.980
1,4:05,1,10,WAS 39,0,3,Devin Singletary left tackle for -2 yards (tackle by Bobby Wagner),2.980,2.170
1,3:24,2,12,WAS 41,0,3,Daniel Jones pass complete short middle to Devin Singletary for no gain (tackle by Jeremy Chinn and Jonathan Allen),2.170,1.490
1,2:41,3,12,WAS 41,0,3,Daniel Jones pass complete short right to Malik Nabers for 28 yards (tackle by Frankie Luvu),1.490,4.710
