Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Titans to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Greg Zuerlein kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,TEN 30,0,0,Tony Pollard up the middle for 3 yards (tackle by Javon Kinlaw and C.J. Mosley),0.940,0.800
1,14:19,2,7,TEN 33,0,0,Tony Pollard right guard for 5 yards (tackle by C.J. Mosley),0.800,0.760
1,13:39,3,2,TEN 38,0,0,Will Levis sacked by Will McDonald for -2 yards,0.760,-0.980
1,13:02,4,4,TEN 36,0,0,Ryan Stonehouse punts 49 yards returned by Xavier Gipson for 8 yards (tackle by Jarvis Brownlee and Mike Brown),-0.980,-0.480
1,12:51,1,10,NYJ 23,0,0,Breece Hall left end for 6 yards (tackle by Ernest Jones),0.480,0.740
1,12:06,2,4,NYJ 29,0,0,Aaron Rodgers pass complete short right to Breece Hall for 3 yards (tackle by Ernest Jones),0.740,0.430
1,11:20,3,1,NYJ 32,0,0,Breece Hall up the middle for 3 yards (tackle by Kenneth Murray),0.430,1.270
1,10:44,1,10,NYJ 35,0,0,Aaron Rodgers pass incomplete short right. Penalty on Aaron Rodgers: Intentional Grounding 10 yards (accepted),1.270,-0.630
1,10:39,2,20,NYJ 25,0,0,Breece Hall up the middle for -2 yards (tackle by Kenneth Murray),-0.630,-1.550
1,9:56,3,22,NYJ 23,0,0,Aaron Rodgers pass complete short right to Malachi Corley for 4 yards (tackle by Jeffery Simmons and Ernest Jones),-1.550,-1.570
1,9:19,4,18,NYJ 27,0,0,Thomas Morstead punts 50 yards returned by Jha'Quan Jackson for 9 yards (tackle by Chazz Surratt and Jamien Sherwood),-1.570,-1.070
1,9:08,1,10,TEN 32,0,0,Will Levis pass incomplete short right intended for Treylon Burks. Penalty on Tony Adams: Defensive Holding 5 yards (accepted) (no play),1.070,1.400
1,9:03,1,10,TEN 37,0,0,Tyjae Spears right guard for 4 yards (tackle by Quinnen Williams),1.400,1.400
1,8:27,2,6,TEN 41,0,0,Will Levis pass complete short right to Josh Whyle for 1 yard (tackle by Quincy Williams),1.400,0.830
1,7:45,3,5,TEN 42,0,0,Will Levis pass complete short right to Calvin Ridley for 15 yards (tackle by Brandin Echols),0.830,2.720
1,7:03,1,10,NYJ 43,0,0,Tyjae Spears up the middle for no gain (tackle by C.J. Mosley). Penalty on Takkarist McKinley: Defensive Offside 5 yards (accepted) (no play),2.720,3.450
1,6:42,1,5,NYJ 38,0,0,Tyjae Spears left guard for 7 yards (tackle by Michael Carter and Brandin Echols),3.450,3.510
1,6:02,1,10,NYJ 31,0,0,Will Levis pass complete short right to Tyler Boyd for 9 yards (tackle by C.J. Mosley),3.510,4.180
