Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
,,,,,,,Steelers won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Javonte Williams left guard for 3 yards (tackle by Keeanu Benton and Larry Ogunjobi),0.940,0.800
1,14:28,2,7,DEN 33,0,0,Jaleel McLaughlin right end for -3 yards (tackle by Alex Highsmith and Patrick Queen),0.800,-0.300
1,13:46,3,10,DEN 30,0,0,Bo Nix pass complete short left to Greg Dulcich for 7 yards (tackle by Minkah Fitzpatrick),-0.300,-0.910
1,13:09,4,3,DEN 37,0,0,Riley Dixon punts 53 yards returned by Calvin Austin for 14 yards (tackle by Keidron Smith),-0.910,-0.540
1,12:59,1,10,PIT 24,0,0,Najee Harris right guard for 1 yard (tackle by John Franklin-Myers),0.540,0.130
1,12:23,2,9,PIT 25,0,0,Justin Fields pass incomplete short left intended for Najee Harris,0.130,-0.560
1,12:19,3,9,PIT 25,0,0,Justin Fields scrambles right tackle for 7 yards (tackle by Brandon Jones),-0.560,-1.240
1,11:38,4,2,PIT 32,0,0,Corliss Waitman punts 53 yards out of bounds,-1.240,0.220
1,11:31,1,10,DEN 15,0,0,Bo Nix pass complete short middle to Javonte Williams for 6 yards (tackle by Alex Highsmith),-0.220,0.210
1,10:55,2,4,DEN 21,0,0,Jaleel McLaughlin left tackle for 2 yards (tackle by Larry Ogunjobi),0.210,-0.390
1,10:13,3,2,DEN 23,0,0,Bo Nix sacked by Alex Highsmith for -7 yards,-0.390,-2.390
1,9:41,4,9,DEN 16,0,0,Riley Dixon punts 52 yards returned by Calvin Austin for no gain (tackle by JL Skinner). Penalty on Nick Herbig: Offensive Holding 10 yards (accepted),-2.390,-0.410
1,9:30,1,10,PIT 22,0,0,Justin Fields scrambles right tackle for 1 yard (tackle by John Franklin-Myers),0.410,0.000
1,8:50,2,9,PIT 23,0,0,Najee Harris left tackle for 4 yards (tackle by Alex Singleton),0.000,-0.160
1,8:12,3,5,PIT 27,0,0,Justin Fields pass complete short middle to George Pickens for 13 yards (tackle by Ja'Quan McMillian and Brandon Jones),-0.160,1.600
1,7:28,1,10,PIT 40,0,0,Justin Fields scrambles left end for 16 yards (tackle by Cody Barton),1.600,2.650
1,6:51,1,10,DEN 44,0,0,Jaylen Warren right tackle for 4 yards (tackle by Alex Singleton),2.650,2.650
1,6:14,2,6,DEN 40,0,0,Najee Harris right tackle for 3 yards (tackle by Nik Bonitto),2.650,2.350
1,5:37,3,3,DEN 37,0,0,Penalty on Jonathon Cooper: Neutral Zone Infraction 5 yards (accepted) (no play),2.350,3.450
1,5:19,1,10,DEN 32,0,0,Jaylen Warren left tackle for 3 yards (tackle by John Franklin-Myers),3.450,3.310
1,4:41,2,7,DEN 29,0,0,Jaylen Warren up the middle for 11 yards (tackle by Riley Moss),3.310,4.370
1,4:05,1,10,DEN 18,0,0,Justin Fields pass complete short left to Pat Freiermuth for 14 yards,4.370,6.280
1,3:23,1,4,DEN 4,0,0,Justin Fields sacked by Jonah Elliss for -6 yards,6.280,4.190
1,2:40,2,10,DEN 10,0,0,Najee Harris left tackle for 5 yards (tackle by Ja'Quan McMillian and Alex Singleton),4.190,4.260
1,2:01,3,5,DEN 5,6,0,Justin Fields pass complete short left to Darnell Washington for 5 yards touchdown,4.260,7.000
1,1:56,,,DEN 15,7,0,Chris Boswell kicks extra point good,0.000,0.000
1,1:56,,,PIT 35,7,0,Chris Boswell kicks off 65 yards touchback.,0.000,0.940
1,1:56,1,10,DEN 30,7,0,Bo Nix pass complete short right to Michael Burton for 1 yard (tackle by DeShon Elliott),0.940,0.530
1,1:21,2,9,DEN 31,7,0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 6 yards (tackle by Patrick Queen),0.530,0.630
1,0:36,3,3,DEN 37,7,0,Bo Nix pass complete short middle to Javonte Williams for 7 yards (tackle by Patrick Queen),0.630,1.860
2,15:00,1,10,DEN 44,7,0,Javonte Williams right guard for 4 yards (tackle by Isaiahh Loudermilk),1.860,1.860
2,14:19,2,6,DEN 48,7,0,Bo Nix pass incomplete deep right intended for Greg Dulcich,1.860,1.160
2,14:14,3,6,DEN 48,7,0,Bo Nix pass incomplete short left intended for Josh Reynolds (defended by Joey Porter),1.160,-0.190
2,14:10,4,6,DEN 48,7,0,Riley Dixon punts 51 yards downed by Michael Burton,-0.190,0.380
2,13:58,1,10,PIT 1,7,0,Justin Fields up the middle for 2 yards (tackle by D.J. Jones),-0.380,-0.630
2,13:21,2,8,PIT 3,7,0,Najee Harris left tackle for 8 yards (tackle by Brandon Jones),-0.630,-0.370
2,12:42,1,10,PIT 11,7,0,Najee Harris right end for 2 yards (tackle by Kristian Welch and Nik Bonitto),-0.370,-0.630
2,12:02,2,8,PIT 13,7,0,Justin Fields pass complete short right to Jaylen Warren for 12 yards (tackle by Kristian Welch),-0.630,0.610
2,11:29,1,10,PIT 25,7,0,Justin Fields pass incomplete short left,0.610,0.060
2,11:25,2,10,PIT 25,7,0,Jaylen Warren right tackle for 4 yards (tackle by Alex Singleton and Patrick Surtain),0.060,-0.100
2,10:47,3,6,PIT 29,7,0,Penalty on Broderick Jones: False Start 5 yards (accepted) (no play),-0.100,-0.760
2,10:34,3,11,PIT 24,7,0,Justin Fields pass complete deep left to George Pickens for 16 yards,-0.760,1.600
2,10:09,1,10,PIT 40,7,0,Najee Harris right guard for 11 yards (tackle by Brandon Jones and Alex Singleton),1.600,2.320
2,9:32,1,10,DEN 49,7,0,Najee Harris right guard for no gain (tackle by Nik Bonitto). Penalty on Broderick Jones: Offensive Holding 10 yards (accepted) (no play),2.320,1.660
2,9:13,1,20,PIT 41,7,0,Jaylen Warren left tackle for 2 yards (tackle by Jonah Elliss),1.660,0.700
2,8:43,2,18,PIT 43,7,0,Justin Fields pass complete deep right to George Pickens for no gain (tackle by Patrick Surtain). Penalty on Broderick Jones: Offensive Holding 10 yards (accepted) (no play),0.700,-0.650
2,8:22,2,28,PIT 33,7,0,Justin Fields pass complete short middle to Najee Harris for 5 yards (tackle by Cody Barton and Jordan Jackson),-0.650,-0.630
2,7:49,3,23,PIT 38,7,0,Justin Fields pass complete short middle to Pat Freiermuth for 11 yards (tackle by Cody Barton and P.J. Locke),-0.630,-0.130
2,7:13,4,12,PIT 49,7,0,Corliss Waitman punts 51 yards touchback.,-0.130,-0.280
2,7:04,1,10,DEN 20,7,0,Bo Nix pass complete short left to Lil'Jordan Humphrey for 4 yards (tackle by Alex Highsmith),0.280,0.270
2,6:27,2,6,DEN 24,7,0,Tyler Badie left tackle for 16 yards (tackle by Montravius Adams and Minkah Fitzpatrick),0.270,1.600
2,5:42,1,10,DEN 40,7,0,Penalty on Alex Highsmith: Neutral Zone Infraction 5 yards (accepted) (no play),1.600,2.330
2,5:21,1,5,DEN 45,7,0,Bo Nix pass incomplete short right,2.330,1.730
2,5:15,,,,,,Timeout #1 by Denver Broncos,,
2,5:15,2,5,DEN 45,7,0,Bo Nix left guard for 13 yards (tackle by Damontae Kazee),1.730,2.790
2,4:32,1,10,PIT 42,7,0,Javonte Williams left tackle for 3 yards (tackle by Keeanu Benton and DeShon Elliott),2.790,2.650
2,3:56,2,7,PIT 39,7,0,Bo Nix sacked by T.J. Watt for -8 yards,2.650,0.890
2,3:17,3,15,PIT 47,7,0,Bo Nix pass complete short middle to Marvin Mims for 8 yards (tackle by Minkah Fitzpatrick),0.890,0.660
2,2:32,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,2:32,4,7,PIT 39,7,0,Bo Nix pass incomplete short middle intended for Troy Franklin (defended by Patrick Queen),0.660,-1.530
2,2:28,1,10,PIT 39,7,0,Justin Fields pass complete short right to Van Jefferson for no gain (tackle by Alex Singleton). Penalty on Patrick Surtain: Defensive Holding 5 yards (accepted) (no play),1.530,1.860
