Quarter,Time,Down,ToGo,Location,SEA,NWE,Detail,EPB,EPA
,,,,,,,Seahawks won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,SEA 35,0,0,Jason Myers kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NWE 30,0,0,Rhamondre Stevenson up the middle for 1 yard (tackle by Jerome Baker and Tyrel Dodson),0.940,0.530
1,14:22,2,9,NWE 31,0,0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Jerome Baker),0.530,0.760
1,13:49,3,2,NWE 38,0,0,Jacoby Brissett sacked by Boye Mafe for -9 yards,0.760,-1.440
1,13:12,4,11,NWE 29,0,0,Bryce Baringer punts 56 yards out of bounds,-1.440,0.220
1,13:03,1,10,SEA 15,0,0,Zach Charbonnet left guard for 1 yard (tackle by Anfernee Jennings),-0.220,-0.580
1,12:41,2,9,SEA 16,0,0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 8 yards (tackle by Jonathan Jones),-0.580,-0.270
1,12:32,3,1,SEA 24,0,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 3 yards (tackle by Jabrill Peppers),-0.270,0.740
1,11:34,1,10,SEA 27,0,0,Geno Smith pass complete short left to Tyler Lockett for -1 yards (tackle by Kyle Dugger),0.740,0.060
1,10:49,2,11,SEA 26,0,0,Geno Smith sacked by and Keion White for -4 yards and Daniel Ekuale for -4 yards,0.060,-1.150
1,10:07,3,15,SEA 22,0,0,Geno Smith pass incomplete deep middle intended for Jaxon Smith-Njigba (defended by Jaylinn Hawkins),-1.150,-1.900
1,10:02,4,15,SEA 22,0,0,Michael Dickson punts 53 yards returned by Marcus Jones for 15 yards (tackle by K'Von Wallace and Jake Bobo),-1.900,-1.600
1,9:49,1,10,NWE 40,0,0,Rhamondre Stevenson up the middle for 9 yards (tackle by Boye Mafe and Rayshawn Jenkins),1.600,2.270
1,9:11,2,1,NWE 49,0,0,Jacoby Brissett pass complete short middle to Hunter Henry for 8 yards (tackle by Jerome Baker),2.270,2.720
1,8:30,1,10,SEA 43,0,0,Jacoby Brissett pass complete short right to Hunter Henry for 12 yards (tackle by K'Von Wallace),2.720,3.510
1,7:41,1,10,SEA 31,0,0,Rhamondre Stevenson up the middle for 6 yards (tackle by Boye Mafe),3.510,3.780
1,7:01,2,4,SEA 25,0,0,Antonio Gibson right guard for 2 yards (tackle by Jarran Reed),3.780,3.340
1,6:18,3,2,SEA 23,0,0,Jacoby Brissett pass complete short left to Hunter Henry for 17 yards (tackle by Julian Love and Devon Witherspoon),3.340,5.830
1,5:33,1,6,SEA 6,0,0,Rhamondre Stevenson up the middle for 1 yard (tackle by Jerome Baker and Rayshawn Jenkins),5.830,5.150
1,5:00,2,5,SEA 5,0,6,Jacoby Brissett pass complete short middle to Ja'Lynn Polk for 5 yards touchdown,5.150,7.000
1,4:56,,,SEA 15,0,7,Joey Slye kicks extra point good,0.000,0.000
1,4:56,,,NWE 35,0,7,Joey Slye kicks off 63 yards returned by Laviska Shenault for 26 yards (tackle by Raekwon McMillan and Kyle Dugger),0.000,0.810
1,4:47,1,10,SEA 28,0,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for 5 yards (tackle by Kyle Dugger),0.810,0.940
1,4:10,2,5,SEA 33,0,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for 6 yards (tackle by Marcus Jones),0.940,1.530
1,3:35,1,10,SEA 39,0,7,Zach Charbonnet up the middle for 5 yards (tackle by Jahlani Tavai and Christian Gonzalez),1.530,1.660
1,2:57,2,5,SEA 44,6,7,Geno Smith pass complete deep left to D.K. Metcalf for 56 yards touchdown,1.660,7.000
1,2:50,,,NWE 15,7,7,Jason Myers kicks extra point good,0.000,0.000
1,2:50,,,SEA 35,7,7,Jason Myers kicks off 65 yards touchback.,0.000,0.940
1,2:50,1,10,NWE 30,7,7,Rhamondre Stevenson right tackle for -4 yards (tackle by Dre'Mont Jones and Derick Hall),0.940,-0.150
1,2:11,2,14,NWE 26,7,7,Jacoby Brissett pass complete short left to Austin Hooper for 5 yards (tackle by Devon Witherspoon and Tyrel Dodson),-0.150,-0.160
1,1:28,3,9,NWE 31,7,7,Jacoby Brissett pass complete short right to Hunter Henry for 10 yards (tackle by Tyrel Dodson),-0.160,1.660
1,1:00,1,10,NWE 41,7,7,Rhamondre Stevenson right guard for 3 yards (tackle by Boye Mafe and Leonard Williams),1.660,1.530
1,0:33,2,7,NWE 44,7,7,Jacoby Brissett pass incomplete short right intended for K.J. Osborn,1.530,0.830
1,0:30,3,7,NWE 44,7,7,Jacoby Brissett pass complete short middle to Hunter Henry for 9 yards (tackle by Julian Love),0.830,2.460
2,15:00,1,10,SEA 47,7,7,Antonio Gibson right tackle for 4 yards (tackle by Riq Woolen and Jarran Reed),2.460,2.450
2,14:30,2,6,SEA 43,7,7,Antonio Gibson right end for 19 yards (tackle by Julian Love),2.450,3.970
2,13:48,1,10,SEA 24,7,7,Jacoby Brissett pass complete short middle to Hunter Henry for 7 yards (tackle by Julian Love),3.970,4.460
2,13:15,2,3,SEA 17,7,7,Ja'Lynn Polk right end for no gain (tackle by Tre Brown),4.460,3.750
2,12:37,3,3,SEA 17,7,7,Antonio Gibson right tackle for 4 yards (tackle by Rayshawn Jenkins),3.750,4.710
2,12:02,,,,,,Timeout #1 by New England Patriots,,
2,12:02,1,10,SEA 13,7,7,Jacoby Brissett pass incomplete short right intended for Rhamondre Stevenson (defended by Jerome Baker),4.710,4.050
2,11:56,2,10,SEA 13,7,7,Jacoby Brissett pass complete short middle to Rhamondre Stevenson for 2 yards (tackle by Jarran Reed and Tyrice Knight),4.050,3.450
2,11:14,3,8,SEA 11,7,7,Jacoby Brissett pass incomplete short right intended for Hunter Henry,3.450,2.700
2,11:08,4,8,SEA 11,7,10,Joey Slye 29 yard field goal good,2.700,3.000
2,11:05,,,NWE 35,7,10,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,11:05,1,10,SEA 30,7,10,Zach Charbonnet left tackle for no gain (tackle by Jeremiah Pharms),0.940,0.390
2,10:29,2,10,SEA 30,7,10,Geno Smith pass complete short right to Laviska Shenault for 6 yards (tackle by Kyle Dugger and Raekwon McMillan),0.390,0.500
2,9:48,3,4,SEA 36,7,10,Geno Smith pass complete short left to Jaxon Smith-Njigba for 19 yards (tackle by Kyle Dugger),0.500,2.590
2,9:22,1,10,NWE 45,7,10,Geno Smith pass incomplete deep middle intended for D.K. Metcalf (defended by Deatrich Wise),2.590,2.040
2,9:16,2,10,NWE 45,7,10,Zach Charbonnet left tackle for 5 yards (tackle by Keion White),2.040,2.010
2,8:35,3,5,NWE 40,7,10,Geno Smith pass complete short right to Zach Charbonnet for 4 yards (tackle by Christian Gonzalez),2.010,0.890
2,8:04,4,1,NWE 36,7,10,Geno Smith right guard for 2 yards (tackle by Anfernee Jennings),0.890,3.310
2,7:17,1,10,NWE 34,7,10,Geno Smith pass complete deep right to Jaxon Smith-Njigba for 16 yards (tackle by Marco Wilson),3.310,4.370
2,6:49,1,10,NWE 18,7,10,Zach Charbonnet up the middle for 2 yards (tackle by Davon Godchaux),4.370,4.090
2,6:11,2,8,NWE 16,7,10,Geno Smith pass complete short left to D.K. Metcalf for 3 yards (tackle by Daniel Ekuale and Raekwon McMillan). Penalty on Laken Tomlinson: Ineligible Downfield Pass 5 yards (declined),4.090,3.820
2,6:09,3,5,NWE 13,7,10,Geno Smith pass incomplete short right intended for Tyler Lockett. Penalty on Marco Wilson: Defensive Pass Interference 12 yards (accepted) (no play),3.820,6.970
2,5:52,1,1,NWE 1,13,10,Zach Charbonnet up the middle for 1 yard touchdown,6.970,7.000
2,5:47,,,NWE 15,14,10,Jason Myers kicks extra point good,0.000,0.000
2,5:47,,,SEA 35,14,10,Jason Myers kicks off 65 yards touchback.,0.000,0.940
2,5:47,1,10,NWE 30,14,10,Rhamondre Stevenson right guard for 1 yard (tackle by Tyrel Dodson and Derick Hall),0.940,0.530
2,5:13,2,9,NWE 31,14,10,Jacoby Brissett pass incomplete short right intended for Demario Douglas. Penalty on Devon Witherspoon: Defensive Pass Interference 10 yards (accepted) (no play),0.530,1.660
2,5:05,1,10,NWE 41,14,10,Jacoby Brissett pass complete short right to Hunter Henry for 35 yards (tackle by Rayshawn Jenkins),1.660,3.970
2,4:33,1,10,SEA 24,14,10,Jacoby Brissett pass incomplete short right intended for Ja'Lynn Polk,3.970,3.430
2,4:27,2,10,SEA 24,14,10,Rhamondre Stevenson right guard for 7 yards (tackle by Tyrice Knight),3.430,3.750
2,3:48,3,3,SEA 17,14,10,Jacoby Brissett scrambles up the middle for 1 yard (tackle by Jarran Reed and Rayshawn Jenkins). Penalty on Devon Witherspoon: Illegal Contact 5 yards (accepted),3.750,4.840
2,3:36,1,10,SEA 11,14,10,Jacoby Brissett pass incomplete short right,4.840,4.140
2,3:16,2,10,SEA 11,14,10,Rhamondre Stevenson up the middle for 1 yard (tackle by Devon Witherspoon and Tyrice Knight),4.140,3.300
2,2:39,3,9,SEA 10,14,10,Jacoby Brissett pass incomplete short right intended for Rhamondre Stevenson,3.300,2.760
2,2:34,4,9,SEA 10,14,13,Joey Slye 28 yard field goal good,2.760,3.000
2,2:31,,,NWE 35,14,13,Joey Slye kicks off 65 yards touchback.,0.000,0.940
2,2:31,1,10,SEA 30,14,13,Geno Smith pass complete short right to Jaxon Smith-Njigba for 9 yards. Penalty on D.K. Metcalf: Offensive Pass Interference 10 yards (offset) . Penalty on Christian Gonzalez: Face Mask (15 Yards) 15 yards (offset) (no play),0.940,0.940
2,2:08,1,10,SEA 30,14,13,Zach Charbonnet left end for 5 yards (tackle by Jonathan Jones). Penalty on Anthony Bradford: Unnecessary Roughness / Defense 15 yards (accepted),0.940,-0.960
2,2:00,2,20,SEA 20,14,13,Geno Smith pass complete short middle to D.K. Metcalf for 10 yards (tackle by Jabrill Peppers),-0.960,-0.300
2,1:53,3,10,SEA 30,14,13,Geno Smith pass complete short right to Zach Charbonnet for 4 yards (tackle by Kyle Dugger and Jonathan Jones),-0.300,-1.110
2,1:43,,,,,,Timeout #2 by New England Patriots,,
2,1:43,4,6,SEA 34,14,13,Michael Dickson punts 58 yards out of bounds,-1.110,0.380
2,1:37,1,10,NWE 8,14,13,Jamycal Hasty left end for 2 yards (tackle by Boye Mafe and Tyrice Knight),-0.380,-0.630
2,0:59,2,8,NWE 10,14,13,Jacoby Brissett pass incomplete short right intended for Hunter Henry (defended by Julian Love),-0.630,-1.190
