Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA
,,,,,,,Vikings won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SFO 30,0,0,Brock Purdy pass complete short right to Kyle Juszczyk for 5 yards (tackle by Blake Cashman),0.940,1.070
1,14:25,2,5,SFO 35,0,0,Brock Purdy pass complete short right to Brandon Aiyuk for 2 yards (tackle by Blake Cashman),1.070,0.630
1,13:42,3,3,SFO 37,0,0,Brock Purdy pass incomplete short left intended for Deebo Samuel (defended by Blake Cashman),0.630,-0.910
1,13:35,4,3,SFO 37,0,0,Mitch Wishnowsky punts 58 yards returned by Brandon Powell for 10 yards (tackle by Jake Tonges),-0.910,0.220
1,13:25,1,10,MIN 15,0,0,Sam Darnold pass incomplete short left intended for Justin Jefferson,-0.220,-0.710
1,13:22,2,10,MIN 15,0,0,Sam Darnold pass complete short left to Justin Jefferson for 7 yards (tackle by Nick Bosa),-0.710,-0.510
1,12:46,3,3,MIN 22,0,0,Sam Darnold scrambles left end for 16 yards (tackle by Ji'Ayir Brown),-0.510,1.470
1,12:08,1,10,MIN 38,0,0,Aaron Jones right end for 9 yards (tackle by Maliek Collins),1.470,2.140
1,11:38,2,1,MIN 47,0,0,Sam Darnold pass incomplete deep right intended for Justin Jefferson (defended by Charvarius Ward) (defended by George Odum),2.140,1.420
1,11:34,,,,,,Timeout #1 by Minnesota Vikings,,
1,11:34,3,1,MIN 47,0,0,Aaron Jones up the middle for 1 yard (tackle by De'Vondre Campbell and Deommodore Lenoir),1.420,2.130
1,10:50,1,10,MIN 48,0,0,Penalty on Justin Jefferson: Illegal Shift 5 yards (declined),2.130,-0.170
1,10:42,2,23,MIN 35,0,0,Sam Darnold pass complete right to Justin Jefferson for 13 yards (tackle by Ji'Ayir Brown),-0.170,0.890
1,9:47,3,10,MIN 48,0,0,Sam Darnold pass incomplete short middle intended for Aaron Jones (defended by Fred Warner),0.890,-0.190
1,9:43,4,10,MIN 48,0,0,Ryan Wright punts 52 yards touchback.,-0.190,-0.280
1,9:31,1,10,SFO 20,0,0,Brock Purdy pass complete short left to George Kittle for 25 yards (tackle by Ivan Pace),0.280,1.930
1,9:09,1,10,SFO 45,0,0,Jordan Mason right end for no gain (tackle by Harrison Smith). Penalty on Deebo Samuel: Offensive Holding 10 yards (accepted) (no play),1.930,1.270
1,8:37,1,20,SFO 35,0,0,Brock Purdy pass complete short left to Jauan Jennings for 12 yards (tackle by Blake Cashman and Harrison Smith),1.270,1.650
1,7:58,2,8,SFO 47,0,0,Jordan Mason right end for 3 yards (tackle by Byron Murphy),1.650,1.360
1,7:12,3,5,MIN 50,0,0,Brock Purdy pass incomplete deep middle intended for Jauan Jennings,1.360,-0.060
