Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA
,,,,,,,Lions won the coin toss and deferred Buccaneers to receive the opening kickoff.,,
1,15:00,,,DET 35,0,0,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,TAM 30,0,0,Baker Mayfield pass complete short left to Chris Godwin for 1 yard (tackle by Derrick Barnes),0.940,0.530
1,14:22,2,9,TAM 31,0,0,Baker Mayfield pass complete short middle to Chris Godwin for 18 yards (tackle by Carlton Davis),0.530,2.190
1,13:39,1,10,TAM 49,0,0,Rachaad White right tackle for 5 yards (tackle by Carlton Davis),2.190,2.320
1,13:01,2,5,DET 46,0,0,Baker Mayfield pass incomplete deep left intended for Trey Palmer. Penalty on Terrion Arnold: Defensive Pass Interference 41 yards (accepted) (no play),2.320,6.060
1,12:54,1,5,DET 5,0,0,Rachaad White up the middle for 2 yards (tackle by Brian Branch),6.060,5.530
1,12:19,2,3,DET 3,0,0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Brian Branch),5.530,4.720
1,12:16,3,3,DET 3,0,0,Baker Mayfield sacked by Aidan Hutchinson for -9 yards. Baker Mayfield fumbles (forced by Aidan Hutchinson) recovered by Justin Skule at DET-12,4.720,2.630
1,11:34,4,12,DET 12,3,0,Chase McLaughlin 30 yard field goal good,2.630,3.000
1,11:31,,,TAM 35,3,0,Jake Camarda kicks off 65 yards touchback.,0.000,0.940
1,11:31,1,10,DET 30,3,0,Jared Goff pass deep middle intended for Jameson Williams is intercepted by Zyon McCollum at DET-48 and returned for 4 yards (tackle by Amon-Ra St. Brown),0.940,-2.650
1,11:20,1,10,DET 44,3,0,Penalty on Cody Mauch: False Start 5 yards (accepted) (no play),2.650,2.320
1,11:20,1,15,DET 49,3,0,Rachaad White left tackle for 5 yards (tackle by Alex Anzalone),2.320,2.110
1,10:35,2,10,DET 44,3,0,Baker Mayfield sacked by Aidan Hutchinson for -12 yards,2.110,-0.160
1,9:52,3,22,TAM 44,3,0,Baker Mayfield pass complete short right to Chris Godwin for 19 yards (tackle by Carlton Davis),-0.160,0.790
1,9:05,4,3,DET 37,6,0,Chase McLaughlin 55 yard field goal good,0.790,3.000
1,9:00,,,TAM 35,6,0,Jake Camarda kicks off 66 yards returned by Tom Kennedy for 31 yards (tackle by Tavierre Thomas),0.000,0.940
1,8:55,1,10,DET 30,6,0,Jared Goff pass complete deep right to Jameson Williams for 50 yards (tackle by Jamel Dean),0.940,4.240
1,8:08,1,10,TAM 20,6,0,Jared Goff pass incomplete deep left intended for Sam LaPorta. Penalty on YaYa Diaby: Roughing the Passer 10 yards (accepted) (no play),4.240,4.910
1,8:01,1,10,TAM 10,6,0,Jared Goff pass incomplete short right,4.910,4.190
1,7:56,2,10,TAM 10,6,0,David Montgomery right tackle for 7 yards (tackle by Jordan Whitehead),4.190,4.720
1,7:17,3,3,TAM 3,6,0,Jared Goff pass incomplete short right intended for Jameson Williams,4.720,3.040
1,7:16,4,3,TAM 3,6,3,Jake Bates 22 yard field goal good,3.040,3.000
1,7:13,,,DET 35,6,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,7:13,1,10,TAM 30,6,3,Baker Mayfield pass incomplete short middle intended for Mike Evans,0.940,0.390
1,7:07,2,10,TAM 30,6,3,Baker Mayfield scrambles up the middle for 12 yards (tackle by Brian Branch),0.390,1.730
1,6:22,1,10,TAM 42,6,3,Bucky Irving left tackle for 2 yards (tackle by Derrick Barnes),1.730,1.460
1,5:42,2,8,TAM 44,6,3,Baker Mayfield pass incomplete deep right intended for Chris Godwin (defended by Amik Robertson),1.460,0.760
1,5:38,3,8,TAM 44,6,3,Baker Mayfield sacked by Aidan Hutchinson for -7 yards,0.760,-0.910
1,4:45,4,15,TAM 37,6,3,Jake Camarda punts 47 yards downed by SirVocea Dennis,-0.910,0.140
1,4:36,1,10,DET 16,6,3,Jahmyr Gibbs left end for 4 yards (tackle by William Gholston),-0.140,0.010
1,3:58,2,6,DET 20,6,3,Jared Goff pass complete short left to Jameson Williams for 5 yards (tackle by Jamel Dean),0.010,-0.200
1,3:20,3,1,DET 25,6,3,Jared Goff pass complete short middle to Amon-Ra St. Brown for 15 yards (tackle by Christian Izien). Penalty on Jamel Dean: Defensive Holding 5 yards (declined),-0.200,1.600
1,2:56,1,10,DET 40,6,3,Jahmyr Gibbs right tackle for 8 yards (tackle by K.J. Britt),1.600,2.130
1,2:23,2,2,DET 48,6,3,Jared Goff pass complete short right to Amon-Ra St. Brown for 4 yards (tackle by Zyon McCollum),2.130,2.390
1,1:47,1,10,TAM 48,6,3,Jahmyr Gibbs left end for 4 yards (tackle by Jordan Whitehead and Jamel Dean),2.390,2.390
1,1:14,2,6,TAM 44,6,3,Jared Goff pass complete deep right to Amon-Ra St. Brown for 16 yards (tackle by Jordan Whitehead),2.390,3.710
1,0:28,1,10,TAM 28,6,3,Jared Goff pass complete short middle to Amon-Ra St. Brown for 6 yards (tackle by Zyon McCollum),3.710,3.980
2,15:00,2,4,TAM 22,6,3,Jared Goff pass complete short right to Jahmyr Gibbs for 4 yards (tackle by Lavonte David),3.980,4.370
2,14:13,1,10,TAM 18,6,3,Jahmyr Gibbs right tackle for no gain (tackle by Joe Tryon-Shoyinka and YaYa Diaby),4.370,3.800
2,13:36,2,10,TAM 18,6,3,Jared Goff pass incomplete short left intended for Jameson Williams,3.800,3.050
