,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Beaux Limmer,C,52,100%,0,0%,2,8%,LimmBe00
Warren McClendon,T,52,100%,0,0%,2,8%,McClWa00
Jonah Jackson,C,52,100%,0,0%,2,8%,JackJo03
Rob Havenstein,T,52,100%,0,0%,2,8%,HaveRo00
Kevin Dotson,G,52,100%,0,0%,0,0%,DotsKe00
Matthew Stafford,QB,52,100%,0,0%,0,0%,StafMa00
Demarcus Robinson,WR,48,92%,0,0%,0,0%,RobiDe01
Tyler Johnson,WR,45,87%,0,0%,0,0%,JohnTy00
Colby Parkinson,TE,42,81%,0,0%,0,0%,ParkCo02
Kyren Williams,RB,41,79%,0,0%,1,4%,WillKy02
Cooper Kupp,WR,27,52%,0,0%,0,0%,KuppCo00
Jordan Whittington,WR,26,50%,0,0%,12,48%,WhitJo04
Hunter Long,TE,10,19%,0,0%,14,56%,LongHu00
Tutu Atwell,WR,10,19%,0,0%,0,0%,AtweTu00
Blake Corum,RB,8,15%,0,0%,11,44%,CoruBl00
Ronnie Rivers,RB,3,6%,0,0%,12,48%,RiveRo01
Kamren Curl,SS,0,0%,66,100%,7,28%,CurlKa00
Quentin Lake,FS,0,0%,66,100%,7,28%,LakeQu00
Troy Reeder,LB,0,0%,65,98%,7,28%,ReedTr01
Tre'Davious White,CB,0,0%,60,91%,7,28%,WhitTr01
Kobie Turner,NT,0,0%,55,83%,7,28%,TurnKo00
Christian Rozeboom,LB,0,0%,52,79%,11,44%,RozeCh00
Braden Fiske,DT,0,0%,52,79%,7,28%,FiskBr00
Cobie Durant,CB,0,0%,48,73%,6,24%,DuraDe01
Jared Verse,LB,0,0%,48,73%,0,0%,VersJa00
Michael Hoecht,LB,0,0%,42,64%,9,36%,HoecMi00
Byron Young,LB,0,0%,42,64%,0,0%,YounBy01
Bobby Brown,NT,0,0%,37,56%,6,24%,BrowBo04
John Johnson,SS,0,0%,21,32%,0,0%,JohnJo10
Desjuan Johnson,DT,0,0%,21,32%,0,0%,JohnDe08
Josh Wallace,CB,0,0%,18,27%,4,16%,WallJo00
Neville Gallimore,NT,0,0%,16,24%,1,4%,GallNe00
Kamren Kinchens,FS,0,0%,9,14%,12,48%,KincKa00
Charles Woods,CB,0,0%,6,9%,8,32%,WoodCh01
Nick Hampton,LB,0,0%,1,2%,16,64%,HampNi00
Jaylen McCollough,FS,0,0%,1,2%,12,48%,McCoJa02
Jake Hummel,LB,0,0%,0,0%,23,92%,HummJa00
Omar Speights,LB,0,0%,0,0%,16,64%,SpeiOm00
Nikola Kalinic,TE,0,0%,0,0%,14,56%,KaliNi00
Elias Neal,LB,0,0%,0,0%,12,48%,NealEl00
Ethan Evans,P,0,0%,0,0%,9,36%,EvanEt00
Alex Ward,LS,0,0%,0,0%,6,24%,WardAl00
Cam Lampkin,CB,0,0%,0,0%,4,16%,LampCa00
Joshua Karty,K,0,0%,0,0%,2,8%,KartJo00
Geron Christian,T,0,0%,0,0%,2,8%,ChriGe01
Logan Bruss,G,0,0%,0,0%,2,8%,BrusLo00
