,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Austin Jackson,T,76,100%,0,0%,2,10%,JackAu00
Liam Eichenberg,G,76,100%,0,0%,2,10%,EichLi00
Aaron Brewer,G,76,100%,0,0%,0,0%,BrewAa01
Jaylen Waddle,WR,55,72%,0,0%,0,0%,WaddJa00
Tua Tagovailoa,QB,55,72%,0,0%,0,0%,TagoTu00
Tyreek Hill,WR,52,68%,0,0%,0,0%,HillTy00
De'Von Achane,RB,47,62%,0,0%,0,0%,AchaDe00
Terron Armstead,T,46,61%,0,0%,0,0%,ArmsTe00
Robert Jones,G,40,53%,0,0%,2,10%,JoneRo02
Lester Cotton,G,36,47%,0,0%,2,10%,CottLe00
Braxton Berrios,WR,34,45%,0,0%,9,43%,BerrBr00
Durham Smythe,TE,33,43%,0,0%,6,29%,SmytDu00
Jonnu Smith,TE,32,42%,0,0%,0,0%,SmitJo01
Kendall Lamm,T,30,39%,0,0%,2,10%,LammKe00
Julian Hill,TE,28,37%,0,0%,11,53%,HillJu02
Grant Dubose,WR,26,34%,0,0%,0,0%,DuboGr00
Alec Ingold,FB,24,32%,0,0%,7,33%,IngoAl01
Skylar Thompson,QB,21,28%,0,0%,0,0%,ThomSk00
Jaylen Wright,RB,18,24%,0,0%,0,0%,WrigJa04
Robbie Chosen,WR,17,22%,0,0%,0,0%,AndeRo04
Jeff Wilson,RB,11,14%,0,0%,8,38%,WilsJe01
Tanner Conner,WR,3,4%,0,0%,10,48%,ConnTa00
Jordyn Brooks,LB,0,0%,45,100%,5,24%,BrooJo01
David Long,LB,0,0%,45,100%,3,14%,LongDa04
Kendall Fuller,CB,0,0%,41,91%,6,29%,FullKe00
Jevon Holland,SS,0,0%,41,91%,0,0%,HollJe02
Jalen Ramsey,CB,0,0%,41,91%,0,0%,RamsJa00
Jordan Poyer,SS,0,0%,41,91%,0,0%,PoyeJo00
Zach Sieler,DE,0,0%,35,78%,10,48%,SielZa00
Emmanuel Ogbah,DE,0,0%,28,62%,8,38%,OgbaEm00
Kader Kohou,CB,0,0%,27,60%,0,0%,KohoKa00
Chop Robinson,LB,0,0%,24,53%,9,43%,RobiCh00
Da'Shawn Hand,DE,0,0%,24,53%,8,38%,HandDa00
Calais Campbell,DE,0,0%,23,51%,10,48%,CampCa99
Jaelan Phillips,LB,0,0%,23,51%,0,0%,PhilJa02
Quinton Bell,LB,0,0%,16,36%,19,91%,BellQu00
Benito Jones,DT,0,0%,16,36%,0,0%,JoneBe03
Brandon Pili,NT,0,0%,9,20%,0,0%,PiliBr00
Siran Neal,CB,0,0%,4,9%,19,91%,NealSi00
Elijah Campbell,SS,0,0%,4,9%,13,62%,CampEl00
Marcus Maye,FS,0,0%,4,9%,9,43%,MayeMa00
Storm Duck,CB,0,0%,4,9%,7,33%,DuckSt00
Duke Riley,LB,0,0%,0,0%,19,91%,RileDu00
Anthony Walker,LB,0,0%,0,0%,11,53%,WalkAn01
Jason Sanders,K,0,0%,0,0%,5,24%,SandJa00
Jake Bailey,P,0,0%,0,0%,3,14%,BailJa00
Blake Ferguson,LS,0,0%,0,0%,3,14%,FergBl00
Patrick Paul,T,0,0%,0,0%,2,10%,PaulPa01
