,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Lucas Patrick,G,59,100%,0,0%,7,26%,PatrLu00
Cesar Ruiz,C,59,100%,0,0%,7,26%,RuizCe00
Erik McCoy,C,53,90%,0,0%,7,26%,McCoEr01
Taliese Fuaga,T,53,90%,0,0%,7,26%,FuagTa00
Trevor Penning,T,53,90%,0,0%,7,26%,PennTr00
Derek Carr,QB,53,90%,0,0%,0,0%,CarrDe02
Foster Moreau,TE,47,80%,0,0%,7,26%,MoreFo00
Chris Olave,WR,42,71%,0,0%,0,0%,OlavCh00
Rashid Shaheed,WR,39,66%,0,0%,6,22%,ShahRa00
Alvin Kamara,RB,37,63%,0,0%,0,0%,KamaAl00
Taysom Hill,TE,28,47%,0,0%,5,19%,HillTa00
Adam Prentice,FB,26,44%,0,0%,6,22%,PrenAd00
Juwan Johnson,TE,24,41%,0,0%,6,22%,JohnJu02
Jamaal Williams,RB,15,25%,0,0%,1,4%,WillJa06
Mason Tipton,WR,15,25%,0,0%,0,0%,TiptMa00
Cedrick Wilson Jr.,WR,12,20%,0,0%,8,30%,WilsCe01
Landon Young,T,7,12%,0,0%,7,26%,YounLa00
Nick Saldiveri,G,6,10%,0,0%,7,26%,SaldNi00
Bub Means,WR,6,10%,0,0%,2,7%,MeanBu00
Jake Haener,QB,6,10%,0,0%,0,0%,HaenJa00
Oli Udoh,T,6,10%,0,0%,0,0%,UdohOl01
Jordan Mims,RB,3,5%,0,0%,3,11%,MimsJo00
Will Harris,FS,0,0%,70,100%,13,48%,HarrWi02
Tyrann Mathieu,FS,0,0%,67,96%,0,0%,MathTy00
Demario Davis,LB,0,0%,67,96%,0,0%,DaviDe00
Paulson Adebo,CB,0,0%,67,96%,0,0%,AdebPa00
Alontae Taylor,CB,0,0%,66,94%,5,19%,TaylAl01
Kool-Aid McKinstry,CB,0,0%,61,87%,3,11%,McKiKo00
Carl Granderson,DE,0,0%,54,77%,5,19%,GranCa01
Pete Werner,LB,0,0%,51,73%,1,4%,WernPe00
Chase Young,DE,0,0%,50,71%,5,19%,YounCh04
Bryan Bresee,DT,0,0%,48,69%,5,19%,BresBr00
Nathan Shepherd,DT,0,0%,36,51%,5,19%,ShepNa00
Cameron Jordan,DE,0,0%,34,49%,0,0%,JordCa00
Jordan Howden,SS,0,0%,22,31%,20,74%,HowdJo00
Payton Turner,DE,0,0%,20,29%,7,26%,TurnPa02
John Ridgeway,DT,0,0%,16,23%,0,0%,RidgJo00
Khristian Boyd,DT,0,0%,13,19%,0,0%,BoydKh00
Willie Gay Jr.,LB,0,0%,11,16%,15,56%,GayJWi00
Ugo Amadi,FS,0,0%,7,10%,6,22%,AmadUg00
Isaiah Foskey,DE,0,0%,3,4%,20,74%,FoskIs00
Anfernee Orji,LB,0,0%,3,4%,20,74%,OrjiAn00
Rico Payton,CB,0,0%,3,4%,9,33%,PaytRi00
J.T. Gray,SS,0,0%,1,1%,20,74%,GrayJ.00
Blake Grupe,K,0,0%,0,0%,15,56%,GrupBl00
Isaiah Stalbird,LB,0,0%,0,0%,14,52%,StalIs00
Matthew Hayball,P,0,0%,0,0%,8,30%,HaybMa00
Zach Wood,LS,0,0%,0,0%,8,30%,WoodZa00
