,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Kelvin Beachum,T,66,100%,0,0%,7,28%,BeacKe00
Evan Brown,C,66,100%,0,0%,7,28%,BrowEv00
Paris Johnson,T,60,91%,0,0%,7,28%,JohnPa03
Hjalte Froholdt,C,60,91%,0,0%,7,28%,FrohHj00
Kyler Murray,QB,60,91%,0,0%,0,0%,MurrKy00
Will Hernandez,G,60,91%,0,0%,0,0%,HernWi00
Trey McBride,TE,55,83%,0,0%,0,0%,McBrTr01
Marvin Harrison Jr.,WR,46,70%,0,0%,0,0%,HarrMa09
Michael Wilson,WR,45,68%,0,0%,0,0%,WilsMi02
James Conner,RB,41,62%,0,0%,0,0%,ConnJa00
Tip Reiman,TE,38,58%,0,0%,10,40%,ReimTi00
Elijah Higgins,TE,36,55%,0,0%,4,16%,HiggEl00
Greg Dortch,WR,23,35%,0,0%,4,16%,DortGr01
Trey Benson,RB,22,33%,0,0%,0,0%,BensTr01
Chris Moore,WR,9,14%,0,0%,0,0%,MoorCh00
Zach Pascal,WR,8,12%,0,0%,15,60%,PascZa00
Emari Demercado,RB,7,11%,0,0%,6,24%,DemeEm00
Trystan Colon-Castillo,C,6,9%,0,0%,7,28%,ColoTr01
Jackson Barton,T,6,9%,0,0%,7,28%,BartJa00
Isaiah Adams,G,6,9%,0,0%,7,28%,AdamIs01
Clayton Tune,QB,6,9%,0,0%,0,0%,TuneCl00
Budda Baker,SS,0,0%,44,85%,3,12%,BakeBu00
Sean Murphy-Bunting,CB,0,0%,44,85%,2,8%,BuntSe00
Garrett Williams,CB,0,0%,44,85%,2,8%,WillGa00
Kyzir White,LB,0,0%,44,85%,1,4%,WhitKy00
Jalen Thompson,FS,0,0%,44,85%,0,0%,ThomJa04
Justin Jones,DT,0,0%,35,67%,1,4%,JoneJu03
Starling Thomas,CB,0,0%,35,67%,1,4%,ThomSt01
Dennis Gardeck,LB,0,0%,26,50%,4,16%,GardDe01
Max Melton,CB,0,0%,25,48%,16,64%,MeltMa00
Zaven Collins,LB,0,0%,23,44%,1,4%,CollZa00
Mack Wilson,LB,0,0%,23,44%,1,4%,WilsMa03
Roy Lopez,NT,0,0%,22,42%,3,12%,LopeRo00
Xavier Thomas,LB,0,0%,21,40%,8,32%,ThomXa01
Bilal Nichols,DT,0,0%,21,40%,3,12%,NichBi00
Krys Barnes,LB,0,0%,20,38%,17,68%,BarnKr00
L.J. Collier,DT,0,0%,20,38%,0,0%,CollLJ00
Owen Pappoe,LB,0,0%,16,31%,17,68%,PappOw00
Julian Okwara,LB,0,0%,15,29%,2,8%,OkwaJu00
Khyiris Tonga,NT,0,0%,15,29%,2,8%,TongKh00
Victor Dimukeje,LB,0,0%,11,21%,15,60%,DimuVi00
Dadrion Taylor-Demerson,FS,0,0%,8,15%,16,64%,TaylDa02
Joey Blount,FS,0,0%,8,15%,15,60%,BlouJo00
Kei'Trel Clark,CB,0,0%,8,15%,11,44%,ClarKe02
Matt Prater,K,0,0%,0,0%,15,60%,PratMa20
DeeJay Dallas,RB,0,0%,0,0%,15,60%,DallDe00
Aaron Brewer,LS,0,0%,0,0%,8,32%,BrewAa00
Blake Gillikin,P,0,0%,0,0%,8,32%,GillBl00
