Quarter,Time,Down,ToGo,Location,BAL,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 65 yards returned by Juanyeh Thomas for 25 yards (tackle by Malik Harrison). Penalty on KaVontae Turpin: Offensive Holding 10 yards (accepted),0.000,-0.220
1,14:54,1,10,DAL 15,0,0,Dak Prescott pass complete short right to Rico Dowdle for 1 yard (tackle by Trenton Simpson),-0.220,-0.580
1,14:18,2,9,DAL 16,0,0,Dak Prescott pass incomplete short right intended for Brandin Cooks. Penalty on Odafe Oweh: Defensive Holding 5 yards (accepted) (no play),-0.580,0.340
1,14:12,1,10,DAL 21,0,0,Rico Dowdle left guard for 3 yards (tackle by Travis Jones),0.340,0.210
1,13:35,2,7,DAL 24,0,0,Rico Dowdle up the middle for 6 yards (tackle by Roquan Smith),0.210,0.300
1,13:08,3,1,DAL 30,0,0,Penalty on Brevyn Spann-Ford: False Start 4 yards (accepted) (no play),0.300,-0.230
1,12:59,3,5,DAL 26,0,0,Dak Prescott pass complete short right to Brandin Cooks for 7 yards (tackle by Kyle Hamilton),-0.230,1.140
1,12:29,1,10,DAL 33,0,0,Dak Prescott pass incomplete short middle intended for Rico Dowdle,1.140,0.590
1,12:24,2,10,DAL 33,0,0,Dak Prescott pass incomplete short right intended for Jalen Brooks,0.590,-0.100
1,12:18,3,10,DAL 33,0,0,Penalty on Jake Ferguson: False Start 5 yards (accepted) (no play),-0.100,-0.760
1,12:18,3,15,DAL 28,0,0,Dak Prescott pass incomplete short right intended for Brandin Cooks (defended by Marlon Humphrey),-0.760,-1.500
1,12:13,4,15,DAL 28,0,0,Bryan Anger punts 56 yards returned by Deonte Harty for 13 yards (tackle by Juanyeh Thomas),-1.500,-0.870
1,12:03,1,10,BAL 29,0,0,Lamar Jackson left end for 12 yards (tackle by Malik Hooker),0.870,1.660
1,11:27,1,10,BAL 41,0,0,Derrick Henry right guard for 3 yards (tackle by DeMarcus Lawrence),1.660,1.530
1,10:51,2,7,BAL 44,0,0,Justice Hill left end for 17 yards (tackle by Donovan Wilson),1.530,2.980
1,10:15,1,10,DAL 39,0,0,Lamar Jackson pass complete short right to Charlie Kolar for 30 yards (tackle by Caelen Carson),2.980,5.140
1,9:42,1,9,DAL 9,6,0,Lamar Jackson left end for 9 yards touchdown,5.140,7.000
1,9:36,,,DAL 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,9:36,,,BAL 35,7,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,9:36,1,10,DAL 30,7,0,Rico Dowdle up the middle for 5 yards (tackle by Michael Pierce),0.940,1.070
1,9:09,2,5,DAL 35,7,0,Rico Dowdle up the middle for 4 yards (tackle by Roquan Smith and Trenton Simpson),1.070,0.890
1,8:35,3,1,DAL 39,7,0,Dak Prescott pass complete deep left to Hunter Luepke for 17 yards (tackle by Kyle Hamilton),0.890,2.650
1,8:03,1,10,BAL 44,7,0,Deuce Vaughn left tackle for 1 yard (tackle by Roquan Smith),2.650,2.250
1,7:26,2,9,BAL 43,7,0,Dak Prescott pass incomplete short middle intended for Jake Ferguson (defended by Marcus Williams),2.250,1.550
1,7:21,3,9,BAL 43,7,0,Dak Prescott sacked by Kyle Van Noy for -3 yards,1.550,0.200
