Quarter,Time,Down,ToGo,Location,CAR,LVR,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 65 yards returned by Xavier Legette for 30 yards (tackle by Kana'i Mauga and Sam Webb),0.000,0.940
1,14:53,1,10,CAR 30,0,0,Andy Dalton pass complete short left to Adam Thielen for 4 yards (tackle by Tre'von Moehrig),0.940,0.930
1,14:21,2,6,CAR 34,0,0,Chuba Hubbard left guard for 4 yards (tackle by Robert Spillane and Luke Masterson),0.930,0.760
1,13:44,3,2,CAR 38,0,0,Andy Dalton pass complete short middle to Adam Thielen for 5 yards (tackle by Tre'von Moehrig),0.760,1.800
1,12:57,1,10,CAR 43,0,0,Andy Dalton pass complete deep left to Diontae Johnson for 17 yards,1.800,2.920
1,12:22,1,10,LVR 40,0,0,Chuba Hubbard right tackle for 8 yards (tackle by Jack Jones),2.920,3.450
1,11:41,2,2,LVR 32,0,0,Chuba Hubbard up the middle for 6 yards (tackle by John Jenkins and Luke Masterson),3.450,3.840
1,10:58,1,10,LVR 26,0,0,Andy Dalton pass complete deep middle to Tommy Tremble for 20 yards (tackle by Tre'von Moehrig),3.840,5.830
1,10:24,1,6,LVR 6,0,0,Andy Dalton pass incomplete short left intended for Diontae Johnson,5.830,4.950
1,10:20,2,6,LVR 6,6,0,Andy Dalton pass complete short right to Chuba Hubbard for 6 yards touchdown,4.950,7.000
1,10:13,,,LVR 15,7,0,Eddy Pineiro kicks extra point good,0.000,0.000
1,10:13,,,CAR 35,7,0,Eddy Pineiro kicks off 65 yards touchback.,0.000,0.940
1,10:13,1,10,LVR 30,7,0,Zamir White left guard for 2 yards (tackle by LaBryan Ray),0.940,0.660
1,9:33,2,8,LVR 32,7,0,Zamir White up the middle for 4 yards (tackle by Troy Hill and A'Shawn Robinson),0.660,0.500
1,9:08,3,4,LVR 36,7,0,Gardner Minshew pass incomplete deep right intended for Jakobi Meyers,0.500,-0.980
1,9:03,4,4,LVR 36,7,0,AJ Cole punts 55 yards returned by Raheem Blackshear for 7 yards (tackle by Tommy Eichenberg). Penalty on DJ Turner: Player Out of Bounds on Kick 5 yards (accepted),-0.980,-0.340
1,8:51,1,10,CAR 21,7,0,Andy Dalton pass incomplete deep middle intended for Jonathan Mingo,0.340,-0.200
1,8:46,2,10,CAR 21,7,0,Andy Dalton pass complete short middle to Tommy Tremble for 4 yards (tackle by Marcus Epps),-0.200,-0.360
1,8:05,3,6,CAR 25,7,0,Penalty on Janarius Robinson: Neutral Zone Infraction 5 yards (accepted) (no play),-0.360,0.300
1,7:57,3,1,CAR 30,7,0,Chuba Hubbard up the middle for 13 yards (tackle by Marcus Epps),0.300,1.800
1,7:19,1,10,CAR 43,7,0,Chuba Hubbard up the middle for 5 yards (tackle by Adam Butler),1.800,1.930
1,6:44,2,5,CAR 48,7,0,Chuba Hubbard right guard for 3 yards (tackle by Luke Masterson and Adam Butler),1.930,1.620
1,6:02,3,2,LVR 49,7,0,Andy Dalton pass incomplete short left intended for Diontae Johnson (defended by Jakorian Bennett),1.620,0.000
1,5:58,4,2,LVR 49,7,0,Johnny Hekker punts 46 yards downed by Lonnie Johnson,0.000,0.380
1,5:48,1,10,LVR 3,7,0,Zamir White up the middle for 3 yards (tackle by LaBryan Ray and A'Shawn Robinson),-0.380,-0.560
1,5:11,2,7,LVR 6,7,0,Zamir White up the middle for 3 yards (tackle by Xavier Woods),-0.560,-0.720
1,4:31,3,4,LVR 9,7,0,Gardner Minshew pass complete short left to Alexander Mattison for 11 yards (tackle by Charles Harris),-0.720,0.280
1,3:50,1,10,LVR 20,7,0,Gardner Minshew pass complete short right to Jakobi Meyers for no gain (tackle by Michael Jackson),0.280,-0.270
1,3:09,2,10,LVR 20,7,0,Gardner Minshew pass complete deep middle to Tre Tucker for 54 yards (tackle by Michael Jackson and Jordan Fuller),-0.270,3.840
1,2:32,1,10,CAR 26,7,0,Zamir White right guard for no gain (tackle by A'Shawn Robinson and Shaq Thompson) (no play),3.840,4.570
1,2:13,1,5,CAR 21,7,0,Zamir White left guard for 9 yards (tackle by Michael Jackson and Xavier Woods),4.570,4.780
1,1:31,1,10,CAR 12,7,0,Zamir White left tackle for 6 yards (tackle by LaBryan Ray and Shaq Thompson),4.780,5.210
1,1:04,2,4,CAR 6,7,0,Gardner Minshew pass incomplete short left intended for Michael Mayer,5.210,4.380
1,0:59,3,4,CAR 6,7,0,Gardner Minshew scrambles right end for 4 yards (tackle by DeShawn Williams),4.380,6.740
1,0:33,1,2,CAR 2,7,6,Alexander Mattison up the middle for 2 yards touchdown,6.740,7.000
1,0:24,,,CAR 15,7,7,Daniel Carlson kicks extra point good,0.000,0.000
1,0:24,,,LVR 35,7,7,Daniel Carlson kicks off 65 yards returned by Raheem Blackshear for 25 yards (tackle by Thomas Harper),0.000,0.610
1,0:17,1,10,CAR 25,7,7,Chuba Hubbard up the middle for 3 yards (tackle by Adam Butler and Robert Spillane),0.610,0.470
2,15:00,2,7,CAR 28,7,7,Chuba Hubbard up the middle for 8 yards (tackle by Robert Spillane),0.470,1.330
2,14:25,1,10,CAR 36,7,7,Jonathan Mingo right end for 2 yards (tackle by Tre'von Moehrig),1.330,1.060
2,13:38,2,8,CAR 38,7,7,Andy Dalton sacked by Robert Spillane for -6 yards,1.060,-0.430
2,12:54,3,14,CAR 32,7,7,Andy Dalton pass complete deep right to Diontae Johnson for 23 yards (tackle by Robert Spillane),-0.430,2.590
2,12:08,1,10,LVR 45,7,7,Chuba Hubbard left tackle for no gain (tackle by Maxx Crosby and Nesta Jade Silvera),2.590,2.040
2,11:24,2,10,LVR 45,7,7,Andy Dalton pass complete short middle to Xavier Legette for 35 yards (tackle by Marcus Epps). Penalty on Tyree Wilson: Defensive Offside 5 yards (declined),2.040,4.910
2,10:59,1,10,LVR 10,7,7,Chuba Hubbard right end for no gain (tackle by Robert Spillane and Maxx Crosby),4.910,4.190
2,10:16,2,10,LVR 10,7,7,Andy Dalton pass complete short right to Chuba Hubbard for 5 yards (tackle by Marcus Epps),4.190,4.260
2,9:33,3,5,LVR 5,13,7,Andy Dalton pass complete short right to Diontae Johnson for 5 yards touchdown,4.260,7.000
2,9:28,,,LVR 15,14,7,Eddy Pineiro kicks extra point good,0.000,0.000
2,9:28,,,CAR 35,14,7,Eddy Pineiro kicks off 25 yards. Penalty on Eddy Pineiro: Kickoff Short of Landing Zone (accepted),0.000,1.600
2,9:28,1,10,LVR 40,14,7,Gardner Minshew pass complete short right to Davante Adams for 15 yards (tackle by Jaycee Horn and Josey Jewell),1.600,2.590
2,8:54,1,10,CAR 45,14,7,Zamir White right tackle for 2 yards (tackle by Josey Jewell),2.590,2.310
2,8:15,2,8,CAR 43,14,7,Zamir White up the middle for 1 yard (tackle by Josey Jewell),2.310,1.750
2,7:36,3,7,CAR 42,14,7,Alexander Mattison up the middle for 3 yards (tackle by Jayden Peevy),1.750,0.660
2,6:58,4,4,CAR 39,14,7,Gardner Minshew pass incomplete short left intended for Brock Bowers (defended by Michael Jackson),0.660,-1.530
2,6:53,1,10,CAR 39,14,7,Miles Sanders up the middle for 6 yards (tackle by Robert Spillane and Luke Masterson),1.530,1.800
2,6:13,2,4,CAR 45,14,7,Andy Dalton sacked by and Christian Wilkins for -7 yards and Charles Snowden for -7 yards,1.800,0.170
2,5:26,3,11,CAR 38,14,7,Andy Dalton pass incomplete short middle intended for Adam Thielen,0.170,-0.850
2,5:18,4,11,CAR 38,14,7,Johnny Hekker punts 37 yards downed by Claudin Cherelus,-0.850,-0.610
2,5:08,1,10,LVR 25,14,7,Gardner Minshew pass incomplete short right intended for Davante Adams. Penalty on Jaycee Horn: Defensive Pass Interference 15 yards (accepted) (no play),0.610,1.600
2,5:03,1,10,LVR 40,14,7,Alexander Mattison right guard for 2 yards (tackle by Shaq Thompson),1.600,1.320
2,4:24,2,8,LVR 42,14,7,Gardner Minshew pass complete short middle to Davante Adams for 6 yards (tackle by Trevin Wallace),1.320,1.420
2,3:45,3,2,LVR 48,14,7,Gardner Minshew pass incomplete short right intended for Davante Adams (defended by Troy Hill),1.420,-0.190
2,3:39,4,2,LVR 48,14,7,AJ Cole punts 47 yards out of bounds,-0.190,0.380
2,3:31,1,10,CAR 5,14,7,Miles Sanders up the middle for -1 yards (tackle by Marcus Epps and Maxx Crosby),-0.380,-0.850
2,3:04,,,,,,Timeout #1 by Las Vegas Raiders,,
2,3:04,2,11,CAR 4,14,7,Andy Dalton pass complete short left to Jonathan Mingo for 15 yards (tackle by Nate Hobbs),-0.850,0.150
2,2:22,1,10,CAR 19,14,7,Andy Dalton pass incomplete deep right intended for Diontae Johnson (defended by Jack Jones),0.150,-0.390
2,2:14,2,10,CAR 19,14,7,Andy Dalton pass incomplete short right intended for Adam Thielen (defended by Maxx Crosby),-0.390,-1.070
2,2:11,3,10,CAR 19,14,7,Andy Dalton pass complete short middle to Tommy Tremble for 5 yards (tackle by Isaiah Pola-Mao),-1.070,-1.770
2,2:00,4,5,CAR 24,14,7,Johnny Hekker punts 43 yards fair catch by Tre Tucker at LV-33,-1.770,-1.140
2,1:54,1,10,LVR 33,14,7,Gardner Minshew pass incomplete short right intended for Ameer Abdullah. Penalty on Ameer Abdullah: Offensive Pass Interference 10 yards (accepted) (no play),1.140,0.480
2,1:46,1,20,LVR 23,14,7,Gardner Minshew sacked by Jayden Peevy for -3 yards,0.480,-1.160
2,1:38,,,,,,Timeout #1 by Carolina Panthers,,
2,1:38,2,23,LVR 20,14,7,Gardner Minshew pass incomplete short right,-1.160,-1.810
2,1:31,3,23,LVR 20,14,7,Gardner Minshew pass complete short left to Tre Tucker for 6 yards (tackle by Troy Hill and Jayden Peevy),-1.810,-1.630
2,1:23,,,,,,Timeout #2 by Carolina Panthers,,
2,1:23,4,17,LVR 26,14,7,AJ Cole punts 58 yards returned by Raheem Blackshear for 16 yards (tackle by Tommy Eichenberg),-1.630,-1.070
2,1:12,1,10,CAR 32,14,7,Andy Dalton pass complete short right to Miles Sanders for 2 yards (tackle by Jack Jones),1.070,0.800
2,0:48,2,8,CAR 34,14,7,Andy Dalton pass incomplete short left intended for Diontae Johnson (defended by Janarius Robinson),0.800,0.100
2,0:44,3,8,CAR 34,14,7,Andy Dalton pass complete short middle to Diontae Johnson for 35 yards (tackle by Jack Jones and Jakorian Bennett),0.100,3.510
2,0:33,1,10,LVR 31,20,7,Andy Dalton pass complete deep right to Adam Thielen for 31 yards touchdown,3.510,7.000
2,0:28,,,LVR 15,21,7,Eddy Pineiro kicks extra point good,0.000,0.000
