Quarter,Time,Down,ToGo,Location,CHI,IND,Detail,EPB,EPA
,,,,,,,Colts won the coin toss and deferred Bears to receive the opening kickoff.,,
1,15:00,,,IND 35,0,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CHI 30,0,0,D'Andre Swift up the middle for 4 yards (tackle by Kwity Paye and Kenny Moore),0.940,0.930
1,14:23,2,6,CHI 34,0,0,Caleb Williams pass incomplete short left intended for D.J. Moore,0.930,0.230
1,14:18,3,6,CHI 34,0,0,Caleb Williams pass complete short left to Cole Kmet for 7 yards (tackle by Nick Cross),0.230,1.660
1,13:44,1,10,CHI 41,0,0,Roschon Johnson up the middle for 8 yards (tackle by Jaylon Carlies and Julian Blackmon),1.660,2.200
1,13:05,2,2,CHI 49,0,0,Roschon Johnson right end for -1 yards (tackle by Kwity Paye and Zaire Franklin),2.200,1.360
1,12:27,3,3,CHI 48,0,0,Roschon Johnson up the middle for 2 yards (tackle by Zaire Franklin and E.J. Speed),1.360,-0.060
1,11:45,4,1,CHI 50,0,0,Caleb Williams pass complete short left to D.J. Moore for 8 yards (tackle by Jaylon Jones),-0.060,2.790
1,11:11,1,10,IND 42,0,0,D'Andre Swift right end for 3 yards (tackle by Julian Blackmon),2.790,2.650
1,10:30,2,7,IND 39,0,0,Caleb Williams pass complete short right to D.J. Moore for 1 yard (tackle by Kenny Moore),2.650,2.080
1,9:48,3,6,IND 38,0,0,Caleb Williams pass incomplete deep left intended for Rome Odunze,2.080,0.720
1,9:38,4,6,IND 38,0,0,Cairo Santos 56 yard field goal no good,0.720,-1.990
1,9:33,1,10,IND 46,0,0,Anthony Richardson pass complete short left to Ashton Dulin for no gain. Penalty on Quenton Nelson: Ineligible Downfield Pass 5 yards (accepted) (no play),1.990,1.660
1,9:16,1,15,IND 41,0,0,Jonathan Taylor up the middle for 5 yards (tackle by DeMarcus Walker and Tremaine Edmunds),1.660,1.450
1,8:41,2,10,IND 46,0,0,Anthony Richardson pass incomplete short left intended for Josh Downs,1.450,0.760
1,8:38,3,10,IND 46,0,0,Anthony Richardson pass incomplete deep right intended for Alec Pierce,0.760,-0.320
1,8:34,4,10,IND 46,0,0,Rigoberto Sanchez punts 44 yards fair catch by DeAndre Carter at CHI-10,-0.320,0.380
1,8:27,1,10,CHI 10,0,0,Caleb Williams pass incomplete short left intended for D.J. Moore (defended by Zaire Franklin). Penalty on E.J. Speed: Roughing the Passer 15 yards (accepted) (no play),-0.380,0.610
1,8:21,1,10,CHI 25,0,0,Penalty on Marcedes Lewis: False Start 5 yards (accepted) (no play),0.610,0.280
1,8:21,1,15,CHI 20,0,0,D'Andre Swift right guard for 4 yards (tackle by Grover Stewart and E.J. Speed),0.280,-0.070
1,7:39,2,11,CHI 24,0,0,Caleb Williams pass incomplete deep left intended for DeAndre Carter. Penalty on Nick Cross: Defensive Pass Interference 21 yards (accepted) (no play),-0.070,1.930
1,7:31,1,10,CHI 45,0,0,D'Andre Swift right tackle for 2 yards (tackle by Kenny Moore and Samuel Womack),1.930,1.650
1,6:56,2,8,CHI 47,0,0,Caleb Williams pass incomplete deep right intended for Cole Kmet,1.650,0.960
1,6:50,3,8,CHI 47,0,0,Caleb Williams pass incomplete deep left. Penalty on Braxton Jones: Offensive Holding 10 yards (declined),0.960,-0.260
1,6:40,4,8,CHI 47,0,0,Tory Taylor punts 36 yards fair catch by Anthony Gould at IND-17,-0.260,0.060
1,6:34,1,10,IND 17,0,0,Jonathan Taylor right end for 5 yards (tackle by Tremaine Edmunds),-0.060,0.210
1,5:56,2,5,IND 22,0,0,Jonathan Taylor right guard for 4 yards (tackle by Gervon Dexter),0.210,-0.120
1,5:14,3,1,IND 26,0,0,Jonathan Taylor up the middle for 5 yards (tackle by DeMarcus Walker),-0.120,1.000
1,4:39,1,10,IND 31,0,0,Anthony Richardson pass incomplete short left,1.000,0.460
1,4:33,2,10,IND 31,0,0,Anthony Richardson sacked by Montez Sweat for -11 yards,0.460,-1.680
